,0
0,832.0
1,860.0
2,888.0
3,22.0
4,18.0
5,20.0
6,22.0
7,18.0
8,20.0
9,20.0
10,20.0
11,20.0
12,20.0
13,20.0
14,20.0
15,20.0
16,20.0
17,20.0
18,20.0
19,20.0
20,20.0
21,2.0
22,18.0
23,160.0
24,20.0
25,20.0
26,80.0
27,20.0
28,22.0
29,18.0
30,40.0
31,2.0
32,18.0
33,20.0
34,80.0
35,18.0
36,4.0
37,58.0
38,20.0
39,20.0
40,20.0
41,20.0
42,20.0
43,20.0
44,20.0
45,20.0
46,20.0
47,20.0
48,2.0
49,38.0
50,20.0
51,20.0
52,20.0
53,20.0
54,20.0
55,20.0
56,20.0
57,20.0
58,18.0
59,2.0
60,20.0
61,20.0
62,20.0
63,20.0
64,180.0
65,20.0
66,20.0
67,20.0
68,20.0
69,20.0
70,40.0
71,20.0
72,4.0
73,36.0
74,20.0
75,78.0
76,20.0
77,20.0
78,2.0
79,38.0
80,362.0
81,20.0
82,20.0
83,20.0
84,40.0
85,250.0
86,924.0
87,922.0
88,930.0
89,856.0
90,876.0
91,872.0
92,828.0
93,874.0
94,890.0
95,864.0
96,910.0
97,920.0
98,924.0
99,924.0
100,936.0
101,904.0
102,910.0
103,900.0
104,876.0
105,884.0
106,888.0
107,864.0
108,854.0
109,858.0
110,854.0
111,824.0
112,874.0
113,914.0
114,886.0
115,880.0
116,906.0
117,882.0
118,838.0
119,832.0
120,838.0
121,824.0
122,790.0
123,792.0
124,800.0
125,772.0
126,794.0
127,798.0
128,786.0
129,840.0
130,858.0
131,832.0
132,846.0
133,814.0
134,792.0
135,798.0
136,778.0
137,776.0
138,794.0
139,792.0
140,786.0
141,824.0
142,854.0
143,864.0
144,858.0
145,876.0
146,856.0
147,794.0
148,808.0
149,766.0
150,752.0
151,772.0
152,850.0
153,826.0
154,824.0
155,856.0
156,858.0
157,846.0
158,868.0
159,856.0
160,812.0
161,830.0
162,844.0
163,808.0
164,818.0
165,850.0
166,848.0
167,842.0
168,860.0
169,822.0
170,810.0
171,798.0
172,764.0
173,770.0
174,794.0
175,812.0
176,808.0
177,842.0
178,864.0
179,826.0
180,854.0
181,886.0
182,844.0
183,844.0
184,830.0
185,768.0
186,770.0
187,764.0
188,776.0
189,740.0
190,726.0
191,766.0
192,778.0
193,782.0
194,770.0
195,812.0
196,830.0
197,800.0
198,820.0
199,822.0
200,794.0
201,806.0
202,818.0
203,786.0
204,804.0
205,804.0
206,786.0
207,796.0
208,798.0
209,798.0
210,810.0
211,818.0
212,752.0
213,746.0
214,684.0
215,668.0
216,668.0
217,692.0
218,770.0
219,770.0
220,772.0
221,832.0
222,850.0
223,818.0
224,842.0
225,834.0
226,812.0
227,832.0
228,816.0
229,800.0
230,824.0
231,832.0
232,780.0
233,778.0
234,776.0
235,756.0
236,800.0
237,848.0
238,816.0
239,850.0
240,846.0
241,812.0
242,838.0
243,822.0
244,802.0
245,822.0
246,846.0
247,818.0
248,848.0
249,886.0
250,902.0
251,868.0
252,884.0
253,932.0
254,886.0
255,802.0
256,770.0
257,750.0
258,784.0
259,764.0
260,798.0
261,846.0
262,808.0
263,800.0
264,824.0
265,872.0
266,844.0
267,862.0
268,868.0
