,0
0,914.0
1,948.0
2,962.0
3,952.0
4,988.0
5,1020.0
6,946.0
7,956.0
8,964.0
9,886.0
10,842.0
11,790.0
12,782.0
13,794.0
14,788.0
15,824.0
16,884.0
17,864.0
18,912.0
19,950.0
20,916.0
21,946.0
22,918.0
23,896.0
24,914.0
25,872.0
26,872.0
27,878.0
28,876.0
29,912.0
30,934.0
31,880.0
32,900.0
33,848.0
34,826.0
35,858.0
36,832.0
37,814.0
38,834.0
39,796.0
40,812.0
41,836.0
42,824.0
43,878.0
44,912.0
45,868.0
46,890.0
47,842.0
48,848.0
49,848.0
50,806.0
51,838.0
52,818.0
53,808.0
54,858.0
55,868.0
56,892.0
57,932.0
58,904.0
59,938.0
60,926.0
61,888.0
62,936.0
63,890.0
64,886.0
65,898.0
66,870.0
67,906.0
68,914.0
69,866.0
70,908.0
71,900.0
72,892.0
73,908.0
74,884.0
75,898.0
76,942.0
77,888.0
78,932.0
79,914.0
80,868.0
81,896.0
82,886.0
83,888.0
84,908.0
85,858.0
86,866.0
87,890.0
88,844.0
89,864.0
90,872.0
91,836.0
92,870.0
93,892.0
94,864.0
95,894.0
96,896.0
97,852.0
98,864.0
99,830.0
100,816.0
101,786.0
102,790.0
103,798.0
104,842.0
105,826.0
106,838.0
107,906.0
108,878.0
109,908.0
110,920.0
111,910.0
112,966.0
113,966.0
114,942.0
115,966.0
116,904.0
117,920.0
118,940.0
119,888.0
120,918.0
121,940.0
122,910.0
123,936.0
124,910.0
125,894.0
126,910.0
127,860.0
128,888.0
129,922.0
130,904.0
131,936.0
132,898.0
133,852.0
134,878.0
135,862.0
136,884.0
137,932.0
138,922.0
139,914.0
140,904.0
141,834.0
142,840.0
143,888.0
144,860.0
145,920.0
146,924.0
147,878.0
148,926.0
149,914.0
150,866.0
151,860.0
152,840.0
153,812.0
154,842.0
155,810.0
156,790.0
157,816.0
158,788.0
159,776.0
160,810.0
161,810.0
162,810.0
163,868.0
164,824.0
165,884.0
166,910.0
167,858.0
168,898.0
169,858.0
170,848.0
171,876.0
172,848.0
173,866.0
174,898.0
175,856.0
176,914.0
177,890.0
178,886.0
179,928.0
180,844.0
181,838.0
182,836.0
183,786.0
184,812.0
185,810.0
186,786.0
187,808.0
188,804.0
189,790.0
190,816.0
191,790.0
192,826.0
193,810.0
194,798.0
195,836.0
196,826.0
197,852.0
198,876.0
199,856.0
200,874.0
201,902.0
202,860.0
203,858.0
204,814.0
205,790.0
206,770.0
207,788.0
208,784.0
209,846.0
210,876.0
211,858.0
212,906.0
213,884.0
214,910.0
215,910.0
216,876.0
217,906.0
218,900.0
219,880.0
220,930.0
221,948.0
222,886.0
223,920.0
224,932.0
225,888.0
226,910.0
227,860.0
228,860.0
229,818.0
230,806.0
231,820.0
232,780.0
233,796.0
234,814.0
235,788.0
236,846.0
237,842.0
238,822.0
239,844.0
240,814.0
241,812.0
242,812.0
243,812.0
244,812.0
245,806.0
246,840.0
247,848.0
248,822.0
249,868.0
250,876.0
251,854.0
252,884.0
253,824.0
254,836.0
255,842.0
256,830.0
257,768.0
258,726.0
259,776.0
260,764.0
261,810.0
262,854.0
263,814.0
264,834.0
265,828.0
266,798.0
267,834.0
268,852.0
269,850.0
270,872.0
271,846.0
272,904.0
273,892.0
274,862.0
275,892.0
276,866.0
277,850.0
278,860.0
279,842.0
280,820.0
281,842.0
282,834.0
283,884.0
284,902.0
285,892.0
286,912.0
287,938.0
288,888.0
289,912.0
290,892.0
291,874.0
292,890.0
293,870.0
294,868.0
295,888.0
296,864.0
297,858.0
298,904.0
299,894.0
300,874.0
301,902.0
302,882.0
303,872.0
304,866.0
305,846.0
306,884.0
307,896.0
308,862.0
309,890.0
310,882.0
311,842.0
312,880.0
313,902.0
314,860.0
315,888.0
316,900.0
317,874.0
318,898.0
319,870.0
320,892.0
321,918.0
322,884.0
323,918.0
324,906.0
325,864.0
326,904.0
327,928.0
328,910.0
329,926.0
330,888.0
331,896.0
332,890.0
333,858.0
334,862.0
335,864.0
336,842.0
337,820.0
338,846.0
339,830.0
340,862.0
341,886.0
342,852.0
343,872.0
344,862.0
345,816.0
346,826.0
347,812.0
348,790.0
349,812.0
350,818.0
351,806.0
352,850.0
353,874.0
354,858.0
355,884.0
356,874.0
357,890.0
358,904.0
359,846.0
360,812.0
361,796.0
362,748.0
363,750.0
364,768.0
365,802.0
366,788.0
