,0
0,808.0
1,802.0
2,782.0
3,806.0
4,846.0
5,806.0
6,790.0
7,806.0
8,814.0
9,792.0
10,784.0
11,820.0
12,854.0
13,830.0
14,820.0
15,832.0
16,800.0
17,770.0
18,780.0
19,788.0
20,754.0
21,772.0
22,810.0
23,796.0
24,744.0
25,728.0
26,752.0
27,778.0
28,768.0
29,796.0
30,834.0
31,782.0
32,776.0
33,802.0
34,786.0
35,760.0
36,802.0
37,818.0
38,760.0
39,790.0
40,828.0
41,774.0
42,754.0
43,768.0
44,764.0
45,764.0
46,804.0
47,850.0
48,800.0
49,836.0
50,840.0
51,788.0
52,786.0
53,788.0
54,742.0
55,734.0
56,774.0
57,750.0
58,744.0
59,794.0
60,780.0
61,752.0
62,766.0
63,782.0
64,748.0
65,784.0
66,820.0
67,782.0
68,798.0
69,812.0
70,742.0
71,728.0
72,742.0
73,726.0
74,728.0
75,762.0
76,764.0
77,752.0
78,804.0
79,796.0
80,762.0
81,774.0
82,776.0
83,744.0
84,730.0
85,762.0
86,744.0
87,730.0
88,762.0
89,742.0
90,712.0
91,740.0
92,748.0
93,724.0
94,710.0
95,740.0
96,726.0
97,710.0
98,740.0
99,742.0
100,712.0
101,728.0
102,754.0
103,720.0
104,692.0
105,712.0
106,710.0
107,704.0
108,726.0
109,746.0
110,726.0
111,746.0
112,782.0
113,740.0
114,718.0
115,750.0
116,726.0
117,704.0
118,736.0
119,768.0
120,746.0
121,750.0
122,756.0
123,728.0
124,718.0
125,762.0
126,750.0
127,714.0
128,744.0
129,748.0
130,712.0
131,692.0
132,702.0
133,702.0
134,706.0
135,736.0
136,786.0
137,764.0
138,756.0
139,778.0
140,744.0
141,706.0
142,728.0
143,724.0
144,708.0
145,720.0
146,760.0
147,752.0
148,730.0
149,788.0
150,766.0
151,732.0
152,768.0
153,766.0
154,754.0
155,794.0
156,778.0
157,748.0
158,762.0
159,780.0
160,744.0
161,762.0
162,802.0
163,766.0
164,738.0
165,770.0
166,730.0
167,708.0
168,732.0
169,764.0
170,744.0
171,752.0
172,824.0
173,794.0
174,764.0
175,776.0
176,728.0
177,710.0
178,738.0
179,718.0
180,710.0
181,778.0
182,786.0
183,742.0
184,778.0
185,760.0
186,718.0
187,730.0
188,734.0
189,704.0
190,716.0
191,742.0
192,712.0
193,718.0
194,790.0
195,798.0
196,754.0
197,818.0
198,798.0
199,746.0
200,770.0
201,776.0
202,722.0
203,712.0
204,748.0
205,746.0
206,742.0
207,810.0
208,794.0
209,754.0
210,774.0
211,762.0
212,726.0
213,758.0
214,744.0
215,714.0
216,722.0
217,772.0
218,752.0
219,740.0
220,810.0
221,770.0
222,728.0
223,736.0
224,706.0
225,690.0
226,700.0
227,716.0
228,722.0
229,724.0
230,766.0
231,756.0
232,746.0
233,760.0
234,730.0
235,700.0
236,732.0
237,710.0
238,700.0
239,716.0
240,748.0
241,726.0
242,726.0
243,754.0
244,730.0
245,712.0
246,744.0
247,752.0
248,710.0
249,710.0
250,718.0
251,706.0
252,696.0
253,762.0
254,758.0
255,722.0
256,744.0
257,766.0
258,744.0
259,708.0
260,732.0
261,750.0
262,742.0
263,776.0
264,804.0
265,770.0
266,802.0
267,818.0
268,752.0
269,724.0
270,752.0
271,750.0
272,710.0
273,756.0
274,774.0
275,758.0
276,804.0
277,774.0
278,738.0
279,774.0
280,770.0
281,722.0
282,718.0
283,730.0
284,714.0
285,712.0
286,782.0
287,774.0
288,748.0
289,798.0
290,788.0
291,738.0
292,740.0
293,744.0
294,716.0
295,720.0
296,738.0
297,718.0
298,724.0
299,784.0
300,784.0
301,742.0
302,782.0
303,792.0
304,748.0
305,744.0
306,732.0
307,698.0
308,686.0
309,716.0
310,730.0
311,724.0
312,750.0
313,762.0
314,742.0
315,758.0
316,764.0
317,738.0
318,706.0
319,734.0
320,762.0
321,736.0
322,748.0
323,784.0
324,778.0
325,744.0
326,762.0
327,742.0
328,722.0
329,720.0
330,766.0
331,770.0
332,754.0
333,812.0
334,816.0
335,774.0
336,786.0
337,778.0
338,740.0
339,730.0
340,756.0
341,750.0
342,736.0
343,794.0
344,828.0
345,774.0
346,790.0
347,794.0
348,766.0
349,776.0
350,782.0
351,758.0
352,758.0
353,770.0
354,758.0
355,750.0
356,784.0
357,784.0
358,760.0
359,790.0
360,792.0
361,748.0
362,736.0
363,770.0
364,802.0
365,788.0
366,788.0
367,844.0
368,822.0
369,800.0
370,834.0
371,858.0
372,804.0
373,784.0
374,816.0
375,846.0
376,798.0
377,830.0
378,850.0
379,810.0
380,810.0
381,846.0
382,824.0
383,802.0
384,854.0
385,840.0
386,790.0
387,828.0
388,810.0
389,764.0
390,786.0
391,810.0
392,790.0
393,820.0
394,838.0
395,800.0
396,806.0
397,848.0
398,790.0
399,790.0
400,828.0
401,794.0
402,772.0
403,818.0
404,800.0
405,774.0
406,810.0
407,792.0
408,768.0
409,818.0
410,816.0
411,780.0
412,796.0
413,790.0
414,774.0
415,820.0
416,818.0
417,776.0
418,808.0
419,802.0
420,758.0
421,776.0
422,766.0
423,730.0
424,742.0
425,778.0
426,756.0
427,752.0
428,788.0
429,744.0
430,730.0
431,774.0
432,748.0
433,734.0
434,804.0
