,0
0,522.0
1,244.0
2,552.0
3,240.0
4,570.0
5,242.0
6,522.0
7,242.0
8,542.0
9,244.0
10,546.0
11,246.0
12,528.0
13,248.0
14,484.0
15,242.0
16,512.0
17,244.0
18,516.0
19,244.0
20,496.0
21,6.0
22,238.0
23,458.0
24,238.0
25,482.0
26,238.0
27,488.0
28,244.0
29,460.0
30,240.0
31,454.0
32,238.0
33,502.0
34,242.0
35,496.0
36,240.0
37,462.0
38,238.0
39,464.0
40,242.0
41,496.0
42,242.0
43,524.0
44,242.0
45,490.0
46,240.0
47,496.0
48,238.0
49,512.0
50,240.0
51,478.0
52,238.0
53,448.0
54,236.0
55,478.0
56,240.0
57,490.0
58,242.0
59,470.0
60,238.0
61,450.0
62,236.0
63,492.0
64,242.0
65,500.0
66,240.0
67,468.0
68,244.0
69,472.0
70,242.0
71,504.0
72,242.0
73,506.0
74,242.0
75,478.0
76,240.0
77,506.0
78,242.0
79,512.0
80,240.0
81,480.0
82,240.0
83,480.0
84,240.0
85,494.0
86,242.0
87,478.0
88,244.0
89,432.0
90,242.0
91,462.0
92,236.0
93,482.0
94,240.0
95,498.0
96,238.0
97,462.0
98,240.0
99,488.0
100,238.0
101,504.0
102,236.0
103,480.0
104,246.0
105,456.0
106,238.0
107,492.0
108,240.0
109,494.0
110,244.0
111,466.0
112,242.0
113,448.0
114,242.0
115,472.0
116,238.0
117,500.0
118,240.0
119,480.0
120,236.0
121,462.0
122,236.0
123,486.0
124,236.0
125,506.0
126,242.0
127,506.0
128,238.0
129,470.0
130,240.0
131,484.0
132,240.0
133,500.0
134,244.0
135,486.0
136,242.0
137,472.0
138,242.0
139,506.0
140,242.0
141,512.0
142,240.0
143,486.0
144,242.0
145,514.0
146,240.0
147,524.0
148,242.0
149,508.0
150,238.0
151,474.0
152,234.0
153,498.0
154,238.0
155,500.0
156,242.0
157,474.0
158,238.0
159,458.0
160,236.0
161,498.0
162,238.0
163,510.0
164,240.0
165,486.0
166,240.0
167,500.0
168,246.0
169,512.0
170,246.0
171,492.0
172,242.0
173,498.0
174,246.0
175,498.0
176,238.0
177,482.0
178,238.0
179,462.0
180,246.0
181,476.0
182,8.0
183,226.0
184,504.0
185,238.0
186,466.0
187,6.0
188,236.0
189,446.0
190,242.0
191,490.0
192,240.0
193,540.0
194,244.0
195,496.0
196,238.0
197,510.0
198,244.0
199,496.0
200,242.0
201,450.0
202,238.0
203,480.0
204,6.0
205,226.0
206,514.0
207,244.0
208,474.0
209,240.0
210,494.0
211,242.0
212,508.0
213,244.0
214,490.0
215,234.0
216,498.0
217,234.0
218,516.0
219,246.0
220,476.0
221,232.0
222,456.0
223,238.0
224,484.0
225,238.0
226,488.0
227,238.0
228,442.0
229,236.0
230,462.0
231,236.0
232,478.0
233,238.0
234,478.0
235,242.0
236,426.0
237,232.0
238,462.0
239,240.0
240,462.0
241,238.0
242,464.0
243,236.0
244,440.0
245,240.0
246,472.0
247,238.0
248,494.0
249,238.0
250,468.0
251,242.0
252,448.0
253,240.0
254,480.0
255,246.0
256,480.0
257,238.0
258,450.0
259,232.0
260,480.0
261,236.0
262,480.0
263,244.0
264,458.0
265,238.0
266,436.0
267,232.0
268,474.0
269,238.0
270,492.0
271,242.0
272,460.0
273,232.0
274,460.0
275,240.0
276,478.0
277,236.0
278,496.0
279,242.0
280,462.0
281,238.0
282,462.0
283,238.0
284,474.0
285,240.0
286,474.0
287,240.0
288,446.0
289,236.0
290,484.0
291,234.0
292,502.0
293,238.0
294,504.0
295,236.0
296,520.0
297,242.0
298,536.0
299,236.0
300,528.0
301,240.0
302,476.0
303,238.0
304,500.0
305,242.0
306,504.0
307,236.0
308,482.0
309,240.0
310,482.0
311,238.0
312,490.0
313,236.0
314,476.0
315,236.0
316,448.0
317,236.0
318,472.0
319,238.0
320,498.0
321,232.0
322,512.0
323,240.0
324,452.0
325,238.0
326,480.0
327,236.0
328,516.0
329,242.0
330,500.0
331,242.0
332,460.0
333,238.0
334,468.0
335,236.0
336,494.0
337,238.0
338,510.0
339,240.0
340,470.0
341,238.0
342,488.0
343,242.0
344,508.0
345,240.0
346,506.0
347,242.0
348,464.0
349,240.0
350,484.0
351,240.0
352,506.0
353,238.0
354,486.0
355,236.0
356,514.0
357,242.0
358,518.0
359,242.0
360,484.0
361,238.0
362,474.0
363,236.0
364,500.0
365,236.0
366,516.0
367,236.0
368,492.0
369,238.0
370,470.0
371,238.0
372,490.0
373,240.0
374,496.0
375,236.0
376,468.0
377,236.0
378,440.0
379,238.0
380,460.0
381,238.0
382,496.0
383,238.0
384,502.0
385,238.0
386,470.0
387,238.0
388,508.0
389,238.0
390,542.0
391,238.0
392,516.0
393,244.0
394,492.0
395,242.0
396,514.0
397,238.0
398,506.0
399,244.0
400,468.0
401,236.0
402,494.0
403,238.0
404,494.0
405,238.0
406,494.0
407,236.0
408,484.0
409,240.0
410,496.0
411,240.0
412,500.0
413,240.0
414,466.0
415,242.0
416,492.0
417,242.0
418,488.0
419,240.0
420,462.0
421,236.0
422,454.0
423,238.0
424,472.0
425,236.0
426,492.0
427,236.0
428,478.0
429,234.0
430,466.0
431,240.0
432,496.0
433,236.0
434,514.0
435,246.0
436,488.0
437,240.0
438,472.0
439,230.0
440,502.0
441,238.0
442,516.0
443,238.0
444,496.0
445,236.0
446,466.0
447,236.0
448,490.0
449,238.0
450,506.0
451,234.0
452,524.0
453,238.0
454,482.0
455,234.0
456,506.0
457,238.0
458,528.0
459,244.0
460,522.0
461,238.0
462,480.0
463,242.0
464,502.0
465,238.0
466,508.0
467,244.0
468,470.0
469,238.0
470,466.0
471,236.0
472,484.0
473,234.0
474,486.0
475,238.0
476,464.0
477,236.0
478,504.0
479,238.0
480,522.0
481,242.0
482,526.0
483,242.0
484,480.0
485,238.0
486,498.0
487,242.0
488,520.0
489,6.0
490,234.0
491,512.0
492,242.0
493,482.0
494,238.0
495,510.0
496,238.0
497,524.0
498,238.0
499,498.0
500,238.0
501,508.0
502,242.0
503,508.0
504,238.0
505,490.0
506,238.0
507,476.0
508,238.0
509,506.0
510,238.0
511,526.0
512,246.0
513,482.0
514,242.0
515,496.0
516,242.0
517,510.0
518,8.0
519,236.0
520,482.0
521,238.0
522,468.0
523,238.0
524,480.0
525,240.0
526,502.0
527,240.0
528,510.0
529,236.0
530,486.0
531,244.0
532,494.0
533,242.0
534,522.0
535,240.0
536,532.0
537,240.0
538,482.0
539,238.0
540,496.0
541,230.0
542,510.0
543,242.0
544,484.0
545,244.0
546,440.0
547,232.0
548,468.0
549,240.0
550,474.0
551,238.0
552,490.0
553,242.0
554,462.0
555,238.0
556,448.0
557,236.0
558,474.0
559,240.0
560,478.0
561,240.0
562,466.0
563,242.0
564,438.0
565,236.0
566,460.0
567,238.0
568,464.0
569,244.0
570,428.0
571,242.0
572,438.0
573,240.0
574,456.0
575,244.0
576,436.0
577,244.0
578,416.0
579,244.0
580,422.0
581,236.0
582,464.0
583,232.0
584,474.0
585,234.0
586,448.0
587,240.0
588,456.0
589,238.0
590,472.0
591,238.0
592,470.0
593,238.0
594,440.0
595,236.0
596,442.0
597,240.0
598,462.0
599,240.0
600,462.0
601,238.0
602,456.0
603,238.0
604,434.0
605,236.0
606,460.0
607,240.0
608,476.0
609,238.0
610,478.0
611,236.0
612,444.0
613,238.0
614,448.0
615,242.0
616,468.0
