,0
0,236.0
1,466.0
2,232.0
3,474.0
4,236.0
5,516.0
6,234.0
7,540.0
8,234.0
9,486.0
10,240.0
11,514.0
12,240.0
13,542.0
14,240.0
15,504.0
16,242.0
17,476.0
18,236.0
19,504.0
20,242.0
21,512.0
22,236.0
23,506.0
24,238.0
25,470.0
26,240.0
27,492.0
28,242.0
29,488.0
30,236.0
31,446.0
32,236.0
33,464.0
34,234.0
35,480.0
36,236.0
37,472.0
38,236.0
39,466.0
40,238.0
41,500.0
42,238.0
43,506.0
44,236.0
45,470.0
46,238.0
47,478.0
48,238.0
49,498.0
50,236.0
51,474.0
52,6.0
53,234.0
54,474.0
55,234.0
56,492.0
57,240.0
58,468.0
59,236.0
60,470.0
61,244.0
62,470.0
63,236.0
64,458.0
65,6.0
66,232.0
67,460.0
68,238.0
69,472.0
70,234.0
71,478.0
72,240.0
73,458.0
74,238.0
75,478.0
76,238.0
77,472.0
78,234.0
79,458.0
80,238.0
81,462.0
82,238.0
83,486.0
84,238.0
85,462.0
86,242.0
87,476.0
88,236.0
89,488.0
90,242.0
91,452.0
92,236.0
93,488.0
94,234.0
95,508.0
96,238.0
97,464.0
98,234.0
99,500.0
100,238.0
101,492.0
102,238.0
103,458.0
104,240.0
105,468.0
106,244.0
107,472.0
108,236.0
109,452.0
110,238.0
111,472.0
112,242.0
113,490.0
114,238.0
115,470.0
116,236.0
117,482.0
118,236.0
119,512.0
120,244.0
121,492.0
122,236.0
123,472.0
124,246.0
125,490.0
126,242.0
127,484.0
128,240.0
129,458.0
130,242.0
131,490.0
132,236.0
133,526.0
134,240.0
135,472.0
136,234.0
137,498.0
138,242.0
139,502.0
140,238.0
141,516.0
142,238.0
143,524.0
144,244.0
145,518.0
146,240.0
147,468.0
148,232.0
149,484.0
150,236.0
151,516.0
152,242.0
153,502.0
154,240.0
155,476.0
156,244.0
157,504.0
158,244.0
159,504.0
160,244.0
161,462.0
162,238.0
163,486.0
164,242.0
165,510.0
166,242.0
167,468.0
168,240.0
169,472.0
170,242.0
171,504.0
172,240.0
173,490.0
174,238.0
175,460.0
176,236.0
177,508.0
178,244.0
179,514.0
180,238.0
181,466.0
182,244.0
183,502.0
184,240.0
185,526.0
186,242.0
187,484.0
188,236.0
189,500.0
190,238.0
191,516.0
192,244.0
193,454.0
194,244.0
195,470.0
196,240.0
197,488.0
198,240.0
199,462.0
200,238.0
201,498.0
202,238.0
203,524.0
204,240.0
205,490.0
206,240.0
207,516.0
208,240.0
209,536.0
210,244.0
211,502.0
212,240.0
213,512.0
214,240.0
215,528.0
216,246.0
217,506.0
218,238.0
219,480.0
220,238.0
221,512.0
222,238.0
223,536.0
224,246.0
225,518.0
226,246.0
227,484.0
228,238.0
229,518.0
230,244.0
231,524.0
232,248.0
233,490.0
234,240.0
235,500.0
236,240.0
237,514.0
238,244.0
239,502.0
240,244.0
241,478.0
242,246.0
243,492.0
244,240.0
245,494.0
246,236.0
247,462.0
248,240.0
249,480.0
250,238.0
251,488.0
252,242.0
253,464.0
254,240.0
255,444.0
256,236.0
257,480.0
258,238.0
259,506.0
260,242.0
261,482.0
262,240.0
263,478.0
264,238.0
265,530.0
266,242.0
267,516.0
268,242.0
269,498.0
270,242.0
271,530.0
272,242.0
273,528.0
274,240.0
275,480.0
276,238.0
277,494.0
278,240.0
279,520.0
280,242.0
281,514.0
282,244.0
283,472.0
284,244.0
285,500.0
286,242.0
287,522.0
288,240.0
289,478.0
290,242.0
291,506.0
292,242.0
293,516.0
294,236.0
295,480.0
296,240.0
297,504.0
298,240.0
299,522.0
300,242.0
301,476.0
302,236.0
303,502.0
304,240.0
305,508.0
306,238.0
307,476.0
308,236.0
309,466.0
310,240.0
311,490.0
312,238.0
313,508.0
314,242.0
315,482.0
316,234.0
317,498.0
318,240.0
319,514.0
320,242.0
321,516.0
322,240.0
323,510.0
324,244.0
325,514.0
326,246.0
327,482.0
328,238.0
329,496.0
330,238.0
331,508.0
332,240.0
333,500.0
334,248.0
335,466.0
336,238.0
337,498.0
338,240.0
339,500.0
340,238.0
341,486.0
342,238.0
343,518.0
344,242.0
345,526.0
346,242.0
347,486.0
