,0
0,240.0
1,532.0
2,238.0
3,546.0
4,242.0
5,524.0
6,242.0
7,496.0
8,238.0
9,474.0
10,240.0
11,478.0
12,240.0
13,484.0
14,238.0
15,498.0
16,240.0
17,468.0
18,6.0
19,236.0
20,494.0
21,236.0
22,498.0
23,228.0
24,498.0
25,242.0
26,478.0
27,240.0
28,458.0
29,236.0
30,434.0
31,242.0
32,436.0
33,232.0
34,428.0
35,232.0
36,424.0
37,232.0
38,440.0
39,230.0
40,450.0
41,232.0
42,428.0
43,236.0
44,420.0
45,230.0
46,452.0
47,238.0
48,462.0
49,232.0
50,480.0
51,236.0
52,458.0
53,236.0
54,476.0
55,236.0
56,480.0
57,238.0
58,478.0
59,236.0
60,480.0
61,236.0
62,480.0
63,232.0
64,478.0
65,232.0
66,478.0
67,234.0
68,486.0
69,240.0
70,486.0
71,234.0
72,472.0
73,232.0
74,488.0
75,236.0
76,500.0
77,238.0
78,478.0
79,242.0
80,476.0
81,240.0
82,496.0
83,232.0
84,502.0
85,236.0
86,480.0
87,238.0
88,498.0
89,242.0
90,502.0
91,240.0
92,474.0
93,240.0
94,508.0
95,238.0
96,516.0
97,240.0
98,502.0
99,238.0
100,490.0
101,232.0
102,522.0
103,240.0
104,518.0
105,234.0
106,500.0
107,242.0
108,514.0
109,240.0
110,508.0
111,238.0
112,490.0
113,234.0
114,512.0
115,236.0
116,508.0
117,238.0
118,484.0
119,238.0
120,504.0
121,238.0
122,532.0
123,242.0
124,486.0
125,238.0
126,512.0
127,238.0
128,512.0
129,238.0
130,478.0
131,236.0
132,498.0
133,238.0
134,510.0
135,240.0
136,470.0
137,234.0
138,510.0
139,234.0
140,512.0
141,238.0
142,478.0
143,232.0
144,512.0
145,238.0
146,504.0
147,244.0
148,478.0
149,240.0
150,504.0
151,236.0
152,494.0
153,240.0
154,470.0
155,238.0
156,506.0
157,240.0
158,484.0
159,238.0
160,480.0
161,242.0
162,502.0
163,238.0
164,488.0
165,238.0
166,498.0
167,240.0
168,506.0
169,238.0
170,482.0
171,244.0
172,488.0
173,238.0
174,504.0
175,240.0
176,474.0
177,240.0
178,492.0
179,236.0
180,518.0
181,240.0
182,496.0
183,244.0
184,496.0
185,238.0
186,512.0
187,242.0
188,486.0
189,242.0
190,496.0
191,240.0
192,504.0
193,236.0
194,490.0
195,234.0
196,510.0
197,244.0
198,510.0
199,244.0
200,492.0
201,240.0
202,520.0
203,240.0
204,530.0
205,242.0
206,498.0
207,236.0
208,532.0
209,242.0
210,522.0
211,238.0
212,496.0
213,236.0
214,530.0
215,238.0
216,510.0
217,242.0
218,484.0
219,236.0
220,516.0
221,236.0
222,508.0
223,236.0
224,484.0
225,236.0
226,508.0
227,238.0
228,492.0
229,242.0
230,480.0
231,238.0
232,502.0
233,240.0
234,494.0
235,236.0
236,476.0
237,240.0
238,504.0
239,236.0
240,516.0
241,236.0
242,498.0
243,236.0
244,520.0
245,240.0
246,516.0
247,244.0
248,482.0
249,242.0
250,518.0
251,244.0
252,514.0
253,242.0
254,480.0
255,236.0
256,504.0
257,242.0
258,494.0
259,242.0
260,468.0
261,238.0
262,510.0
263,240.0
264,510.0
265,240.0
266,480.0
267,238.0
268,500.0
269,6.0
270,234.0
271,508.0
272,238.0
273,480.0
274,238.0
275,494.0
276,242.0
277,496.0
278,244.0
279,480.0
280,236.0
281,494.0
282,240.0
283,496.0
284,244.0
285,468.0
286,240.0
287,490.0
288,242.0
289,486.0
290,240.0
291,462.0
292,238.0
293,486.0
294,240.0
295,500.0
296,242.0
297,468.0
298,240.0
299,492.0
300,240.0
301,486.0
302,236.0
303,456.0
304,238.0
305,470.0
306,236.0
307,478.0
308,240.0
309,452.0
310,238.0
311,466.0
312,236.0
313,464.0
314,240.0
315,450.0
316,236.0
317,478.0
318,238.0
319,476.0
320,234.0
321,460.0
322,240.0
323,472.0
324,240.0
325,478.0
326,236.0
327,456.0
328,232.0
329,486.0
330,240.0
331,490.0
332,240.0
333,460.0
334,240.0
335,472.0
336,238.0
337,496.0
338,244.0
339,478.0
340,242.0
341,466.0
342,240.0
343,502.0
344,240.0
345,476.0
346,240.0
347,436.0
348,238.0
349,448.0
350,240.0
351,470.0
352,242.0
353,494.0
354,236.0
355,462.0
356,236.0
357,498.0
358,244.0
359,512.0
360,240.0
361,498.0
362,240.0
363,506.0
364,242.0
365,508.0
366,240.0
367,482.0
368,242.0
369,486.0
370,240.0
371,502.0
372,240.0
373,492.0
374,236.0
375,520.0
376,240.0
377,534.0
378,244.0
379,506.0
380,244.0
381,510.0
382,236.0
383,536.0
384,238.0
385,508.0
386,238.0
387,536.0
388,242.0
389,530.0
390,236.0
391,504.0
392,234.0
393,540.0
394,244.0
395,544.0
396,238.0
397,516.0
398,238.0
399,556.0
400,246.0
401,536.0
402,238.0
403,538.0
404,242.0
405,544.0
406,244.0
407,498.0
408,242.0
409,530.0
410,242.0
411,534.0
412,240.0
413,502.0
414,244.0
415,524.0
416,238.0
417,540.0
418,242.0
419,500.0
420,242.0
421,532.0
422,242.0
423,534.0
424,242.0
425,506.0
426,242.0
427,530.0
428,240.0
429,526.0
430,248.0
431,504.0
432,238.0
433,522.0
434,238.0
435,502.0
436,242.0
437,490.0
438,242.0
439,522.0
440,242.0
441,514.0
442,244.0
443,486.0
444,238.0
445,506.0
446,244.0
447,492.0
448,246.0
449,482.0
450,242.0
451,500.0
452,234.0
453,484.0
454,242.0
455,480.0
456,238.0
457,500.0
458,242.0
459,480.0
460,236.0
461,494.0
462,244.0
463,508.0
464,238.0
465,490.0
466,242.0
467,510.0
468,242.0
469,524.0
470,244.0
471,502.0
472,244.0
473,518.0
474,244.0
475,530.0
476,242.0
477,486.0
478,240.0
479,510.0
480,244.0
481,510.0
482,240.0
483,476.0
484,242.0
485,486.0
486,240.0
487,494.0
488,242.0
489,462.0
490,244.0
491,484.0
492,236.0
493,522.0
494,240.0
495,488.0
496,242.0
497,508.0
498,242.0
499,508.0
500,242.0
501,472.0
502,242.0
503,490.0
504,240.0
505,492.0
506,238.0
507,492.0
508,242.0
509,508.0
510,8.0
511,234.0
512,482.0
513,240.0
514,484.0
515,242.0
516,504.0
517,244.0
518,484.0
519,236.0
520,488.0
521,236.0
522,506.0
523,236.0
524,474.0
525,240.0
526,490.0
527,240.0
528,492.0
529,242.0
530,462.0
531,240.0
532,490.0
533,242.0
534,490.0
535,236.0
536,472.0
537,238.0
538,484.0
539,248.0
540,472.0
541,246.0
542,432.0
543,234.0
544,462.0
545,232.0
