,0
0,712.0
1,740.0
2,754.0
3,706.0
4,688.0
5,726.0352422907489
6,712.0
7,740.0
8,710.0
9,720.0
10,742.0
11,764.0
12,744.0
13,760.0
14,756.0
15,734.0
16,710.0
17,694.0
18,712.0
19,716.0
20,700.0
21,684.0
22,708.0
23,744.0
24,746.0
25,726.0
26,744.0
27,764.0
28,738.0
29,756.0
30,760.0
31,740.0
32,758.0
33,764.0
34,736.0
35,752.0
36,772.0
37,740.0
38,770.0
39,770.0
40,744.0
41,768.0
42,752.0
43,736.0
44,752.0
45,758.0
46,752.0
47,774.0
48,742.0
49,770.0
50,780.0
51,744.0
52,764.0
53,774.0
54,728.0
55,756.0
56,762.0
57,738.0
58,768.0
59,748.0
60,744.0
61,788.0
62,758.0
63,770.0
64,784.0
65,752.0
66,778.0
67,772.0
68,734.0
69,758.0
70,762.0
71,732.0
72,760.0
73,748.0
74,752.0
75,778.0
76,724.0
77,736.0
78,762.0
79,746.0
80,758.0
81,778.0
82,742.0
83,780.0
84,764.0
85,772.0
86,788.0
87,742.0
88,748.0
89,772.0
90,758.0
91,774.0
92,788.0
93,750.0
94,780.0
95,780.0
96,760.0
97,768.0
98,730.0
99,742.0
100,736.0
101,710.0
102,732.0
103,718.0
104,712.0
105,738.0
106,738.0
107,716.0
108,728.0
109,706.0
110,712.0
111,736.0
112,706.0
113,736.0
114,732.0
115,698.0
116,734.0
117,746.0
118,712.0
119,752.0
120,746.0
121,752.0
122,766.0
123,722.0
124,762.0
125,796.0
126,760.0
127,770.0
128,798.0
129,750.0
130,770.0
131,774.0
132,732.0
133,758.0
134,744.0
135,716.0
136,746.0
137,738.0
138,726.0
139,768.0
140,728.0
141,706.0
142,846.0
143,724.0
144,752.0
145,752.0
146,714.0
147,768.0
148,790.0
149,740.0
150,728.0
151,864.0
152,756.0
153,764.0
154,712.0
155,734.0
156,756.0
157,728.0
158,780.0
159,758.0
160,788.0
161,778.0
162,766.0
163,780.0
164,742.0
165,770.0
166,762.0
167,702.0
168,696.0
169,732.0
170,742.0
171,704.0
172,726.0
173,742.0
174,710.0
175,740.0
176,734.0
177,694.0
178,706.0
179,728.0
180,710.0
181,720.0
182,738.0
183,720.0
184,750.0
185,760.0
186,730.0
187,728.0
188,750.0
189,734.0
190,756.0
191,770.0
192,722.0
193,744.0
194,738.0
195,716.0
196,746.0
197,746.0
198,712.0
199,728.0
200,720.0
201,694.0
202,728.0
203,738.0
204,712.0
205,746.0
206,740.0
207,714.0
208,724.0
209,688.0
210,726.0
211,760.0
212,720.0
213,758.0
214,758.0
215,728.0
216,754.0
217,778.0
218,734.0
219,760.0
220,746.0
221,720.0
222,740.0
223,752.0
224,720.0
225,734.0
226,726.0352422907489
227,714.0
228,686.0
229,704.0
230,698.0
231,696.0
232,714.0
233,694.0
234,708.0
235,704.0
236,698.0
237,686.0
238,716.0
239,712.0
240,698.0
241,724.0
242,684.0
243,706.0
244,724.0
245,712.0
246,748.0
247,752.0
248,706.0
249,680.0
250,718.0
251,754.0
252,734.0
253,704.0
254,742.0
255,748.0
256,706.0
257,732.0
258,722.0
259,686.0
260,736.0
261,730.0
262,726.0352422907489
263,702.0
264,726.0
265,704.0
266,728.0
267,732.0
268,692.0
269,698.0
270,730.0
271,742.0
272,720.0
273,748.0
274,728.0
275,700.0
276,726.0
277,724.0
278,692.0
279,714.0
280,720.0
281,688.0
282,686.0
283,708.0
284,714.0
285,680.0
286,698.0
287,714.0
288,714.0
289,716.0
290,734.0
291,698.0
292,692.0
293,710.0
294,714.0
295,686.0
296,722.0
297,730.0
298,708.0
299,734.0
300,744.0
301,716.0
302,734.0
303,754.0
304,728.0
305,718.0
306,746.0
307,742.0
308,700.0
309,732.0
310,742.0
311,714.0
312,758.0
313,764.0
314,724.0
315,740.0
316,752.0
317,708.0
318,728.0
319,730.0
320,702.0
321,712.0
322,706.0
323,698.0
324,710.0
325,726.0352422907489
326,686.0
327,692.0
328,702.0
329,698.0
330,704.0
331,716.0
332,700.0
333,710.0
334,706.0
335,688.0
336,700.0
337,706.0
338,726.0352422907489
339,684.0
340,710.0
341,688.0
342,660.0
343,662.0
344,708.0
345,740.0
346,754.0
347,716.0
348,720.0
349,740.0
350,754.0
351,714.0
352,722.0
353,720.0
354,686.0
355,676.0
356,706.0
357,728.0
358,734.0
359,754.0
360,722.0
361,680.0
362,702.0
363,714.0
364,688.0
365,722.0
366,740.0
367,702.0
368,694.0
369,726.0352422907489
370,726.0
371,740.0
372,742.0
373,772.0
374,782.0
375,740.0
376,726.0352422907489
377,750.0
378,708.0
379,730.0
380,748.0
381,712.0
382,734.0
383,768.0
384,756.0
385,738.0
386,766.0
387,742.0
388,730.0
389,756.0
390,750.0
391,730.0
392,770.0
393,766.0
394,742.0
395,766.0
396,768.0
397,750.0
398,766.0
399,718.0
400,726.0
401,738.0
402,718.0
403,726.0352422907489
404,752.0
405,738.0
406,708.0
407,742.0
408,734.0
409,726.0
410,758.0
411,732.0
412,734.0
413,760.0
414,702.0
415,726.0352422907489
416,760.0
417,696.0
418,712.0
419,726.0
420,694.0
421,724.0
422,724.0
423,692.0
424,726.0
425,730.0
426,692.0
427,732.0
428,748.0
429,704.0
430,726.0
431,732.0
432,694.0
433,710.0
434,726.0
435,706.0
436,710.0
437,722.0
438,710.0
439,714.0
440,744.0
441,718.0
442,746.0
443,764.0
444,738.0
445,762.0
446,768.0
447,762.0
448,752.0
449,724.0
450,748.0
451,736.0
452,702.0
453,716.0
