,0
0,868.0
1,930.0
2,962.0
3,902.0
4,878.0
5,920.0
6,922.0
7,876.0
8,872.0
9,940.0
10,872.0
11,832.0
12,900.0
13,858.0
14,950.0
15,926.0
16,894.0
17,886.0
18,932.0
19,914.0
20,822.0
21,888.0
22,896.0
23,882.0
24,862.0
25,890.0
26,908.0
27,854.0
28,808.0
29,876.0
30,882.0
31,904.0
32,836.0
33,838.0
34,876.0
35,864.0
36,804.0
37,880.0883977900553
38,844.0
39,828.0
40,876.0
41,884.0
42,808.0
43,876.0
44,940.0
45,856.0
46,900.0
47,912.0
48,920.0
49,836.0
50,904.0
51,904.0
52,830.0
53,866.0
54,906.0
55,840.0
56,798.0
57,880.0
58,896.0
59,896.0
60,814.0
61,878.0
62,956.0
63,924.0
64,828.0
65,862.0
66,924.0
67,926.0
68,838.0
69,848.0
70,906.0
71,918.0
72,850.0
73,812.0
74,896.0
75,916.0
76,890.0
77,810.0
78,874.0
79,922.0
80,916.0
81,840.0
82,930.0
83,938.0
84,852.0
85,888.0
86,928.0
87,854.0
88,872.0
89,900.0
90,854.0
91,898.0
92,918.0
93,832.0
94,854.0
95,888.0
96,838.0
97,864.0
98,918.0
99,942.0
100,974.0
101,988.0
102,976.0
103,898.0
104,974.0
105,940.0
106,878.0
107,896.0
108,904.0
109,892.0
110,868.0
111,802.0
112,740.0
113,792.0
114,748.0
115,842.0
116,984.0
117,978.0
118,936.0
119,902.0
120,924.0
121,940.0
122,932.0
123,840.0
124,880.0
125,922.0
126,924.0
127,880.0
128,868.0
129,910.0
130,902.0
131,830.0
132,888.0
133,938.0
134,874.0
135,838.0
136,920.0
137,930.0
138,940.0
139,974.0
140,864.0
141,830.0
142,888.0
143,920.0
144,896.0
145,806.0
146,868.0
147,942.0
148,942.0
149,926.0
150,858.0
151,940.0
152,950.0
153,958.0
154,836.0
155,884.0
156,916.0
157,920.0
158,828.0
159,800.0
160,862.0
161,910.0
162,890.0
163,828.0
164,910.0
165,914.0
166,876.0
167,928.0
168,924.0
169,864.0
170,832.0
171,890.0
172,892.0
173,836.0
174,870.0
175,838.0
176,800.0
177,832.0
178,784.0
179,834.0
180,868.0
181,876.0
182,840.0
183,832.0
184,910.0
185,886.0
186,830.0
187,932.0
188,926.0
189,846.0
190,910.0
191,904.0
192,826.0
193,898.0
194,910.0
195,822.0
196,872.0
197,922.0
198,840.0
199,870.0
200,934.0
201,816.0
202,878.0
203,934.0
204,842.0
205,814.0
206,884.0
207,928.0
208,804.0
209,924.0
210,946.0
211,862.0
212,876.0
213,930.0
214,878.0
215,876.0
216,944.0
217,930.0
218,910.0
219,954.0
220,876.0
221,930.0
222,966.0
223,894.0
224,958.0
225,958.0
226,894.0
227,958.0
228,962.0
229,860.0
230,892.0
231,898.0
232,852.0
233,906.0
234,900.0
235,872.0
236,936.0
237,868.0
238,870.0
239,918.0
240,904.0
241,834.0
242,884.0
243,914.0
244,920.0
245,816.0
246,886.0
247,940.0
248,864.0
249,814.0
250,944.0
251,930.0
252,828.0
253,888.0
254,928.0
255,844.0
256,858.0
257,896.0
258,882.0
259,830.0
260,900.0
261,938.0
262,872.0
263,934.0
264,946.0
265,834.0
266,888.0
267,908.0
268,898.0
269,828.0
270,880.0
271,918.0
272,872.0
273,836.0
274,916.0
275,926.0
276,856.0
277,860.0
278,940.0
279,954.0
280,872.0
281,870.0
282,932.0
283,912.0
284,822.0
285,896.0
286,906.0
287,862.0
288,810.0
289,888.0
290,942.0
291,902.0
292,822.0
293,910.0
294,922.0
295,836.0
296,856.0
297,910.0
298,916.0
299,848.0
300,820.0
301,866.0
302,884.0
303,824.0
304,808.0
305,886.0
306,848.0
307,834.0
308,852.0
309,784.0
310,784.0
311,826.0
312,848.0
313,754.0
314,826.0
315,882.0
316,896.0
317,780.0
318,890.0
319,924.0
320,814.0
321,858.0
322,882.0
323,866.0
324,790.0
325,908.0
326,912.0
327,792.0
328,920.0
329,908.0
330,780.0
331,880.0
332,906.0
333,840.0
334,840.0
335,886.0
336,876.0
337,802.0
338,892.0
339,906.0
340,816.0
341,910.0
342,902.0
343,786.0
344,904.0
345,912.0
346,792.0
347,916.0
348,924.0
349,844.0
350,766.0
351,858.0
352,874.0
353,746.0
354,858.0
355,922.0
356,862.0
357,744.0
358,842.0
359,892.0
360,860.0
361,870.0
