,0
0,960.0
1,888.0
2,910.0
3,964.0
4,968.0
5,840.0
6,942.0
7,940.0
8,878.0
9,982.0
10,956.0
11,872.0
12,984.0
13,1006.0
14,886.0
15,1002.0
16,956.0
17,928.0
18,968.0
19,860.0
20,942.0
21,860.0
22,914.0
23,904.0
24,920.0
25,922.0
26,938.0
27,912.0
28,956.0
29,926.0
30,880.0
31,924.0
32,840.0
33,922.0
34,928.0
35,900.0
36,944.0
37,876.0
38,938.0
39,932.0
40,876.0
41,926.0
42,872.0
43,944.0
44,880.0
45,924.0
46,852.0
47,942.0
48,858.0
49,918.0
50,912.0
51,872.0
52,930.0
53,856.0
54,952.0
55,878.0
56,892.0
57,940.0
58,866.0
59,950.0
60,898.0
61,938.0
62,912.0
63,900.0
64,948.0
65,882.0
66,946.0
67,832.0
68,890.0
69,894.0
70,822.0
71,920.0
72,888.0
73,842.0
74,924.0
75,844.0
76,920.0
77,890.0
78,864.0
79,930.0
80,842.0
81,906.0
82,866.0
83,862.0
84,916.0
85,836.0
86,892.0
87,902.0
88,828.0
89,926.0
90,882.0
91,878.0
92,912.0
93,836.0
94,920.0
95,864.0
96,872.0
97,914.0
98,840.0
99,904.0
100,854.0
101,858.0
102,908.0
103,846.0
104,932.0
105,920.0
106,882.0
107,910.0
108,832.0
109,884.0
110,914.0
111,830.0
112,890.0
113,852.0
114,876.0
115,922.0
116,856.0
117,922.0
118,848.0
119,912.0
120,936.0
121,860.0
122,922.0
123,866.0
124,946.0
125,852.0
126,896.0
127,892.0
128,912.0
129,932.0
130,868.0
131,954.0
132,846.0
133,932.0
134,892.0
135,918.0
136,874.0
137,858.0
138,928.0
139,908.0
140,860.0
141,952.0
142,846.0
143,902.0
144,900.0
145,856.0
146,952.0
147,872.0
148,864.0
149,914.0
150,850.0
151,894.0
152,942.0
153,886.0
154,918.0
155,868.0
156,924.0
157,942.0
158,844.0
159,950.0
160,920.0
161,870.0
162,906.0
163,846.0
164,908.0
165,896.0
166,832.0
167,904.0
168,840.0
169,854.0
170,916.0
171,840.0
172,890.0
173,870.0
174,864.0
175,896.0
176,838.0
177,886.0
178,910.0
179,838.0
180,920.0
181,878.0
182,840.0
183,906.0
184,854.0
185,896.0
186,904.0
187,846.0
188,894.0
189,866.0
190,822.0
191,872.0
192,840.0
193,830.0
194,892.0
195,848.0
196,856.0
197,900.0
198,864.0
199,854.0
200,862.0
201,824.0
202,808.0
203,854.0
204,822.0
205,826.0
206,828.0
207,814.0
208,864.0
209,836.0
210,912.0
211,866.0
212,886.0
213,900.0
214,862.0
215,912.0
216,866.0
217,848.0
218,906.0
219,900.0
220,906.0
221,918.0
