,0
0,882.0
1,862.0
2,788.0
3,804.0
4,860.0
5,912.0
6,954.0
7,884.0
8,820.0
9,862.0
10,908.0
11,930.0
12,944.0
13,900.0
14,870.0
15,920.0
16,956.0
17,934.0
18,902.0
19,948.0
20,980.0
21,972.0
22,952.0
23,908.0
24,952.0
25,974.0
26,918.0
27,954.0
28,964.0
29,920.0
30,888.0
31,934.0
32,898.0
33,818.0
34,780.0
35,891.5977337110481
36,891.5977337110481
37,792.0
38,866.0
39,900.0
40,894.0
41,874.0
42,908.0
43,914.0
44,896.0
45,880.0
46,902.0
47,912.0
48,830.0
49,754.0
50,891.5977337110481
51,874.0
52,970.0
53,1000.0
54,984.0
55,958.0
56,1004.0
57,990.0
58,982.0
59,890.0
60,884.0
61,926.0
62,958.0
63,974.0
64,932.0
65,860.0
66,906.0
67,976.0
68,980.0
69,970.0
70,908.0
71,950.0
72,956.0
73,946.0
74,888.0
75,928.0
76,946.0
77,958.0
78,932.0
79,800.0
80,808.0
81,866.0
82,930.0
83,956.0
84,944.0
85,930.0
86,932.0
87,956.0
88,960.0
89,962.0
90,968.0
91,972.0
92,966.0
93,946.0
94,876.0
95,924.0
96,954.0
97,974.0
98,980.0
99,934.0
100,886.0
101,932.0
102,968.0
103,976.0
104,926.0
105,926.0
106,948.0
107,938.0
108,946.0
109,896.0
110,930.0
111,948.0
112,934.0
113,866.0
114,896.0
115,944.0
116,940.0
117,924.0
118,868.0
119,888.0
120,908.0
121,894.0
122,860.0
123,882.0
124,922.0
125,886.0
126,824.0
127,870.0
128,900.0
129,874.0
130,778.0
131,820.0
132,882.0
133,928.0
134,924.0
135,886.0
136,898.0
137,906.0
138,894.0
139,838.0
140,866.0
141,868.0
142,872.0
143,842.0
144,802.0
145,846.0
146,860.0
147,868.0
148,814.0
149,868.0
150,910.0
151,890.0
152,842.0
153,898.0
154,930.0
155,910.0
156,862.0
157,922.0
158,916.0
159,868.0
160,866.0
161,908.0
162,912.0
163,876.0
164,892.0
165,938.0
166,932.0
167,872.0
168,908.0
169,932.0
170,884.0
171,856.0
172,882.0
173,880.0
174,854.0
175,858.0
176,892.0
177,912.0
178,878.0
179,884.0
180,916.0
181,928.0
182,876.0
183,892.0
184,924.0
185,932.0
186,912.0
187,840.0
188,852.0
189,866.0
190,876.0
191,836.0
192,850.0
193,900.0
194,930.0
195,904.0
196,840.0
197,886.0
198,914.0
199,896.0
200,846.0
201,890.0
202,882.0
203,842.0
204,748.0
205,766.0
206,740.0
207,891.5977337110481
208,768.0
209,756.0
210,748.0
211,824.0
212,888.0
213,854.0
214,866.0
215,904.0
216,922.0
217,864.0
218,838.0
219,868.0
220,874.0
221,852.0
222,782.0
223,848.0
224,880.0
225,898.0
226,846.0
227,874.0
228,932.0
229,902.0
230,892.0
231,812.0
232,832.0
233,804.0
234,824.0
235,918.0
236,942.0
237,864.0
238,922.0
239,970.0
240,946.0
241,912.0
242,954.0
243,986.0
244,964.0
245,904.0
246,904.0
247,928.0
248,870.0
249,772.0
250,810.0
251,890.0
252,882.0
253,800.0
254,884.0
255,924.0
256,888.0
257,854.0
258,916.0
259,946.0
260,902.0
261,934.0
262,976.0
263,956.0
264,884.0
265,898.0
266,918.0
267,930.0
268,886.0
269,946.0
270,966.0
271,944.0
272,870.0
273,894.0
274,924.0
275,868.0
276,798.0
277,826.0
278,890.0
279,910.0
280,884.0
281,948.0
282,950.0
283,862.0
284,872.0
285,878.0
286,850.0
287,802.0
288,856.0
289,898.0
290,872.0
291,820.0
292,814.0
293,860.0
294,878.0
295,838.0
296,866.0
297,890.0
298,894.0
299,844.0
300,896.0
301,936.0
302,892.0
303,850.0
304,878.0
305,884.0
306,896.0
307,856.0
308,880.0
309,898.0
310,888.0
311,860.0
312,822.0
313,870.0
314,874.0
315,858.0
316,780.0
317,822.0
318,880.0
319,886.0
320,848.0
321,888.0
322,926.0
323,864.0
324,884.0
325,928.0
326,952.0
327,874.0
328,888.0
329,906.0
330,888.0
331,832.0
332,874.0
333,900.0
334,912.0
335,878.0
336,924.0
337,962.0
338,924.0
339,862.0
340,910.0
341,946.0
342,888.0
343,906.0
344,932.0
345,916.0
346,858.0
347,924.0
348,924.0
349,898.0
350,852.0
351,910.0
352,952.0
