,0
0,928.0
1,924.0
2,870.0
3,910.0
4,938.0
5,948.0
6,874.0
7,906.0
8,938.0
9,902.0
10,894.0
11,836.0
12,826.0
13,906.0
14,936.0
15,880.0
16,850.0
17,920.0
18,940.0
19,920.0
20,874.0
21,924.0
22,928.0
23,862.0
24,900.0
25,940.0
26,920.0
27,866.0
28,948.0
29,958.0
30,894.0
31,886.0
32,930.0
33,932.0
34,890.0
35,876.0
36,916.0
37,956.0
38,868.0
39,864.0
40,926.0
41,954.0
42,920.0
43,890.0
44,932.0
45,942.0
46,890.0
47,896.0
48,924.0
49,948.0
50,870.0
51,914.0
52,958.0
53,938.0
54,882.0
55,922.0
56,940.0
57,902.0
58,866.0
59,922.0
60,964.0
61,924.0
62,840.0
63,892.0
64,926.0
65,890.0
66,832.0
67,892.0
68,918.0
69,922.0
70,850.0
71,814.0
72,800.0
73,872.0
74,844.0
75,856.0
76,916.0
77,906.0
78,850.0
79,878.0
80,918.0
81,910.0
82,858.0
83,868.0
84,902.0
85,910.0
86,864.0
87,896.0
88,924.0
89,920.0
90,866.0
91,922.0
92,944.0
93,954.0
94,888.0
95,920.0
96,966.0
97,950.0
98,912.0
99,960.0
100,980.0
101,946.0
102,884.0
103,924.0
104,926.0
105,892.0
106,854.0
107,912.0
108,936.0
109,942.0
110,878.0
111,914.0
112,930.0
113,936.0
114,888.0
115,908.0
116,942.0
117,918.0
118,858.0
119,914.0
120,936.0
121,924.0
122,842.0
123,876.0
124,912.0
125,902.0
126,820.0
127,902.0
128,976.0
129,968.0
130,894.0
131,954.0
132,976.0
133,940.0
134,872.0
135,910.0
136,944.0
137,946.0
138,892.0
139,862.0
140,898.0
141,908.0
142,868.0
143,848.0
144,892.0
145,920.0
146,872.0
147,854.0
148,892.0
149,924.0
150,898.0
151,828.0
152,838.0
153,868.0
154,882.0
155,838.0
156,862.0
157,872.0
158,880.0
159,822.0
160,782.0
161,816.0
162,854.0
163,836.0
164,788.0
165,804.0
166,856.0
167,860.0
168,800.0
169,834.0
170,884.0
171,910.0
172,854.0
173,892.0
174,908.0
175,900.0
176,814.0
177,846.0
178,852.0
179,850.0
180,768.0
181,826.0
182,860.0
183,858.0
184,806.0
185,840.0
186,884.0
187,882.0
188,814.0
189,828.0
190,834.0
191,822.0
192,776.0
193,810.0
194,844.0
195,874.0
196,822.0
197,858.0
198,874.0
199,864.0
200,804.0
201,848.0
202,864.0
203,850.0
204,794.0
205,824.0
206,852.0
207,860.0
208,806.0
209,844.0
210,882.0
211,884.0
212,828.0
213,870.0
214,908.0
215,890.0
216,844.0
217,864.0
218,888.0
219,894.0
220,850.0
221,850.0
222,898.0
223,910.0
224,866.0
225,854.0
226,882.0
227,858.0
228,800.0
229,852.0
230,864.0
231,826.0
232,798.0
233,836.0
234,876.0
235,906.0
236,844.0
237,846.0
238,884.0
239,908.0
240,866.0
241,884.0
242,890.0
243,898.0
244,842.0
245,854.0
246,858.0
247,848.0
248,778.0
249,826.0
250,882.0
251,902.0
252,838.0
253,834.0
254,884.0
255,892.0
256,888.0
257,846.0
258,880.0
259,898.0
260,888.0
261,818.0
262,852.0
263,870.0
264,892.0
265,862.0
266,886.0
267,930.0
268,918.0
269,874.0
270,884.0
271,916.0
272,870.0
273,838.0
274,902.0
275,936.0
276,880.0
277,910.0
278,950.0
279,926.0
280,822.0
281,838.0
282,884.0
283,910.0
284,878.0
285,902.0
286,934.0
287,922.0
288,856.0
289,848.0
290,898.0
291,918.0
292,860.0
293,896.0
294,918.0
295,914.0
296,850.0
297,888.0
298,902.0
299,848.0
300,824.0
301,876.0
302,914.0
303,830.0
304,872.0
305,890.0
306,852.0
307,844.0
308,886.0
309,900.0
310,856.0
311,864.0
312,896.0
313,894.0
314,836.0
315,832.0
316,856.0
317,882.0
318,838.0
319,758.0
320,782.0
321,816.0
322,786.0
323,873.4130434782609
324,792.0
325,830.0
326,832.0
327,780.0
328,822.0
329,832.0
330,812.0
331,792.0
332,826.0
333,848.0
334,820.0
335,806.0
336,840.0
337,844.0
338,798.0
339,873.4130434782609
340,738.0
341,790.0
342,760.0
343,732.0
344,778.0
345,806.0
346,748.0
347,758.0
348,804.0
349,828.0
350,812.0
351,772.0
352,810.0
353,848.0
354,854.0
355,802.0
356,832.0
357,852.0
358,852.0
359,798.0
360,774.0
361,836.0
362,890.0
363,878.0
364,848.0
365,944.0
366,960.0
367,924.0
