,0
0,870.0
1,796.0
2,820.0
3,878.0
4,912.0
5,906.0
6,886.0
7,908.0
8,900.0
9,894.0
10,868.0
11,828.0
12,884.0
13,880.0
14,880.0
15,846.0
16,880.0
17,904.0
18,896.0
19,820.0
20,850.0
21,862.0
22,846.0
23,816.0
24,880.0
25,890.0
26,870.0
27,822.0
28,874.0
29,884.0
30,846.0
31,834.0
32,858.0
33,794.0
34,766.0
35,808.0
36,752.0
37,802.0
38,842.0
39,874.0
40,814.0
41,828.0
42,850.0
43,870.0
44,856.0
45,850.0
46,882.0
47,882.0
48,822.0
49,846.0
50,854.0
51,858.0
52,804.0
53,842.0
54,854.0
55,876.0
56,820.0
57,832.0
58,844.0
59,842.0
60,798.0
61,814.0
62,822.0
63,838.0
64,808.0
65,846.0
66,802.0
67,760.0
68,780.0
69,766.0
70,762.0
71,802.0
72,816.0
73,814.0
74,762.0
75,816.0
76,836.0
77,844.0
78,782.0
79,822.0
80,858.0
81,874.0
82,788.0
83,794.0
84,816.0
85,798.0
86,754.0
87,846.0
88,874.0
89,918.0
90,846.0
91,918.0
92,942.0
93,936.0
94,878.0
95,960.0
96,958.0
97,912.0
98,848.0
99,894.0
100,906.0
101,886.0
102,822.0
103,858.0
104,862.0
105,842.0
106,774.0
107,820.0
108,836.0
109,836.0
110,784.0
111,810.0
112,842.0
113,836.0
114,788.0
115,846.0
116,866.0
117,842.0
118,796.0
119,832.0
120,846.0
121,834.0
122,794.0
123,838.0
124,870.0
125,870.0
126,804.0
127,840.0
128,862.0
129,864.0
130,798.0
131,834.0
132,862.0
133,842.0
134,792.0
135,828.0
136,846.0
137,868.0
138,802.0
139,862.0
140,884.0
141,854.0
142,806.0
143,846.0
144,858.0
145,854.0
146,794.0
147,836.0
148,846.0
149,818.0
150,762.0
151,820.0
152,850.0
153,852.0
154,782.0
155,842.0
156,876.0
157,854.0
158,796.0
159,842.0
160,878.0
161,866.0
162,784.0
163,832.0
164,850.0
165,852.0
166,806.0
167,866.0
168,882.0
169,836.0
170,850.0
171,888.0
172,904.0
173,822.0
174,872.0
175,872.0
176,850.0
177,764.0
178,812.0
179,840.0
180,860.0
181,786.0
182,822.0
183,844.0
184,854.0
185,774.0
186,838.0
187,884.0
188,892.0
189,804.0
190,836.0
191,850.0
192,800.0
193,770.0
194,840.0
195,840.0
196,774.0
197,762.0
198,722.0
199,829.1271186440678
200,724.0
201,724.0
202,752.0
203,702.0
204,764.0
205,792.0
206,836.0
207,792.0
208,756.0
209,798.0
210,808.0
211,772.0
212,722.0
213,792.0
214,806.0
215,822.0
216,740.0
217,802.0
218,808.0
219,782.0
220,708.0
221,776.0
222,810.0
223,802.0
224,736.0
225,794.0
226,824.0
227,804.0
228,728.0
229,792.0
230,804.0
231,758.0
232,712.0
233,758.0
234,708.0
235,742.0
