,0
0,802.0
1,706.0
2,708.0
3,780.0
4,944.0
5,990.0
6,1002.0
7,988.0
8,902.0
9,930.0
10,948.0
11,878.0
12,840.0
13,804.0
14,740.0
15,696.0
16,720.0
17,738.0
18,778.0
19,782.0
20,782.0
21,822.0
22,830.0
23,842.0
24,758.0
25,840.0
26,860.0
27,856.0
28,796.0
29,832.0
30,836.0
31,788.0
32,794.0
33,830.0
34,828.0
35,790.0
36,782.0
37,802.0
38,824.0
39,780.0
40,788.0
41,818.0
42,826.0
43,802.0
44,776.0
45,808.0
46,818.0
47,804.0
48,764.0
49,804.0
50,814.0
51,802.0
52,758.0
53,826.0
54,828.0
55,776.0
56,764.0
57,798.0
58,806.0
59,728.0
60,786.0
61,832.0
62,826.0
63,750.0
64,810.0
65,810.0
66,788.0
67,726.0
68,824.0
69,852.0
70,788.0
71,794.0
72,848.0
73,840.0
74,774.0
75,846.0
76,876.0
77,814.0
78,832.0
79,864.0
80,872.0
81,792.0
82,858.0
83,886.0
84,838.0
85,788.0
86,868.0
87,872.0
88,768.0
89,834.0
90,844.0
91,834.0
92,770.0
93,880.0
94,922.0
95,852.0
96,878.0
97,916.0
98,894.0
99,824.0
100,886.0
101,888.0
102,812.0
103,864.0
104,870.0
105,804.0
106,798.0
107,860.0
108,866.0
109,796.0
110,854.0
111,880.0
112,862.0
113,832.0
114,902.0
115,918.0
116,856.0
117,906.0
118,934.0
119,884.0
120,866.0
121,926.0
122,910.0
123,824.0
124,918.0
125,918.0
126,858.0
127,880.0
128,904.0
129,902.0
130,818.0
131,884.0
132,912.0
133,894.0
134,830.0
135,904.0
136,928.0
137,864.0
138,882.0
139,938.0
140,920.0
141,858.0
142,900.0
143,944.0
144,914.0
145,848.0
146,932.0
147,960.0
148,880.0
149,920.0
150,942.0
151,926.0
152,864.0
153,956.0
154,974.0
155,878.0
156,896.0
157,922.0
158,894.0
159,822.0
160,890.0
161,922.0
162,858.0
163,874.0
164,886.0
165,880.0
166,814.0
167,862.0
168,880.0
169,850.0
170,836.0
171,862.0
172,864.0
173,784.0
174,826.0
175,842.0
176,842.0
177,766.0
178,834.0
179,876.0
180,842.0
181,794.0
182,850.0
183,852.0
184,824.0
185,816.0
186,846.0
187,850.0
188,782.0
189,846.0
190,856.0
191,844.0
192,782.0
193,830.0
194,824.0
195,808.0
196,724.0
197,714.0
198,768.0
199,776.0
200,708.0
201,840.0
202,872.0
203,896.0
204,826.0
205,870.0
206,882.0
207,878.0
208,846.0
209,820.0
210,836.0
211,862.0
212,864.0
213,808.0
214,850.0
215,870.0
216,880.0
217,810.0
218,818.0
219,874.0
220,886.0
221,880.0
222,818.0
223,856.0
224,860.0
225,864.0
226,850.0
227,878.0
228,904.0
229,908.0
230,876.0
231,890.0
232,898.0
233,872.0
234,812.0
235,862.0
236,910.0
237,938.0
238,878.0
239,918.0
240,940.0
241,934.0
242,862.0
243,898.0
244,912.0
245,908.0
246,866.0
247,874.0
248,888.0
249,908.0
250,896.0
251,808.0
252,890.0
253,924.0
254,890.0
255,842.0
256,914.0
257,926.0
258,932.0
259,862.0
260,920.0
261,940.0
262,892.0
263,812.0
264,866.0
265,894.0
266,938.0
267,870.0
268,882.0
269,904.0
270,932.0
271,912.0
272,936.0
273,942.0
274,846.0
275,820.0
276,832.0
277,846.0
278,862.0
279,862.0
280,864.0
281,852.0
282,806.0
283,830.0
284,850.0
285,850.0
286,846.0
287,796.0
288,838.0
289,876.0
290,884.0
291,816.0
292,830.0
293,850.0
294,876.0
295,864.0
296,812.0
297,828.0
298,854.0
299,870.0
300,862.0
301,810.0
302,836.0
303,840.0
304,864.0
305,832.0
306,832.0
307,854.0
308,868.0
309,860.0
310,766.0
311,782.0
312,790.0
313,800.0
314,712.0
315,764.0
316,792.0
317,806.0
318,794.0
319,724.0
320,822.0
321,826.0
322,838.0
323,782.0
324,788.0
325,810.0
326,824.0
327,764.0
328,794.0
329,818.0
330,810.0
331,738.0
332,790.0
333,814.0
334,822.0
335,776.0
336,798.0
337,806.0
338,814.0
339,762.0
340,794.0
341,826.0
342,842.0
343,790.0
344,768.0
345,792.0
346,812.0
347,824.0
348,770.0
349,820.0
350,848.0
351,864.0
352,800.0
353,834.0
354,856.0
355,862.0
356,802.0
357,838.0
358,860.0
359,842.0
360,776.0
361,836.0
362,876.0
363,876.0
364,782.0
365,836.0
366,856.0
367,852.0
368,782.0
369,846.0
370,886.0
371,900.0
372,816.0
373,872.0
374,902.0
