,0
0,914.0
1,914.0
2,846.0
3,856.0
4,858.0
5,818.0
6,818.0
7,886.0
8,906.0
9,884.0
10,912.0
11,944.0
12,902.0
13,928.0
14,920.0
15,872.0
16,868.0
17,898.0
18,918.0
19,882.0
20,912.0
21,948.0
22,936.0
23,886.0
24,916.0
25,916.0
26,868.0
27,838.0
28,872.0
29,914.0
30,894.0
31,912.0
32,936.0
33,932.0
34,894.0
35,922.0
36,926.0
37,888.0
38,892.0
39,912.0
40,922.0
41,888.0
42,922.0
43,938.0
44,916.0
45,872.0
46,888.0
47,884.0
48,860.0
49,846.0
50,880.0
51,886.0
52,848.0
53,830.0
54,872.0
55,912.0
56,862.0
57,878.0
58,912.0
59,898.0
60,910.0
61,924.0
62,906.0
63,888.0
64,930.0
65,926.0
66,890.0
67,914.0
68,958.0
69,914.0
70,930.0
71,890.0
72,852.0
73,934.0
74,952.0
75,896.0
76,920.0
77,936.0
78,912.0
79,868.0
80,906.0
81,924.0
82,882.0
83,878.0
84,922.0
85,936.0
86,892.0
87,918.0
88,944.0
89,892.0
90,930.0
91,948.0
92,898.0
93,840.0
94,890.0
95,869.2640449438202
96,869.2640449438202
97,662.0
98,894.0
99,852.0
100,912.0
101,910.0
102,842.0
103,870.0
104,942.0
105,908.0
106,848.0
107,892.0
108,924.0
109,870.0
110,874.0
111,926.0
112,922.0
113,862.0
114,869.2640449438202
115,900.0
116,922.0
117,850.0
118,870.0
119,874.0
120,832.0
121,814.0
122,878.0
123,876.0
124,784.0
125,840.0
126,898.0
127,876.0
128,826.0
129,896.0
130,896.0
131,828.0
132,852.0
133,956.0
134,946.0
135,854.0
136,926.0
137,946.0
138,912.0
139,882.0
140,950.0
141,930.0
142,848.0
143,876.0
144,892.0
145,826.0
146,822.0
147,918.0
148,884.0
149,810.0
150,850.0
151,898.0
152,854.0
153,850.0
154,934.0
155,924.0
156,840.0
157,888.0
158,944.0
159,884.0
160,826.0
161,912.0
162,936.0
163,880.0
164,858.0
165,914.0
166,904.0
167,864.0
168,980.0
169,992.0
170,892.0
171,782.0
172,842.0
173,852.0
174,778.0
175,758.0
176,828.0
177,872.0
178,828.0
179,864.0
180,894.0
181,830.0
182,798.0
183,842.0
184,852.0
185,798.0
186,880.0
187,930.0
188,860.0
189,828.0
190,890.0
191,874.0
192,770.0
193,820.0
194,918.0
195,890.0
196,862.0
197,928.0
198,930.0
199,870.0
200,916.0
201,918.0
202,852.0
203,920.0
204,932.0
205,886.0
206,904.0
207,930.0
208,884.0
209,834.0
210,862.0
211,852.0
212,776.0
213,768.0
214,856.0
215,926.0
216,868.0
217,934.0
218,976.0
219,908.0
220,832.0
221,890.0
222,938.0
223,870.0
224,854.0
225,888.0
226,844.0
227,796.0
228,856.0
229,876.0
230,834.0
231,848.0
232,876.0
233,850.0
234,792.0
235,824.0
236,838.0
237,798.0
238,760.0
239,808.0
240,826.0
241,788.0
242,750.0
243,824.0
244,838.0
245,784.0
246,764.0
247,822.0
248,842.0
249,782.0
250,752.0
251,808.0
252,820.0
253,774.0
254,732.0
255,790.0
256,846.0
257,808.0
258,764.0
259,850.0
260,900.0
261,868.0
262,826.0
263,906.0
264,958.0
265,870.0
266,786.0
267,820.0
268,846.0
269,824.0
270,770.0
271,822.0
272,866.0
273,818.0
274,772.0
275,824.0
276,884.0
277,838.0
278,822.0
279,846.0
280,822.0
281,748.0
282,736.0
283,764.0
284,766.0
285,734.0
286,736.0
287,840.0
288,878.0
289,874.0
290,882.0
291,854.0
292,788.0
293,816.0
294,866.0
295,802.0
296,798.0
297,842.0
298,864.0
299,806.0
300,824.0
301,870.0
302,864.0
303,800.0
304,876.0
305,912.0
306,882.0
307,872.0
308,922.0
309,928.0
310,834.0
311,908.0
312,980.0
313,906.0
314,812.0
315,828.0
316,860.0
317,852.0
318,814.0
319,896.0
320,978.0
321,902.0
322,850.0
323,890.0
324,924.0
325,880.0
326,890.0
327,960.0
328,934.0
329,926.0
330,980.0
331,986.0
332,918.0
333,964.0
334,980.0
335,918.0
336,880.0
337,940.0
338,944.0
339,864.0
340,894.0
341,930.0
342,904.0
343,854.0
344,942.0
345,992.0
346,916.0
347,942.0
348,1000.0
349,940.0
350,930.0
351,980.0
352,976.0
353,938.0
354,968.0
355,990.0
