,0
0,836.0
1,806.0
2,758.0
3,792.0
4,818.0
5,846.0
6,802.0
7,786.0
8,844.0
9,874.0
10,832.0
11,832.0
12,860.0
13,872.0
14,834.0
15,872.0
16,896.0
17,888.0
18,828.0
19,850.0
20,880.0
21,842.0
22,872.0
23,884.0
24,844.0
25,872.0
26,912.0
27,864.0
28,894.0
29,914.0
30,876.0
31,888.0
32,938.0
33,916.0
34,942.0
35,954.0
36,912.0
37,906.0
38,912.0
39,894.0
40,894.0
41,920.0
42,912.0
43,872.0
44,914.0
45,924.0
46,882.0
47,884.0
48,918.0
49,886.0
50,856.0
51,890.0
52,924.0
53,862.0
54,866.0
55,906.0
56,900.0
57,854.0
58,898.0
59,930.0
60,878.0
61,888.0
62,930.0
63,878.0
64,900.0
65,920.0
66,852.0
67,876.0
68,862.0
69,828.0
70,868.0
71,872.0
72,858.0
73,922.0
74,912.0
75,844.0
76,854.0
77,884.0
78,860.0
79,790.0
80,822.0
81,842.0
82,812.0
83,810.0
84,862.0
85,840.0
86,808.0
87,870.0
88,862.0
89,800.0
90,810.0
91,832.0
92,812.0
93,774.0
94,820.0
95,878.0
96,870.0
97,822.0
98,884.0
99,912.0
100,862.0
101,854.0
102,894.0
103,882.0
104,826.0
105,900.0
106,926.0
107,862.0
108,880.0
109,926.0
110,846.0
111,802.0
112,834.0
113,876.0
114,820.0
115,788.0
116,824.0
117,860.0
118,834.0
119,862.0
120,900.0
121,830.0
122,786.0
123,860.0
124,900.0
125,846.0
126,866.0
127,880.0
128,834.0
129,882.0
130,876.0
131,828.0
132,864.0
133,854.0
134,834.0
135,850.0
136,824.0
137,782.0
138,820.0
139,818.0
140,778.0
141,760.0
142,840.0
143,852.0
144,796.0
145,792.0
146,832.0
147,828.0
148,772.0
149,836.0
150,834.0
151,774.0
152,836.0
153,852.0
154,804.0
155,818.0
156,872.0
157,860.0
158,786.0
159,830.0
160,856.0
161,832.0
162,774.0
163,826.0
164,876.0
165,868.0
166,812.0
167,848.0
168,848.0
169,788.0
170,810.0
171,854.0
172,848.0
173,778.0
174,834.0
175,868.0
176,838.0
177,784.0
178,842.0
179,852.0
180,806.0
181,770.0
182,822.0
183,840.0
184,794.0
185,786.0
186,812.0
187,812.0
188,762.0
189,808.0
190,846.0
191,794.0
192,780.0
193,812.0
194,842.0
195,778.0
196,766.0
197,848.0
198,858.0
199,776.0
200,748.0
201,808.0
202,820.0
203,820.0
204,756.0
205,818.0
206,850.0
207,808.0
208,818.0
209,844.0
210,810.0
211,766.0
212,838.0
213,888.0
214,816.0
215,830.0
216,882.0
217,888.0
218,818.0
219,860.0
220,938.0
221,904.0
222,866.0
223,906.0
224,944.0
225,874.0
226,874.0
227,916.0
228,882.0
229,804.0
230,842.0
231,832.0
232,764.0
233,738.0
234,834.0
235,826.0
236,826.0
237,862.0
238,824.0
239,798.0
240,854.0
241,852.0
242,772.0
243,810.0
244,856.0
245,820.0
246,776.0
247,824.0
248,830.0
249,764.0
250,816.0
251,842.0
252,802.0
253,784.0
254,844.0
255,826.0
256,782.0
257,844.0
258,894.0
259,840.0
260,854.0
261,880.0
262,862.0
263,824.0
264,770.0
265,814.0
266,878.0
267,832.0
268,790.0
269,854.0
270,866.0
271,786.0
272,818.0
273,858.0
274,810.0
275,816.0
276,862.0
277,832.0
278,804.0
279,836.0
280,802.0
281,802.0
282,826.0
283,816.0
284,776.0
285,828.0
286,840.0
287,778.0
288,776.0
289,818.0
290,828.0
291,768.0
292,796.0
293,824.0
294,760.0
295,782.0
296,802.0
297,760.0
298,766.0
299,804.0
300,798.0
301,752.0
302,810.0
303,820.0
304,748.0
305,764.0
306,790.0
307,774.0
308,732.0
309,774.0
310,794.0
311,786.0
312,726.0
313,792.0
314,822.0
315,778.0
316,774.0
317,780.0
318,792.0
319,746.0
320,780.0
321,818.0
322,792.0
323,766.0
324,808.0
325,830.0
326,776.0
327,780.0
328,834.0
329,828.0
330,774.0
331,792.0
332,848.0
333,810.0
334,762.0
335,806.0
336,820.0
337,766.0
338,786.0
339,814.0
340,774.0
341,774.0
342,806.0
343,802.0
344,768.0
345,816.0
346,844.0
347,788.0
348,792.0
349,800.0
350,800.0
351,742.0
352,786.0
353,796.0
354,762.0
355,718.0
356,790.0
357,808.0
358,766.0
359,762.0
360,812.0
361,850.0
362,772.0
363,784.0
364,810.0
365,768.0
366,718.0
367,828.0
368,832.0
369,772.0
370,754.0
371,794.0
372,776.0
373,708.0
374,752.0
375,776.0
376,760.0
377,740.0
378,768.0
379,796.0
380,758.0
381,762.0
382,804.0
383,806.0
384,744.0
385,770.0
386,786.0
387,792.0
388,716.0
389,784.0
390,824.0
391,858.0
