,0
0,848.0
1,874.0
2,880.0
3,856.0
4,840.0
5,886.0
6,918.0
7,900.0
8,832.0
9,862.0
10,874.0
11,870.0
12,814.0
13,828.0
14,824.0
15,788.0
16,784.0
17,828.0
18,856.0
19,820.0
20,872.0
21,886.0
22,830.0
23,874.0
24,878.0
25,828.0
26,854.0
27,872.0
28,848.0
29,870.0
30,840.0
31,822.0
32,836.0
33,804.0
34,806.0
35,830.0
36,814.0
37,802.0
38,836.0
39,812.0
40,802.0
41,830.0
42,804.0
43,786.0
44,810.0
45,794.0
46,772.0
47,792.0
48,796.0
49,786.0
50,804.0
51,808.0
52,800.0
53,826.0
54,792.0
55,760.0
56,808.0
57,818.0
58,792.0
59,828.0
60,814.0
61,792.0
62,824.0
63,782.0
64,738.0
65,780.0
66,808.0
67,746.0
68,776.0
69,804.0
70,766.0
71,796.0
72,850.0
73,826.0
74,832.0
75,834.0
76,802.0
77,770.0
78,806.0
79,786.0
80,746.0
81,814.0
82,834.0
83,790.0
84,834.0
85,860.0
86,778.0
87,788.0
88,846.0
89,770.0
90,776.0
91,794.0
92,818.0
93,800.0
94,844.0
95,864.0
96,826.0
97,866.0
98,904.0
99,852.0
100,842.0
101,862.0
102,806.0
103,792.0
104,818.0
105,802.0
106,772.0
107,828.0
108,860.0
109,804.0
110,846.0
111,846.0
112,800.0
113,808.0
114,870.0
115,868.0
116,816.0
117,876.0
118,864.0
119,808.0
120,846.0
121,878.0
122,824.0
123,848.0
124,866.0
125,798.0
126,854.0
127,874.0
128,818.0
129,838.0
130,904.0
131,862.0
132,858.0
133,870.0
134,806.0
135,798.0
136,836.0
137,798.0
138,802.0
139,886.0
140,870.0
141,812.0
142,872.0
143,864.0
144,782.0
145,814.0
146,830.0
147,774.0
148,782.0
149,818.0
150,816.0
151,766.0
152,824.0
153,844.0
154,798.0
155,820.0
156,870.0
157,790.0
158,802.0
159,834.0
160,804.0
161,776.0
162,836.0
163,852.0
164,772.0
165,802.0
166,834.0
167,794.0
168,798.0
169,830.0
170,834.0
171,806.0
172,840.0
173,838.0
174,780.0
175,816.0
176,830.0
177,750.0
178,786.0
179,804.0
180,750.0
181,760.0
182,826.0
183,828.0
184,760.0
185,810.0
186,836.0
187,794.0
188,790.0
189,870.0
190,810.0
191,764.0
192,822.0
193,896.0
194,812.0
195,840.0
196,854.0
197,816.0
198,808.0
199,882.0
200,830.0
201,770.0
202,804.0
203,824.0
204,766.0
205,806.0
206,822.0
207,776.0
208,806.0
209,838.0
210,764.0
211,794.0
212,828.0
213,788.0
214,768.0
215,784.0
216,786.0
217,744.0
218,788.0
219,824.0
220,704.0
221,760.0
222,754.0
223,720.0
224,676.0
225,774.0
226,786.0
227,742.0
228,682.0
229,776.0
230,768.0
231,672.0
232,798.5989847715736
233,798.5989847715736
234,674.0
235,684.0
236,798.5989847715736
237,798.5989847715736
238,708.0
239,734.0
240,714.0
241,660.0
242,764.0
243,754.0
244,732.0
245,720.0
246,762.0
247,800.0
248,734.0
249,726.0
250,762.0
251,784.0
252,734.0
253,680.0
254,766.0
255,766.0
256,730.0
257,726.0
258,780.0
259,792.0
260,730.0
261,748.0
262,778.0
263,784.0
264,728.0
265,758.0
266,780.0
267,750.0
268,748.0
269,794.0
270,794.0
271,760.0
272,792.0
273,802.0
274,766.0
275,742.0
276,782.0
277,830.0
278,782.0
279,758.0
280,788.0
281,822.0
282,766.0
283,760.0
284,802.0
285,788.0
286,712.0
287,744.0
288,764.0
289,792.0
290,754.0
291,740.0
292,786.0
293,824.0
294,772.0
295,776.0
296,804.0
297,812.0
298,792.0
299,724.0
300,766.0
301,766.0
302,744.0
303,738.0
304,798.0
305,852.0
306,774.0
307,818.0
308,848.0
309,824.0
310,818.0
311,858.0
312,834.0
313,816.0
314,854.0
315,846.0
316,796.0
317,852.0
318,878.0
319,842.0
320,788.0
321,826.0
322,858.0
323,800.0
324,808.0
325,842.0
326,820.0
327,772.0
328,832.0
329,820.0
330,842.0
331,776.0
332,770.0
333,796.0
334,758.0
335,772.0
336,824.0
337,796.0
338,768.0
339,810.0
340,824.0
341,750.0
342,784.0
343,800.0
344,792.0
345,740.0
346,768.0
347,804.0
348,766.0
349,750.0
350,780.0
351,808.0
352,788.0
353,744.0
354,790.0
355,806.0
356,772.0
357,728.0
358,756.0
359,768.0
360,746.0
361,724.0
362,766.0
363,828.0
364,750.0
365,754.0
366,802.0
367,786.0
368,734.0
369,764.0
370,822.0
371,788.0
372,794.0
373,842.0
374,812.0
375,784.0
376,830.0
377,796.0
378,832.0
379,814.0
380,762.0
381,758.0
382,794.0
383,770.0
384,722.0
385,736.0
386,748.0
387,782.0
388,740.0
389,720.0
390,762.0
391,762.0
392,770.0
393,722.0
