,0
0,874.0
1,833.0468085106382
2,833.0468085106382
3,868.0
4,864.0
5,886.0
6,890.0
7,824.0
8,874.0
9,906.0
10,852.0
11,894.0
12,854.0
13,782.0
14,812.0
15,822.0
16,770.0
17,830.0
18,860.0
19,822.0
20,864.0
21,862.0
22,830.0
23,858.0
24,836.0
25,830.0
26,858.0
27,796.0
28,828.0
29,836.0
30,822.0
31,862.0
32,856.0
33,862.0
34,882.0
35,850.0
36,872.0
37,880.0
38,868.0
39,888.0
40,866.0
41,874.0
42,898.0
43,856.0
44,878.0
45,880.0
46,832.0
47,868.0
48,856.0
49,854.0
50,868.0
51,838.0
52,844.0
53,872.0
54,818.0
55,838.0
56,836.0
57,806.0
58,850.0
59,838.0
60,820.0
61,854.0
62,812.0
63,824.0
64,808.0
65,768.0
66,812.0
67,842.0
68,802.0
69,852.0
70,844.0
71,822.0
72,850.0
73,824.0
74,840.0
75,880.0
76,822.0
77,832.0
78,846.0
79,814.0
80,834.0
81,860.0
82,800.0
83,806.0
84,838.0
85,802.0
86,822.0
87,858.0
88,820.0
89,850.0
90,866.0
91,822.0
92,844.0
93,866.0
94,798.0
95,840.0
96,860.0
97,806.0
98,856.0
99,854.0
100,820.0
101,862.0
102,862.0
103,852.0
104,896.0
105,816.0
106,868.0
107,882.0
108,822.0
109,856.0
110,842.0
111,816.0
112,866.0
113,836.0
114,854.0
115,902.0
116,834.0
117,874.0
118,858.0
119,814.0
120,852.0
121,834.0
122,804.0
123,838.0
124,826.0
125,830.0
126,880.0
127,834.0
128,836.0
129,846.0
130,788.0
131,814.0
132,830.0
133,800.0
134,810.0
135,844.0
136,796.0
137,822.0
138,836.0
139,792.0
140,846.0
141,826.0
142,788.0
143,836.0
144,844.0
145,782.0
146,824.0
147,832.0
148,796.0
149,846.0
150,858.0
151,794.0
152,828.0
153,838.0
154,770.0
155,820.0
156,900.0
157,824.0
158,860.0
159,828.0
160,820.0
161,852.0
162,832.0
163,852.0
164,874.0
165,824.0
166,844.0
167,866.0
168,826.0
169,874.0
170,880.0
171,816.0
172,856.0
173,842.0
174,812.0
175,860.0
176,818.0
177,822.0
178,836.0
179,798.0
180,830.0
181,838.0
182,802.0
183,854.0
184,864.0
185,834.0
186,844.0
187,816.0
188,796.0
189,804.0
190,784.0
191,786.0
192,820.0
193,808.0
194,804.0
195,842.0
196,820.0
197,824.0
198,834.0
199,800.0
200,794.0
201,822.0
202,786.0
203,810.0
204,840.0
205,828.0
206,820.0
207,864.0
208,818.0
209,826.0
210,814.0
211,762.0
212,788.0
213,820.0
214,768.0
215,782.0
216,818.0
217,776.0
218,844.0
219,852.0
220,802.0
221,842.0
222,850.0
223,754.0
224,782.0
225,786.0
226,833.0468085106382
227,774.0
228,790.0
229,833.0468085106382
230,774.0
231,788.0
232,750.0
233,758.0
234,772.0
