FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.0910689290276824,-0.0540887208165113,-0.0834746526316874,-0.150635547671001,-0.07365412726007,-0.0387678767895222,-0.0349030176156562
-0.090387633835689,-0.0336973243379702,-0.0556738915648179,-0.133172014258863,-0.073505507645276,-0.039878999296633,-0.0492313956594068
-0.0940801099604239,-0.0295433400133813,-0.0577698982432478,-0.134908985407379,-0.0729166795571028,-0.0403585126904552,-0.0555132318622066
-0.0689430964390165,-0.043421515115507,-0.0609924078118448,-0.148120865938306,-0.0688618297982647,-0.0447573698944787,-0.0694587831825436
-0.0829798080224839,-0.0315123403776527,-0.0632331840553291,-0.148016116696321,-0.0705598635798846,-0.0654975225691223,-0.0528581754801716
-0.0931065437248387,-0.0148044444642562,-0.0634998057411444,-0.153521495736073,-0.0519063444735003,-0.0498280701054634,-0.0262816506858128
-0.113282014389421,-0.0227227673769431,-0.0941985631976455,-0.160002538903556,-0.0584586994012379,-0.0412254317389736,-0.0467144438495353
-0.10196110503611,-0.00732041225923863,-0.0930276752921568,-0.160240437316467,-0.056220798651266,-0.0449983358528527,-0.0483855541338421
-0.0950354545423521,-0.0039526380479297,-0.119261211455591,-0.183299519402035,-0.0538979552928626,-0.0316442507244673,-0.0506669978088798
-0.123937937437063,-0.0292603206073349,-0.124559041598516,-0.198520584517967,-0.0515519888756556,-0.0253071851754219,-0.0714014330833225
-0.111145556649895,-0.0221443777684957,-0.122671385360233,-0.197579972660863,-0.0309286531359118,-0.0435291631308811,-0.0401433693344608
-0.119395093113101,0.00716237748876564,-0.124260076150166,-0.210237222864942,-0.0603847803449808,-0.0702437077233707,-0.0316103273279239
-0.0878660715083778,0.00619717831590372,-0.132265676187645,-0.212239394627441,-0.0910641071466142,-0.0692331885671763,-0.0104664215337582
-0.0742432449631206,-0.0225080991050547,-0.13513624744511,-0.218825796470871,-0.0971593477813414,-0.0694793586689224,-0.0274048981516923
-0.0830846152591171,-0.0186906324408273,-0.160980463312117,-0.214394538476773,-0.098405956693339,-0.0937098553796755,-0.0238932004625828
-0.0799660886483361,-0.0205617018446738,-0.132778341996036,-0.206792247573304,-0.102128487448122,-0.0619320812942224,-0.0100652907172743
-0.0945531812983568,-0.0196868863456642,-0.154054512520796,-0.213512695910639,-0.102098900772945,-0.072808358185302,-0.0110954554804837
-0.0691068301078341,-0.0410280384486739,-0.157711504296846,-0.234878725323022,-0.124388422028976,-0.0802850103510321,0.00124051823474031
-0.0412832717688386,-0.0081978488923321,-0.174483102852432,-0.209054666222992,-0.125255902325182,-0.0849581870934652,-0.00613013911592875
-0.0587281257540716,0.00340145997051319,-0.174246455718655,-0.206154266927207,-0.130907289769171,-0.0595219703955507,-0.008772368915276
-0.077707185882785,0.029116818627593,-0.161695087265106,-0.185200570986718,-0.130712457017658,-0.0306736818771695,-0.00996036444293746
-0.0663593910738735,0.0282858689219901,-0.158614873445062,-0.173563470715756,-0.12559106250507,-0.0077714436813259,-0.0326607966673254
-0.0411459935327654,0.0351707645984885,-0.158191457587121,-0.172959154358216,-0.105337464906614,-0.00787069878696631,-0.013227749160913
-0.0491276207989192,0.0572452209776254,-0.146845535953592,-0.141368480907164,-0.0933289721660655,-0.0291149829214248,-0.0273934461525666
-0.0514696054404169,0.0553695347161326,-0.138888410795764,-0.141872364088562,-0.107719909256382,-0.0204839564883243,-0.027500391151672
-0.0515579937455856,0.0451194280699334,-0.130002154165633,-0.143747986823045,-0.112564477663015,-0.0153103131534243,-0.0210905730482448
-0.0508904452886939,0.0394408958168469,-0.111436828556629,-0.143721147499129,-0.0894794845540582,0.00529287887744032,-0.0447976540042057
-0.0380708487070577,0.0259655504340885,-0.10997568736836,-0.134744051309608,-0.0715928957377741,0.03592922215276,-0.0416349234712649
-0.04377686448107,-0.00627201826930407,-0.123213652084726,-0.148410296308205,-0.0701771034401561,0.0512709384831752,-0.0332247148811215
-0.0496451809261099,0.0104229330778787,-0.129862388398667,-0.128974981200617,-0.0831789159534677,0.0680402756841915,-0.0196608319125086
-0.0614749962091499,0.00796904549633329,-0.134223891250401,-0.12518974048488,-0.0940723425150059,0.0647424094819217,-0.0181042413291213
-0.0670686370540241,-0.0208303931876521,-0.151917998142966,-0.145010586737943,-0.0902699267244053,0.0390515258453722,-0.0190072190385744
-0.0706253279294793,0.00807231747099241,-0.131690194163966,-0.131137660794046,-0.105632357707607,0.0192512058309429,-0.0153708322098902
-0.0724701298546982,0.00775444622811411,-0.121242607497369,-0.132943107147603,-0.116240933275736,0.0102844871471446,-0.0310525622503588
-0.074885363193534,-0.0244151638937147,-0.153257341416122,-0.14779830718288,-0.130172904491069,0.0164316296953633,-0.0518102525869335
-0.0744719472663392,-0.0273447671396634,-0.157933995957356,-0.147110771639149,-0.137723071007408,-0.00691481977084665,-0.0218719023941135
-0.0612383036961896,-0.0450551896536357,-0.183402747739182,-0.163530196354048,-0.110673839462919,-0.0107346479249716,-0.0233721373087028
-0.0408486696971556,-0.0163817677429619,-0.150561417667136,-0.13118659414957,-0.112164695613923,0.0207894580532788,-0.0175701331444271
-0.0222234247589742,-0.00816138939560754,-0.157709173202997,-0.1177641483596,-0.135351330781537,-0.0101702388674698,-0.0335921139740428
-0.0339131858740728,-0.0275130966858714,-0.18337727504381,-0.118904360109905,-0.151643988456468,-0.0334563673351309,-0.0380150281816425
-0.0397708334234973,-0.0332651133089486,-0.184470370484972,-0.122073634771771,-0.139462072211315,-0.0587642017914312,-0.0340578418666381
-0.0420881226372256,-0.0229499843569788,-0.18496991981584,-0.131342302793148,-0.131467560417513,-0.0425270990990643,-0.0412438173382518
-0.055332601156592,-0.0480078519371457,-0.183823317915919,-0.1326721171114,-0.13464352392036,-0.0600351868392082,-0.0396630190637756
-0.0288426388786909,-0.0641503393129544,-0.175335733767438,-0.127129300792698,-0.133993125187728,-0.0574185592096748,-0.0308822140121617
-0.0106347458053545,-0.0495462677886135,-0.153793165740103,-0.105675534770575,-0.104672011351899,-0.0371708384376364,-0.0245665120248372
-0.0357409835086224,-0.0533870744353452,-0.17940655802851,-0.100050940051781,-0.096036610503338,-0.0314830022390992,-0.0239864095122919
-0.0622253569425248,-0.054427454458476,-0.18952132175712,-0.117201753108429,-0.0883758552211113,-0.0376292631365855,0.00298123623590418
-0.0644298068546341,-0.0570750571085326,-0.189419567354256,-0.116981013236845,-0.0882871979578385,-0.0410265521801393,-0.00684615756872761
-0.0409342088667739,-0.0413358882359475,-0.156308589239466,-0.0842689440952553,-0.0573240575213056,-0.00788863598931944,0.0188977978301337
-0.037487284589884,-0.0451312017217213,-0.137454734286553,-0.0845145691725656,-0.0265656372749015,-0.0411102361494987,0.0222703661983562
-0.0525879176809734,-0.0607277691618053,-0.136121015213363,-0.0730137068431732,0.000945911445189573,-0.00969838549700217,0.0413463077179553
-0.0570254201413269,-0.0664481054093734,-0.134291207837019,-0.0755133872067738,0.0311608039547339,-0.0153580746572849,0.042736328081731
-0.0708550730589782,-0.0556596872077078,-0.135105566193541,-0.0776213536640558,0.0303156658134778,-0.0159074385468276,0.0148127882561797
-0.038933101760046,-0.0717857502427893,-0.136282377191467,-0.104822707389328,0.0244009292756799,0.00411217944317568,0.00277937901456946
-0.053955048033291,-0.0707498542650668,-0.167578163886705,-0.132158154789251,-0.00490204224669513,-0.0127824410292573,-0.0290481220566334
-0.0382087821256311,-0.0937242346174849,-0.191158929829696,-0.160591667799718,0.0215190484044515,0.00667164393223789,-0.0284138997783194
-0.0439327931386406,-0.125105928887871,-0.215930297846302,-0.188454117793994,0.0214879169712804,0.0112556448285087,-0.0606318447357744
-0.0226945296128515,-0.124899729970188,-0.211329650305063,-0.188440623101989,0.0137745044299898,0.0268283354858899,-0.0664923644652323
0.00736439946549426,-0.137948947765995,-0.208983135053511,-0.188304859356876,-0.00398218252666206,0.0428825029742266,-0.0371838062680739
0.028132305632444,-0.134626927828574,-0.197254346545588,-0.188280285742554,-0.0191057711463469,0.0510933277348545,-0.0594878235633743
0.0185759579757337,-0.154238540456524,-0.202991761099487,-0.194398469359247,-0.0355711102344974,0.0323441276418872,-0.0848080616517905
-0.000688718095397479,-0.172993825619978,-0.233021193761365,-0.219107489373834,-0.0380194754312334,0.0311035127009894,-0.0836200239201106
-0.028102100733004,-0.188135270545003,-0.260709678527718,-0.252380944776413,-0.0524400676551149,0.0137407217147735,-0.0741647001984493
-0.0512037886020439,-0.188949430861635,-0.260413019192721,-0.252533200196584,-0.0313135854154926,0.0129553920277676,-0.0744685166170613
-0.0333788741978031,-0.178481519930962,-0.260013442622474,-0.252583507013095,-0.0343779823712041,0.0294920695779204,-0.0843925002813891
-0.0323814144665861,-0.200174090489254,-0.260202233741545,-0.252340165677314,-0.0343588080005942,0.0237476511504612,-0.101131207452654
-0.031086400011062,-0.191497041381211,-0.241385814771875,-0.238877092661023,-0.0225923674700422,0.0436145840345262,-0.094941223241922
-0.0445290458480186,-0.188716242764173,-0.237927859221781,-0.243191082637985,-0.0202783691485686,0.0614270742530969,-0.094737223874775
-0.0649419603097925,-0.185940126062588,-0.21874490270619,-0.236845290273937,-0.03384888260415,0.0617036449045207,-0.0995629679421818
-0.0713574172407271,-0.153694416425928,-0.199134729328221,-0.233915607911922,-0.0504187782475307,0.0503370790509203,-0.0982056842695875
-0.0752550412074523,-0.166031099845007,-0.199878056247847,-0.232409378345872,-0.0606047899599799,0.0539946049761713,-0.103254518212324
-0.0743088580396529,-0.175849067570509,-0.209190024913096,-0.245015946391727,-0.0604000259920097,0.0539219544415217,-0.106278749594185
-0.0922138526374831,-0.184848485802808,-0.209112898319106,-0.248632587680805,-0.057456966926293,0.0472559747776556,-0.127927747112608
-0.107252077927209,-0.170997045098619,-0.198556463320198,-0.241727861362808,-0.0561158195561429,0.0539652291900139,-0.108169834229623
-0.13010362911818,-0.164016893555068,-0.198275461378197,-0.241597015992519,-0.0562736479038858,0.0709266079505843,-0.115720390232748
-0.142516251882827,-0.186728814404276,-0.228229877161896,-0.272859667513208,-0.0693451372085899,0.0686607069417393,-0.0992222739266083
-0.125093733548007,-0.183220336372164,-0.23931017711263,-0.272071161704842,-0.075171297518673,0.0561144279924021,-0.0707026193654376
-0.149483626001051,-0.175515031100453,-0.226272003354488,-0.247736375326281,-0.0939152547924326,0.0490957986719577,-0.0944344571727067
-0.164614330858138,-0.202718593061946,-0.225759488151514,-0.280112156314764,-0.106145701599108,0.0500957239805064,-0.100465559678066
-0.182741843502361,-0.19650585991321,-0.224287655470243,-0.27620948858407,-0.10901994690406,0.018331591504838,-0.0919380507542582
-0.184746810341402,-0.210256328685907,-0.238033081921281,-0.288050419135879,-0.114219093639494,-0.00611539819458481,-0.086034673878865
-0.163594053486881,-0.213986049576948,-0.231353214629292,-0.291938049081052,-0.104671624933995,0.00109404787004908,-0.0723582039772492
-0.173404708962331,-0.2408700367609,-0.215749446088024,-0.291995607456525,-0.102985637450584,0.0193401061655135,-0.0978959734383541
-0.182422038754803,-0.257176793838212,-0.226132229111986,-0.323642028622576,-0.104318082993669,0.0521454743566646,-0.113938769848063
-0.166653385359946,-0.246788755195561,-0.205402498765006,-0.324954146433626,-0.0715638348341822,0.0637071155568556,-0.142514907055792
-0.143591654186534,-0.213818878718044,-0.211500440428373,-0.314464505580967,-0.063499729448676,0.0484434667281284,-0.144082273931149
-0.162383012495522,-0.198244879200948,-0.214726603865831,-0.304719293174,-0.0885491021582693,0.0212606544192337,-0.117279464855076
-0.144529642558651,-0.202768804209658,-0.213859326161882,-0.307336003164868,-0.0729216129635961,0.013189497093296,-0.130103605868301
-0.135497152131054,-0.193680833279396,-0.215556542162453,-0.286107697486359,-0.08900615435403,-0.0128272844612483,-0.1406950346112
-0.146271774067658,-0.20357075692079,-0.21320629400051,-0.290188252174085,-0.0984125287901617,-0.0188692016746419,-0.165490870464196
-0.122101123469283,-0.192270257418314,-0.18007976695576,-0.26400728698076,-0.0666750425122953,-0.00627080918777026,-0.151982330891109
-0.0967164288705233,-0.167706007387756,-0.148604816511758,-0.264471981087473,-0.0568722112250478,-0.0127731708631179,-0.135351453023377
-0.12278130019941,-0.186695962376656,-0.169289820605211,-0.287172861660157,-0.0623564617369,-0.0205574369661651,-0.144654246184181
-0.144547900194329,-0.176203667786425,-0.150019910861929,-0.261715635290854,-0.0586419674612736,-0.0296722533916636,-0.156773141453073
-0.124118508617748,-0.15391303628664,-0.151038118119235,-0.261498653266812,-0.055759130077608,-0.0246803670470755,-0.132192212697203
-0.0981673917543534,-0.148020495463604,-0.161977097855162,-0.26501521656839,-0.0820244002682483,-0.00369355711801533,-0.146384460887732
-0.121204361051274,-0.120442973472485,-0.138112439907921,-0.266665604868529,-0.10263964052688,-0.00714750655772825,-0.154455912621271
-0.111049468263513,-0.134000664676146,-0.165662002388188,-0.295559503008136,-0.102896080979214,-0.0324599172234938,-0.165319773890241
-0.0992702590319604,-0.164613846295126,-0.171126477220347,-0.311070329529856,-0.103019349636034,-0.0398062614540774,-0.165726618017687
-0.0888681165015591,-0.152442578209763,-0.147337619960549,-0.312143293126261,-0.0961945086070059,-0.0281006207900997,-0.160148449792996
-0.106951329481933,-0.11922859329334,-0.140751074706251,-0.280103163010852,-0.10874652012326,-0.0189619591421502,-0.150078900669351
-0.136009522437704,-0.0964490523922162,-0.109883936747064,-0.25745323346653,-0.0905722478103826,-0.0111675468028638,-0.151755775386889
-0.142917925123029,-0.0721936864508189,-0.143200777117425,-0.28955320645386,-0.0650897597154213,0.0106265958915194,-0.156792671741158
-0.162657660272409,-0.0714241436090523,-0.137739354158618,-0.280600971799213,-0.0709740983557046,0.00692066609010884,-0.15167671239098
-0.184723596370493,-0.061083787534091,-0.13875436475846,-0.264219920437094,-0.064600696878295,-0.0246166492370087,-0.132181477531061
-0.193741563460192,-0.0543589501045937,-0.145053640123181,-0.269616452347972,-0.0498436068534008,-0.00950004668070764,-0.131484730871921
-0.2094072778573,-0.0766451162632178,-0.163154944920343,-0.28482413186112,-0.0798116239017371,-0.0311646606080293,-0.133428293011807
-0.197671351335594,-0.0728514437144979,-0.137991922480378,-0.286974548344008,-0.0684093811031307,-0.0211060095722275,-0.128718274892481
-0.218524233895875,-0.0821049977243572,-0.140920332857189,-0.292474912551442,-0.0695435130367576,-0.0401356749899654,-0.143279523444237
-0.237666025892887,-0.0973148100665176,-0.161996327794329,-0.318869209567359,-0.08096093366476,-0.0377075768688412,-0.155757761174403
-0.221703232416843,-0.109833217107663,-0.150924083760641,-0.330361424532102,-0.108402669523306,-0.0677882036873015,-0.155464471482645
-0.229539233185329,-0.0935469551398342,-0.134749213040172,-0.330406243705283,-0.133289599828271,-0.0740872833939071,-0.156208034663882
-0.231403048872256,-0.0732750824765421,-0.13180268963444,-0.299573022060718,-0.146323485060864,-0.0895365742303681,-0.146866709190012
-0.225285510242552,-0.0405493453097251,-0.128071405864369,-0.29718792710148,-0.168879765405751,-0.100247780469559,-0.132086649532151
-0.236019931804339,-0.0566822522737136,-0.129545804364465,-0.300426578919564,-0.168234265918838,-0.0968565745860891,-0.118521861371947
-0.25024507270067,-0.0239499731437296,-0.110189532063394,-0.289075452266332,-0.186746212833377,-0.114004997500857,-0.108298776697735
-0.223223674369603,0.00579352922751436,-0.111801501829478,-0.268318315253377,-0.186910080003223,-0.0837535941713821,-0.105904557285061
-0.21408120994628,0.0352109294903191,-0.0809914313643992,-0.265297805292753,-0.167531308893555,-0.0753097631052485,-0.106109965421315
-0.21272955031161,0.034913127234314,-0.0603042862146188,-0.264781510141484,-0.188325202385522,-0.105518496550281,-0.114536272520672
-0.224439104206168,0.0403796345320823,-0.0683346132682953,-0.260897283208797,-0.175420785435187,-0.0969079635271775,-0.108066817578995
-0.21897031376953,0.0596261774607491,-0.0883793214937088,-0.252926563763346,-0.177052088109208,-0.104965850706688,-0.0970752195022593
-0.200829240815648,0.0631558725119408,-0.0817958581332812,-0.236625681287319,-0.154581322736576,-0.0893797790917195,-0.0883656311480147
-0.200334872111644,0.0598500149281597,-0.0492036732511136,-0.220222231634037,-0.148580457250484,-0.0762275913224571,-0.0890814569387629
-0.197978857322428,0.0569675002690574,-0.0192528195400373,-0.212510037785706,-0.14258854142612,-0.0502071741802784,-0.0976183326220024
-0.206720204554685,0.0311425372702262,-0.0164076913395216,-0.216630792865383,-0.124141165280913,-0.0579623568793341,-0.0813121478352909
-0.206551278663257,0.039825888435086,-0.011806006122528,-0.21188858426249,-0.144292167281355,-0.0743837195346744,-0.104132395834841
-0.209210596508038,0.03911441651747,-0.0218828837003951,-0.221058376509713,-0.153074227743785,-0.0978074173886774,-0.103781621457982
-0.197619597620303,0.0522809983112604,-0.013568983536751,-0.224226333241354,-0.152889568678607,-0.0786581087612814,-0.113496391691834
-0.184646632616919,0.0569841830462958,-0.0304366908437909,-0.238736304721632,-0.131685539683653,-0.0828546312806413,-0.128314419478594
-0.156199250855479,0.0302041981675718,-0.0132227237771223,-0.215623258458005,-0.132821015493143,-0.0802087286109083,-0.10364062075516
-0.162844919892719,0.0345608258173613,0.0126508611313825,-0.189841011204406,-0.140482566447351,-0.0852805291139383,-0.0963954442806414
-0.130900824210779,0.016898785926659,0.0153788091135896,-0.188797940132231,-0.141084132448779,-0.0849391543918284,-0.0822154259093261
-0.142049681773424,-0.0135514496644013,0.0289036078137626,-0.193465320087067,-0.1253389154199,-0.0618091097332554,-0.0876089787225848
-0.155112474881698,-0.0254910375054163,0.0378680001132241,-0.191367720113102,-0.106105607161611,-0.0560851309541295,-0.116579019511023
-0.137059164473155,-0.0210090999506594,0.0596468765113444,-0.177146979520465,-0.110179271218001,-0.0779618534543965,-0.10923040752986
-0.124235533654931,-0.0333968614405345,0.0612480390822432,-0.175307845798683,-0.142109681852814,-0.108475007572631,-0.101149463840183
-0.116914759133074,-0.0245296134713093,0.0877545198900518,-0.149432888911752,-0.122518337418573,-0.0988038426126703,-0.109811778195386
-0.114161947283076,-0.0347471755833511,0.0708540111668821,-0.174292760219673,-0.124212498945106,-0.0860803481655767,-0.0920612281953185
-0.109389916545804,-0.0223472314119591,0.100301977243921,-0.147204719488752,-0.12412273156514,-0.077127798492457,-0.0756642181641208
-0.116371400198361,0.00622134010461189,0.108000468174924,-0.11617258675043,-0.13951341664552,-0.0805208569375012,-0.0751598543612927
-0.113398215128822,0.0275027704092539,0.11176383522882,-0.116352363161438,-0.137604403321784,-0.0751803054045002,-0.0711147056526689
-0.146484388656526,0.0265709375271061,0.117022538537557,-0.0837617616659575,-0.121295522376895,-0.072847947438845,-0.0513098235408227
-0.132317526262217,0.0393824637644804,0.0962773596995711,-0.108396731832759,-0.132282846728026,-0.0769150755180379,-0.0622988187915405
-0.165330506583717,0.044420662384681,0.117524223303228,-0.0752679661287189,-0.140274233181659,-0.0957027494847471,-0.035678939409225
-0.164961001815786,0.0432531930097025,0.0936935603903319,-0.0775608148005945,-0.144557002296392,-0.112405093311299,-0.0170856520342113
-0.177124920052316,0.03576834887876,0.113362158165632,-0.0753786480791998,-0.14872804139533,-0.0850711011811163,-0.0065446753196241
-0.176238621777928,0.0522524910449335,0.10679539265537,-0.0792815489519168,-0.136599050674072,-0.0920893377372625,-0.0382077365865633
-0.179290853453029,0.0220342033173517,0.136221042796041,-0.0811449036326689,-0.142360600104628,-0.0821414006638168,-0.0473176726684475
-0.146130162840306,0.0171332198544623,0.143710944076166,-0.0982597216118772,-0.119696889526793,-0.0645912558504682,-0.0216227837654092
-0.117042927690959,0.047005716322631,0.142114535788303,-0.0906962872511945,-0.142032152084042,-0.0745885440210053,-0.0154508406146145
-0.134226392424377,0.0589468348912064,0.10945088651715,-0.11183528492461,-0.157991278653237,-0.0888214775847424,-0.0436865177634157
-0.143941836043142,0.0719531004780677,0.107395021597216,-0.124736400850953,-0.133738092067623,-0.0790201355908123,-0.0294813157870706
-0.120343205101992,0.0875550896059906,0.122756366031196,-0.126457535543211,-0.136865222914279,-0.0760173278777466,-0.0378010400222777
-0.0929520560751607,0.0843777519302069,0.0916653052770411,-0.158775958076263,-0.138127420185911,-0.0767169195604698,-0.0303542032279114
-0.118030435845297,0.0571479608311797,0.109071740584427,-0.152961121065565,-0.125648584723117,-0.0852266498853033,-0.0312367751151871
