,0
0,852.0
1,846.0
2,842.0
3,794.0
4,778.0
5,790.0
6,796.0
7,762.0
8,756.0
9,794.0
10,822.0
11,836.0
12,806.0
13,804.0
14,792.0
15,772.0
16,756.0
17,782.0
18,804.0
19,794.0
20,776.0
21,776.0
22,828.0
23,816.0
24,800.0
25,772.0
26,800.0
27,818.0
28,802.0
29,766.0
30,778.0
31,800.0
32,778.0
33,776.0
34,800.0
35,790.0
36,750.0
37,768.0
38,780.0
39,822.0
40,764.0
41,766.0
42,796.0
43,786.0
44,748.0
45,770.0
46,788.0
47,760.0
48,734.0
49,762.0
50,768.0
51,758.0
52,744.0
53,782.0
54,800.0
55,794.0
56,778.0
57,794.0
58,800.0
59,766.0
60,760.0
61,768.0
62,772.0
63,726.0
64,744.0
65,762.0
66,742.0
67,740.0
68,774.0
69,798.0
70,768.0
71,764.0
72,812.0
73,848.0
74,804.0
75,778.0
76,778.0
77,756.0
78,732.0
79,736.0
80,740.0
81,714.0
82,724.0
83,738.0
84,732.0
85,712.0
86,762.0
87,766.0
88,754.0
89,722.0
90,744.0
91,734.0
92,700.0
93,722.0
94,726.0
95,724.0
96,702.0
97,734.0
98,742.0
99,710.0
100,746.0
101,746.0
102,724.0
103,718.0
104,748.0
105,754.0
106,738.0
107,750.0
108,760.0
109,756.0
110,720.0
111,728.0
112,750.0
113,774.0
114,732.0
115,736.0
116,758.0
117,764.0
118,738.0
119,756.0
120,778.0
121,758.0
122,734.0
123,766.0
124,774.0
125,746.0
126,728.0
127,748.0
128,770.0
129,732.0
130,718.0
131,746.0
132,780.0
133,770.0
134,730.0
135,750.0
136,770.0
137,756.0
138,760.0
139,772.0
140,776.0
141,746.0
142,770.0
143,778.0
144,752.0
145,720.0
146,734.0
147,740.0
148,724.0
149,712.0
150,754.0
151,794.0
152,752.0
153,766.0
154,788.0
155,764.0
156,740.0
157,748.0
158,772.0
159,756.0
160,738.0
161,754.0
162,766.0
163,736.0
164,762.0
165,772.0
166,746.0
167,746.0
168,764.0
169,768.0
170,736.0
171,742.0
172,750.0
173,738.0
174,726.0
175,750.0
176,758.0
177,738.0
178,752.0
179,762.0
180,762.0
181,728.0
182,752.0
183,758.0
184,738.0
185,720.0
186,744.0
187,764.0
188,738.0
189,736.0
190,758.0
191,762.0
192,738.0
193,750.0
194,750.0
195,734.0
196,742.0
197,758.0
198,754.0
199,736.0
200,766.0
201,790.0
202,752.0
203,752.0
204,784.0
205,788.0
206,736.0
207,742.0
208,778.0
209,802.0
210,766.0
211,776.0
212,808.0
213,798.0
214,764.0
215,792.0
216,796.0
217,760.0
218,770.0
219,780.0
220,776.0
221,754.0
222,786.0
223,790.0
224,764.0
225,774.0
226,806.0
227,798.0
228,756.0
229,780.0
230,778.0
231,770.0
232,756.0
233,770.0
234,786.0
235,758.0
236,772.0
237,804.0
238,772.0
239,746.0
240,778.0
241,798.0
242,756.0
243,762.0
244,780.0
245,760.0
246,762.0
247,798.0
248,796.0
249,750.0
250,764.0
251,788.0
252,768.0
253,750.0
254,802.0
255,804.0
256,772.0
257,778.0
258,806.0
259,802.0
260,758.0
261,792.0
262,808.0
263,784.0
264,782.0
265,796.0
266,786.0
267,746.0
268,766.0
269,788.0
270,778.0
271,766.0
272,794.0
273,802.0
274,758.0
275,758.0
276,786.0
277,786.0
278,750.0
279,778.0
280,780.0
281,758.0
282,756.0
283,770.0
284,776.0
285,734.0
286,752.0
287,756.0
288,730.0
289,750.0
290,782.0
291,770.0
292,722.0
293,744.0
294,752.0
295,752.0
296,724.0
297,750.0
298,768.0
299,740.0
300,746.0
301,774.0
302,770.0
303,738.0
304,776.0
305,798.0
306,762.0
307,762.0
308,784.0
309,762.0
310,740.0
311,748.0
312,768.0
313,750.0
314,740.0
315,766.0
316,780.0
317,752.0
318,750.0
319,776.0
320,764.0
321,742.0
322,756.0
323,766.0
324,758.0
325,724.0
326,754.0
327,770.0
328,734.0
329,748.0
330,760.0
331,754.0
332,724.0
333,736.0
334,750.0
335,728.0
336,724.0
337,764.0
338,766.0
339,740.0
340,732.0
341,740.0
342,738.0
343,712.0
344,736.0
345,738.0
346,730.0
347,728.0
348,758.0
349,754.0
350,718.0
351,730.0
352,744.0
353,726.0
354,712.0
355,748.0
356,770.0
357,762.0
358,786.0
359,818.0
360,780.0
361,770.0
362,802.0
363,832.0
364,790.0
365,806.0
366,822.0
367,796.0
368,756.0
369,794.0
370,832.0
371,808.0
372,806.0
373,840.0
374,850.0
375,822.0
376,790.0
377,790.0
378,796.0
379,750.0
380,780.0
381,792.0
382,760.0
383,764.0
384,800.0
385,802.0
386,766.0
387,782.0
388,792.0
389,758.0
390,746.0
391,762.0
392,790.0
393,740.0
394,766.0
395,794.0
396,756.0
397,746.0
398,772.0
399,768.0
400,738.0
401,766.0
402,760.0
403,732.0
404,748.0
405,758.0
406,736.0
407,718.0
408,758.0
409,782.0
410,756.0
411,774.0
412,798.0
413,766.0
414,770.0
415,794.0
416,792.0
417,774.0
418,790.0
419,808.0
420,810.0
421,794.0
422,812.0
423,826.0
424,776.0
425,752.0
426,764.0
427,786.0
428,764.0
429,768.0
430,770.0
431,772.0
432,758.0
433,780.0
434,800.0
435,786.0
436,822.0
437,840.0
438,814.0
439,786.0
440,814.0
441,852.0
442,830.0
443,802.0
444,848.0
445,844.0
446,794.0
447,802.0
448,822.0
449,800.0
450,768.0
451,784.0
452,822.0
453,838.0
