,0
0,780.0
1,776.0
2,818.0
3,864.0
4,890.0
5,888.0
6,866.0
7,786.0
8,802.0
9,800.0
10,810.0
11,822.0
12,812.0
13,754.0
14,732.0
15,742.0
16,750.0
17,752.0
18,716.0
19,734.0
20,794.0
21,844.0
22,836.0
23,828.0
24,818.0
25,794.0
26,786.0
27,804.0
28,800.0
29,768.0
30,782.0
31,788.0
32,780.0
33,794.0
34,804.0
35,766.0
36,794.0
37,816.0
38,806.0
39,816.0
40,822.0
41,790.0
42,800.0
43,830.0
44,800.0
45,770.0
46,786.0
47,812.0
48,782.0
49,794.0
50,826.0
51,802.0
52,772.0
53,814.0
54,826.0
55,786.0
56,804.0
57,820.0
58,802.0
59,800.0
60,830.0
61,800.0
62,804.0
63,820.0
64,800.0
65,780.0
66,818.0
67,822.0
68,786.0
69,828.0
70,848.0
71,818.0
72,838.0
73,866.0
74,834.0
75,820.0
76,854.0
77,866.0
78,808.0
79,836.0
80,850.0
81,818.0
82,830.0
83,850.0
84,824.0
85,816.0
86,840.0
87,848.0
88,850.0
89,832.0
90,798.0
91,830.0
92,854.0
93,832.0
94,818.0
95,852.0
96,838.0
97,812.0
98,824.0
99,838.0
100,800.0
101,830.0
102,854.0
103,818.0
104,826.0
105,852.0
106,828.0
107,780.0
108,802.0
109,810.0
110,752.0
111,772.0
112,802.0
113,756.0
114,806.0
115,852.0
116,818.0
117,832.0
118,870.0
119,840.0
120,822.0
121,854.0
122,838.0
123,792.0
124,806.0
125,806.0
126,760.0
127,760.0
128,782.0
129,766.0
130,738.0
131,776.0
132,782.0
133,750.0
134,778.0
135,792.0
136,796.0
137,744.0
138,766.0
139,774.0
140,754.0
141,732.0
142,758.0
143,770.0
144,724.0
145,762.0
146,804.0
147,768.0
148,764.0
149,798.0
150,796.0
151,744.0
152,782.0
153,816.0
154,782.0
155,770.0
156,794.0
157,782.0
158,740.0
159,774.0
160,782.0
161,740.0
162,758.0
163,786.0
164,778.0
165,750.0
166,792.0
167,812.0
168,770.0
169,810.0
170,828.0
171,792.0
172,808.0
173,838.0
174,784.0
175,800.0
176,840.0
177,792.0
178,748.0
179,796.0
180,832.0
181,798.0
182,812.0
183,844.0
184,836.0
185,792.0
186,842.0
187,846.0
188,818.0
189,874.0
190,876.0
191,832.0
192,858.0
193,880.0
194,850.0
195,828.0
196,858.0
197,834.0
198,806.0
199,818.0
200,836.0
201,806.0
202,820.0
203,844.0
204,824.0
205,844.0
206,868.0
207,812.0
208,820.0
209,858.0
210,812.0
211,808.0
212,818.0
213,768.0
214,778.0
215,832.0
216,804.0
217,806.0
218,816.0
219,806.0
220,764.0
221,782.0
222,790.0
223,770.0
224,774.0
225,820.0
226,794.0
227,776.0
228,800.0
229,816.0
230,760.0
231,778.0
232,812.0
233,776.0
234,750.0
235,766.0
236,790.0
237,760.0
238,740.0
239,744.0
240,732.0
241,712.0
242,728.0
243,746.0
244,750.0
245,722.0
246,756.0
247,760.0
248,740.0
249,740.0
250,758.0
251,782.0
252,750.0
253,770.0
254,786.0
255,756.0
256,752.0
257,768.0
258,760.0
259,728.0
260,766.0
261,778.0
262,750.0
263,752.0
264,796.0
265,804.0
266,764.0
267,798.0
268,792.0
269,758.0
270,794.0
271,832.0
272,818.0
273,784.0
274,820.0
275,840.0
276,794.0
277,802.0
278,812.0
279,802.0
280,780.0
281,824.0
282,834.0
283,796.0
284,806.0
285,832.0
286,820.0
287,798.0
288,844.0
289,840.0
290,810.0
291,794.0
292,802.0
293,798.0
294,760.0
295,792.0
296,798.0
297,766.0
298,776.0
299,804.0
300,772.0
301,758.0
302,784.0
303,768.0
304,742.0
305,774.0
306,804.0
307,780.0
308,766.0
309,820.0
310,814.0
311,752.0
312,780.0
313,806.0
314,770.0
315,786.0
316,808.0
317,780.0
318,760.0
319,796.0
320,818.0
321,776.0
322,774.0
323,804.0
324,780.0
325,762.0
326,800.0
327,816.0
328,778.0
329,806.0
330,830.0
331,782.0
332,786.0
333,814.0
334,768.0
335,758.0
336,800.0
337,788.0
338,756.0
339,794.0
340,804.0
341,770.0
342,788.0
343,816.0
344,768.0
345,766.0
346,780.0
347,760.0
348,754.0
349,778.0
350,768.0
351,732.0
352,752.0
353,780.0
354,750.0
355,750.0
356,780.0
357,762.0
358,744.0
359,736.0
360,720.0
361,686.0
362,793.0796019900497
363,684.0
364,712.0
365,702.0
366,732.0
367,764.0
368,764.0
369,762.0
370,800.0
371,812.0
372,766.0
373,780.0
374,796.0
375,754.0
376,766.0
377,790.0
378,766.0
379,758.0
380,804.0
381,776.0
382,710.0
383,793.0796019900497
384,692.0
385,724.0
386,714.0
387,742.0
388,792.0
389,822.0
390,788.0
391,800.0
392,844.0
393,818.0
394,812.0
395,830.0
396,810.0
397,778.0
398,806.0
399,844.0
400,812.0
401,816.0
