FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.0589852122690271,-0.205622306790871,-0.210098344067575,-0.236647662309565,-0.151500502253207,-0.243105311707089,-0.251589395157848
-0.0538258585206924,-0.214735499120041,-0.232823635691972,-0.248770121265838,-0.146993117699296,-0.239645163381011,-0.272096524290682
-0.0570846153387793,-0.243362894687734,-0.25706331151247,-0.272358608785568,-0.177240899796633,-0.26605218578224,-0.289733211308953
-0.0572122936646304,-0.26127879393288,-0.255497649850584,-0.276630168950248,-0.187721272903699,-0.277662681140955,-0.322793454781174
-0.0703536344123361,-0.265262418228632,-0.266799845222722,-0.282253833325452,-0.176584581697101,-0.276797513019048,-0.311676382749286
-0.0852465919177076,-0.264520626860409,-0.261154482390224,-0.279234456754126,-0.167578479497681,-0.267216566131513,-0.309186337232252
-0.0933222122555302,-0.268710371323941,-0.268388934954402,-0.284239747530944,-0.191598929751651,-0.291413988435076,-0.318341343499183
-0.126075387384269,-0.265633052689613,-0.271334029505825,-0.285200786578361,-0.171979237604697,-0.282918633192201,-0.332559763639181
-0.124840851757227,-0.268590523327013,-0.285940782521646,-0.28741311163508,-0.184862582398315,-0.300663834630671,-0.349542886871983
-0.129335326224961,-0.26889496866705,-0.300767559150674,-0.287101756642612,-0.171259718352608,-0.294496748314193,-0.348486723089727
-0.126034110085961,-0.266472640225078,-0.299158373336965,-0.285870143605315,-0.152183759572358,-0.279030552651419,-0.347980800592408
-0.142434528014687,-0.273476810530269,-0.300679457459362,-0.286622175985053,-0.157687047028711,-0.288014823589312,-0.347457696205
-0.160027686132945,-0.27245716553799,-0.299880660015211,-0.28267530167666,-0.138625712638463,-0.269457941028579,-0.341330192916634
-0.159349120685157,-0.272155243866007,-0.28636078487726,-0.285869207228983,-0.150536491386188,-0.280598310598063,-0.342285046217803
-0.18812556072025,-0.274680541653904,-0.285347287982205,-0.297176797721389,-0.147002296731761,-0.28312131718301,-0.368679412712575
-0.199024959561532,-0.264238607820172,-0.308047147089623,-0.302599699689311,-0.146871614144577,-0.281168627345885,-0.377934760137293
-0.192234020311672,-0.264175241398084,-0.306602531667361,-0.301536591364295,-0.146829155886808,-0.280549977712092,-0.376867520379038
-0.193179647081437,-0.245649104022087,-0.289953813139637,-0.285792382479397,-0.128532046885007,-0.257217337397324,-0.368744053561657
-0.212389611026455,-0.22642416843742,-0.286466087577754,-0.27336706940462,-0.120262536781653,-0.251339797336422,-0.359019747919305
-0.211772113131799,-0.238265262150532,-0.293813510592383,-0.287205213816696,-0.14248615595216,-0.27447567355763,-0.359022924131219
-0.215830910458546,-0.235709712451712,-0.289916314710874,-0.28316568072672,-0.150375106668395,-0.281260988551676,-0.346013436167151
-0.186145906223046,-0.231099674907323,-0.284610001329389,-0.278875232600184,-0.143649223231624,-0.27339295356824,-0.337024395982533
-0.197043394682914,-0.246252014589797,-0.302003343168835,-0.290124063972533,-0.14856914422993,-0.285818913807726,-0.365699452155315
-0.201014343098709,-0.232634616440335,-0.301486516493994,-0.285515676649162,-0.146754107638385,-0.277527003738069,-0.36303368517227
