FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.234787862599737,-0.25837586317504,-0.306276882800657,-0.281159591763894,-0.190630556012188,-0.214229832865949,-0.211214225564083
-0.235923642690861,-0.272784162376324,-0.336587207916002,-0.284019791891597,-0.205477679656766,-0.217116535149637,-0.241612295590007
-0.231011004115755,-0.273179180700532,-0.339658563688069,-0.285529964013502,-0.187571445804344,-0.203842243906157,-0.240686174521432
-0.238743797689751,-0.265262783548272,-0.342857300824968,-0.271755922035222,-0.18389727519978,-0.19959624795954,-0.235912517288476
-0.243741943854596,-0.264459970508414,-0.34217227013926,-0.272101876753237,-0.19382042507188,-0.210813956667946,-0.234363239012636
-0.268802512694894,-0.268126301309379,-0.341665378504119,-0.271494006172267,-0.206866340323968,-0.214948431530097,-0.263775880315538
-0.270841925279119,-0.272333474150045,-0.339158477682565,-0.26997872690141,-0.218082266966351,-0.214524174967666,-0.257839701433792
-0.250105847868322,-0.252056365894369,-0.324843040339814,-0.252208887259502,-0.188507878519746,-0.191038255752103,-0.23707344936484
-0.220986426100316,-0.219434331130971,-0.291911532962511,-0.221182091665762,-0.160227851811202,-0.170445643690329,-0.206989707184284
-0.239303589574925,-0.214569733412558,-0.30354186175132,-0.220641521444713,-0.16110226666212,-0.16686597384708,-0.232607119158832
-0.260316188416407,-0.221545426766174,-0.306825189110519,-0.22548974359195,-0.181573921823354,-0.190385723476178,-0.248618712803798
-0.259261888674715,-0.221332431375832,-0.306470293293408,-0.224444694032302,-0.181248718792057,-0.181444778627529,-0.246916115238333
-0.277451890997265,-0.202103654904097,-0.294056365063604,-0.207740494954444,-0.168418686529445,-0.163514875067917,-0.255835353278603
-0.284177856174151,-0.203908285176471,-0.291858537991081,-0.207733867951502,-0.182167002836878,-0.163354473463673,-0.279648276932283
-0.281475526969909,-0.20157880612724,-0.285586042341535,-0.201003751874568,-0.194304813864407,-0.177273950057048,-0.273787834402286
-0.287748673020592,-0.21482628268377,-0.295187557858572,-0.216367623568075,-0.216308777224716,-0.204492406082189,-0.280974032966388
-0.291338814095148,-0.205694999685303,-0.295654430058714,-0.21315431966051,-0.213407793934942,-0.196143237680579,-0.278100056269775
-0.307977774367578,-0.207179362028565,-0.310220542781195,-0.216303346192558,-0.215720241039729,-0.198738504969858,-0.279097356571455
-0.328788015891253,-0.206374059813813,-0.307249664661047,-0.214956168677229,-0.206893768580493,-0.18797763891287,-0.275255381072634
-0.360338840048446,-0.229115659429305,-0.33972404761953,-0.230740029625714,-0.227720591284776,-0.213428791786532,-0.293911235622914
-0.369388249859436,-0.215621544275998,-0.339845588811944,-0.224531441537276,-0.233321765026049,-0.219762150286591,-0.289602872242077
-0.372801842950198,-0.216527702667019,-0.337140319912842,-0.225171876208982,-0.20011796603612,-0.203218836736229,-0.290281299067276
-0.405617401710616,-0.247650933568973,-0.348455401560237,-0.253553271551532,-0.220947054470245,-0.214741757241933,-0.322125913303239
-0.405476863416998,-0.246937936247512,-0.345540806479821,-0.251235517439649,-0.20621522698851,-0.214928979621343,-0.318930401622155
-0.411664910428315,-0.253942922139932,-0.347419342091159,-0.261174800759593,-0.224559197065111,-0.233594817600558,-0.321738968825902
-0.393073818582707,-0.230553438162482,-0.321970455990474,-0.238423636556794,-0.218158352116686,-0.226714215266581,-0.292315861430066
-0.395097567440756,-0.229307131750623,-0.321835676586876,-0.238569527895636,-0.219671849580092,-0.226631948095058,-0.292154897593719
-0.39346775469923,-0.239733272286751,-0.325345638478493,-0.237768314901469,-0.200672784347871,-0.217616739394782,-0.314959026312698
-0.40336399511983,-0.244844689856064,-0.33800808782645,-0.250154922663569,-0.195042768819556,-0.208367699873013,-0.32530514514408
-0.384456792082134,-0.244784524243672,-0.339023696200672,-0.250174161104508,-0.190718312204758,-0.205873160089381,-0.333160149614758
-0.38180919691269,-0.24311516574205,-0.337908087433541,-0.249006536157946,-0.189575018410853,-0.207311948286674,-0.357096155733327
-0.382232636461399,-0.248091950371894,-0.337054144281212,-0.24914583080093,-0.185941971256836,-0.22972984496294,-0.355305863960242
-0.364057674849348,-0.243097141727192,-0.342532551391873,-0.246058246084567,-0.194893814627188,-0.248049666196661,-0.348075727481892
-0.361784488485418,-0.244954782221995,-0.34341322690096,-0.245301143273993,-0.164228578031841,-0.220549915076328,-0.331214169456774
-0.361875571863397,-0.244010169616606,-0.34249538644836,-0.244066344361645,-0.16266372581748,-0.216827939754012,-0.331856754887058
-0.373528534220551,-0.245218490212178,-0.339720885244169,-0.245762685777806,-0.15129058690283,-0.198955750962253,-0.331101045635076
-0.365646643568023,-0.25600569439561,-0.343410487210093,-0.252378229802779,-0.165249196848528,-0.211695900359707,-0.331197248010965
-0.366350236277513,-0.255951004981119,-0.344235581841882,-0.252421953118559,-0.165552295511154,-0.211258081511614,-0.331122826864635
-0.367043658902995,-0.255431267095216,-0.343251802230252,-0.25015880071748,-0.17304979761724,-0.213390532694449,-0.318045528959636
-0.396031666165469,-0.269521098489495,-0.365207971932645,-0.266816869932262,-0.189270205322083,-0.23421065756643,-0.337353585315109
-0.394297142283393,-0.269503022483817,-0.365382729688525,-0.266626080461781,-0.193837570616044,-0.248418007979655,-0.337574229438823
-0.37453541492453,-0.262231719872076,-0.370625705344515,-0.264081568307472,-0.193388792360945,-0.254953861166359,-0.32774498740689
-0.373228123368233,-0.262207738622366,-0.371031439802135,-0.263506398330276,-0.194968573284529,-0.24579522518631,-0.328001250229967
-0.36639281313434,-0.245634186425939,-0.354806018718121,-0.259677809223745,-0.193943324037959,-0.239028141764956,-0.312463280917746
-0.358548148827953,-0.248341803036209,-0.354461055227785,-0.262378555356762,-0.181183249086409,-0.22905554704856,-0.335035174396159
-0.327701404520268,-0.219356653556698,-0.331467872262929,-0.237668905646987,-0.15732651284552,-0.203536887032521,-0.314775109456413
-0.353459362096205,-0.217526530505408,-0.32826828179083,-0.236607011510775,-0.159743432759169,-0.21447732972614,-0.313042419582686
-0.353299937211457,-0.230326863798368,-0.340823950894434,-0.251098682987309,-0.171496357821804,-0.221274725565812,-0.314190029580445
-0.354909485619805,-0.230321331567391,-0.340511834466576,-0.251105840124535,-0.170741597863416,-0.220590628355012,-0.315149346729812
-0.321950167749628,-0.207931733602551,-0.318004638784634,-0.230151485196507,-0.155547105895372,-0.216951381150637,-0.284070548977393
-0.321260534622541,-0.205204031738425,-0.311705358109207,-0.227197079473758,-0.14530338197559,-0.209295758355739,-0.279315421286033
-0.305914717995968,-0.200645379469072,-0.303119821375384,-0.221244154765631,-0.134698986192169,-0.208342775156085,-0.272078769913404
-0.306156327505085,-0.198772153400301,-0.302649973769412,-0.2194826049493,-0.135887099519379,-0.208555838031419,-0.272201921553387
-0.300695854723011,-0.185021076896307,-0.287235050192505,-0.204916287333756,-0.10767495267587,-0.184318899068156,-0.265348242784694
-0.299189768454828,-0.214195030020116,-0.292658777708695,-0.236678255461165,-0.139147994377838,-0.217316354495624,-0.262104707901835
-0.303668196223713,-0.199656715826397,-0.269023596257108,-0.221566945699322,-0.121259208645436,-0.187316645041693,-0.272766175245493
-0.305113128666405,-0.205114799373932,-0.285069222927204,-0.228343463634351,-0.124277431919609,-0.190013809336907,-0.27235962375746
-0.306150126709398,-0.218062179123072,-0.276585142446578,-0.215215610777449,-0.123239590736041,-0.194242926934026,-0.279509818934303
-0.28338133759167,-0.212668021975026,-0.270115095546106,-0.213439816953685,-0.121215144500511,-0.191130622541422,-0.311805067881218
-0.283230260958567,-0.211387166848549,-0.268125740800895,-0.214789681184406,-0.116378654931511,-0.194052187209328,-0.329609380357787
-0.292922904166043,-0.212974445887876,-0.266988904065038,-0.210267615541379,-0.120389453558894,-0.188948301782685,-0.336051773399691
-0.292810018102445,-0.213557723612359,-0.266055228994665,-0.212009896857338,-0.105937934493501,-0.175555975988038,-0.336026044930159
-0.293843059514488,-0.211921515006365,-0.2658435838231,-0.212405986976254,-0.132036129866715,-0.197947057522039,-0.33222160134235
-0.301423065808634,-0.220623781455345,-0.270179321642887,-0.21864143115389,-0.14868252871806,-0.212854341898909,-0.345909354709571
-0.281740757957581,-0.207402918412645,-0.262520743262964,-0.208359290174115,-0.132404050469597,-0.194129139595814,-0.32683131606212
-0.285237725967166,-0.214337306721647,-0.267034839263093,-0.215924159564931,-0.125151698230019,-0.188696152702106,-0.328849440365515
-0.288463168944091,-0.214188423487498,-0.266585843231746,-0.215000735260173,-0.125793370246959,-0.190928098348398,-0.330028243240561
-0.313649822574094,-0.240329469243675,-0.287178709042859,-0.238650737175582,-0.152203959922157,-0.214305447850452,-0.361319914465561
-0.34283489778298,-0.268108892689372,-0.318953852764587,-0.269383190665581,-0.171837881503901,-0.228589111102588,-0.390563351056103
-0.355718143424241,-0.277356290407589,-0.325384370752833,-0.280285153743947,-0.17159157506562,-0.235199066258151,-0.399439399846706
-0.326705560767235,-0.277448775864057,-0.326545715070432,-0.28060963192761,-0.170999186651708,-0.229644918410064,-0.400600153454107
-0.314154165030445,-0.282363406006372,-0.32749171045108,-0.282090818181293,-0.170339365631711,-0.230640078352254,-0.402103338590172
-0.325907357167058,-0.314654387766981,-0.351858947589421,-0.311310231856238,-0.174228934270134,-0.231954559402514,-0.427459541433696
-0.31922673231533,-0.32519020660808,-0.351411893333943,-0.317055641610148,-0.176804842508361,-0.233073030104679,-0.425546799209726
-0.303699761160484,-0.32111742767984,-0.343925225254667,-0.302224621045085,-0.17486846957226,-0.236346978275144,-0.414407336588578
-0.312715419715346,-0.325551884349394,-0.344204091627224,-0.30603529727028,-0.177395912348474,-0.244492820394629,-0.425000761957647
-0.285726264052412,-0.299774413846161,-0.312091088815201,-0.274988635756714,-0.157891805334903,-0.211913974605306,-0.393023615980932
-0.268610480481999,-0.286395051359106,-0.318000336127839,-0.275721039352574,-0.150094483890535,-0.205510585144752,-0.377459595474215
-0.268854255878263,-0.293710066286893,-0.32676320952548,-0.283691469869656,-0.153178791826633,-0.199258192372645,-0.375383861635857
-0.27140917225732,-0.305701147808789,-0.331216003035688,-0.293889433437012,-0.159504588303941,-0.209206851448357,-0.383014998361506
