,0
0,738.0
1,832.0
2,862.0
3,850.0
4,814.0
5,780.0
6,802.0
7,830.0
8,840.0
9,882.0
10,882.0
11,822.0
12,788.0
13,800.0
14,812.0
15,838.0
16,824.0
17,768.0
18,752.0
19,774.0
20,886.0
21,918.0
22,906.0
23,840.0
24,778.0
25,754.0
26,790.0
27,858.0
28,886.0
29,842.0
30,780.0
31,754.0
32,794.0
33,842.0
34,864.0
35,872.0
36,796.0
37,754.0
38,750.0
39,808.0
40,850.0
41,874.0
42,886.0
43,886.0
44,830.0
45,794.0
46,800.0
47,830.0
48,866.0
49,902.0
50,878.0
51,826.0
52,840.0
53,884.0
54,888.0
55,868.0
56,808.0
57,762.0
58,788.0
59,846.0
60,868.0
61,830.0
62,798.0
63,840.0
64,864.0
65,870.0
66,854.0
67,808.0
68,750.0
69,766.0
70,818.0
71,874.0
72,884.0
73,812.0
74,750.0
75,736.0
76,728.0
77,782.0
78,846.0
79,868.0
80,896.0
81,848.0
82,790.0
83,784.0
84,838.0
85,862.0
86,866.0
87,832.0
88,798.0
89,812.0
90,864.0
91,898.0
92,896.0
93,846.0
94,808.0
95,832.0
96,854.0
97,860.0
98,812.0
99,768.0
100,784.0
101,830.0
102,852.0
103,838.0
104,798.0
105,796.0
106,838.0
107,848.0
108,836.0
109,786.0
110,800.0
111,822.0
112,844.0
113,828.0
114,794.0
115,762.0
116,768.0
117,818.0
118,852.0
119,832.0
120,776.0
121,752.0
122,780.0
123,816.0
124,846.0
125,814.0
126,770.0
127,764.0
128,808.0
129,832.0
130,842.0
131,814.0
132,770.0
133,776.0
134,816.0
135,824.0
136,832.0
137,798.0
138,752.0
139,742.0
140,770.0
141,814.0
142,852.0
143,872.0
144,858.0
145,780.0
146,742.0
147,756.0
148,790.0
149,822.0
150,804.0
151,756.0
152,732.0
153,756.0
154,790.0
155,824.0
156,828.0
157,770.0
158,730.0
159,744.0
160,780.0
161,800.0
162,762.0
163,720.0
164,708.0
165,740.0
166,798.0
167,820.0
168,808.0
169,750.0
170,730.0
171,752.0
172,800.0
173,810.0
174,766.0
175,734.0
176,732.0
177,744.0
178,784.0
179,784.0
180,752.0
181,720.0
182,720.0
183,768.0
184,794.0
185,812.0
186,794.0
187,766.0
188,780.0
189,802.0
190,812.0
191,820.0
192,796.0
193,762.0
194,734.0
195,762.0
196,790.0
197,842.0
198,840.0
199,784.0
200,750.0
201,750.0
202,760.0
203,776.0
204,786.0
205,756.0
206,736.0
207,764.0
208,820.0
209,856.0
210,836.0
211,782.0
212,732.0
213,730.0
214,748.0
215,768.0
216,796.0
217,782.0
218,732.0
219,714.0
220,738.0
221,764.0
222,806.0
223,806.0
224,792.0
225,722.0
226,698.0
227,688.0
228,724.0
229,748.0
230,758.0
231,738.0
232,714.0
233,720.0
234,762.0
235,800.0
236,832.0
237,782.0
238,736.0
239,734.0
240,748.0
241,800.0
242,808.0
243,752.0
244,706.0
245,712.0
246,736.0
247,764.0
248,742.0
249,700.0
250,680.0
251,672.0
252,700.0
253,762.0
254,812.0
255,824.0
256,778.0
257,772.0
258,810.0
259,846.0
260,856.0
261,790.0
262,736.0
263,762.0
264,786.0
265,820.0
266,828.0
267,762.0
268,728.0
269,744.0
270,780.0
271,804.0
272,788.0
273,758.0
274,756.0
275,804.0
276,820.0
277,800.0
278,756.0
279,786.0
280,784.0
281,740.0
282,706.0
283,716.0
284,740.0
285,788.0
286,820.0
287,846.0
288,796.0
289,760.0
290,750.0
291,778.0
292,798.0
293,750.0
294,724.0
295,722.0
296,746.0
297,774.0
298,768.0
299,738.0
300,720.0
301,748.0
302,766.0
303,772.0
304,774.0
305,738.0
306,716.0
307,744.0
308,796.0
309,822.0
310,796.0
311,744.0
312,728.0
313,762.0
314,780.0
315,774.0
316,734.0
317,736.0
318,764.0
319,778.0
320,788.0
321,740.0
322,724.0
323,736.0
324,774.0
325,808.0
326,846.0
327,794.0
328,740.0
329,730.0
330,760.0
331,788.0
332,788.0
333,748.0
334,722.0
335,732.0
336,798.0
337,826.0
338,844.0
339,850.0
340,788.0
341,740.0
342,720.0
343,732.0
344,780.0
345,830.0
346,824.0
347,760.0
348,750.0
349,792.0
350,834.0
351,828.0
352,764.0
353,748.0
354,766.0
355,790.0
356,790.0
357,734.0
358,714.0
359,706.0
360,750.0
361,790.0
362,826.0
363,828.0
364,800.0
365,740.0
366,720.0
367,740.0
368,760.0
369,774.0
370,744.0
371,732.0
372,752.0
373,798.0
374,818.0
375,792.0
376,748.0
377,758.0
378,786.0
379,820.0
380,818.0
381,770.0
382,780.0
383,796.0
384,798.0
385,760.0
386,728.0
387,738.0
388,770.0
389,798.0
390,794.0
391,756.0
392,732.0
393,772.0
394,806.0
395,838.0
396,850.0
397,814.0
