,0
0,58.0
1,458.0
2,242.0
3,518.0
4,258.0
5,538.0
6,214.0
7,52.0
8,30.0
9,6.0
10,504.0
11,206.0
12,56.0
13,34.0
14,644.0
15,46.0
16,662.0
17,54.0
18,434.0
19,208.0
20,60.0
21,446.0
22,216.0
23,40.0
24,460.0
25,258.0
26,44.0
27,716.0
28,34.0
29,766.0
30,782.0
31,784.0
32,676.0
33,60.0
34,24.0
35,456.0
36,260.0
37,40.0
38,466.0
39,258.0
40,562.0
41,254.0
42,48.0
43,752.0
44,24.0
45,716.0
46,40.0
47,720.0
48,514.0
49,268.0
50,544.0
51,260.0
52,560.0
53,278.0
54,744.0
55,54.0
56,30.0
57,732.0
58,504.0
59,258.0
60,528.0
61,212.0
62,60.0
63,740.0
64,700.0
65,494.0
66,266.0
67,32.0
68,466.0
69,264.0
70,726.0
71,48.0
72,44.0
73,706.0
74,490.0
75,208.0
76,56.0
77,498.0
78,264.0
79,40.0
80,2.0
81,720.0
82,738.0
83,26.0
84,416.0
85,258.0
86,466.0
87,258.0
88,682.0
89,2.0
90,56.0
91,698.0
92,478.0
93,2.0
94,264.0
95,478.0
96,260.0
97,666.0
98,56.0
99,36.0
100,664.0
101,462.0
102,260.0
103,476.0
104,204.0
105,58.0
106,722.0
107,706.0
108,462.0
109,4.0
110,254.0
111,476.0
112,2.0
113,260.0
114,736.0
115,704.0
116,470.0
117,268.0
118,462.0
119,264.0
120,662.0
121,52.0
122,702.0
123,456.0
124,270.0
125,452.0
126,266.0
127,718.0
128,684.0
129,466.0
130,250.0
131,50.0
132,424.0
133,266.0
134,30.0
135,652.0
136,44.0
137,398.0
138,256.0
139,458.0
140,4.0
141,262.0
142,32.0
143,4.0
144,622.0
145,4.0
146,56.0
147,682.0
148,30.0
149,630.0
150,444.0
151,256.0
152,688.0
153,652.0
154,662.0
155,448.0
156,256.0
157,486.0
158,270.0
159,28.0
160,692.0
161,32.0
162,672.0
163,494.0
164,2.0
165,264.0
166,496.0
167,262.0
168,740.0
169,22.0
170,696.0
171,472.0
172,270.0
173,28.0
174,694.0
175,36.0
176,644.0
177,466.0
178,274.0
179,478.0
180,260.0
181,742.0
182,30.0
183,672.0
184,484.0
185,256.0
186,556.0
187,280.0
188,520.0
189,268.0
190,30.0
191,650.0
192,56.0
193,30.0
194,458.0
195,4.0
196,268.0
197,498.0
198,2.0
199,260.0
200,32.0
201,8.0
202,666.0
203,54.0
204,706.0
205,466.0
206,270.0
207,464.0
208,258.0
209,738.0
210,704.0
211,450.0
212,268.0
213,482.0
214,278.0
215,698.0
216,30.0
217,674.0
218,506.0
219,256.0
220,504.0
221,4.0
222,270.0
223,664.0
224,58.0
225,458.0
226,2.0
227,200.0
228,4.0
229,54.0
230,32.0
231,462.0
232,6.0
233,262.0
234,28.0
235,6.0
236,478.0
237,264.0
238,32.0
239,712.0
240,10.0
241,448.0
242,264.0
243,496.0
244,2.0
245,260.0
246,38.0
247,704.0
248,700.0
249,472.0
250,4.0
251,262.0
252,38.0
253,450.0
254,2.0
255,250.0
256,46.0
257,696.0
258,450.0
259,2.0
260,248.0
261,506.0
262,272.0
263,26.0
264,676.0
265,40.0
266,44.0
267,692.0
268,452.0
269,254.0
270,502.0
271,4.0
272,260.0
273,36.0
274,734.0
275,10.0
276,672.0
277,464.0
278,258.0
279,496.0
280,4.0
281,258.0
282,40.0
283,438.0
284,224.0
285,34.0
286,702.0
287,500.0
288,4.0
289,256.0
290,484.0
291,260.0
292,736.0
293,680.0
294,442.0
295,2.0
296,256.0
297,480.0
298,258.0
299,504.0
300,276.0
301,722.0
302,534.0
303,210.0
304,52.0
305,562.0
306,260.0
307,780.0
308,522.0
309,278.0
310,518.0
311,260.0
312,758.0
313,668.0
314,52.0
315,470.0
316,254.0
317,512.0
318,4.0
319,208.0
320,56.0
321,30.0
322,684.0
323,2.0
324,42.0
325,722.0
326,494.0
327,2.0
328,262.0
329,524.0
330,276.0
331,24.0
332,500.0
333,222.0
334,32.0
335,762.0
336,486.0
337,272.0
338,526.0
339,256.0
340,760.0
341,716.0
342,502.0
343,264.0
344,502.0
345,2.0
346,274.0
347,718.0
348,516.0
349,264.0
350,532.0
351,2.0
352,264.0
353,722.0
354,56.0
355,24.0
356,434.0
357,262.0
358,494.0
359,268.0
360,30.0
361,464.0
362,264.0
363,720.0
364,40.0
365,414.0
366,264.0
367,484.0
368,256.0
369,520.0
370,264.0
371,734.0
372,30.0
373,446.0
374,268.0
375,494.0
376,2.0
377,260.0
378,42.0
379,660.0
380,38.0
381,44.0
382,418.0
383,262.0
384,498.0
385,278.0
386,506.0
387,262.0
388,798.0
389,26.0
390,728.0
391,504.0
392,274.0
393,498.0
394,2.0
395,262.0
396,718.0
397,476.0
398,264.0
399,36.0
400,460.0
401,262.0
402,36.0
403,6.0
404,720.0
405,24.0
406,696.0
407,506.0
408,272.0
409,520.0
410,260.0
411,742.0
412,510.0
413,4.0
414,266.0
415,508.0
416,4.0
417,268.0
418,740.0
419,656.0
420,62.0
421,458.0
422,2.0
423,256.0
424,496.0
425,4.0
426,262.0
427,514.0
428,2.0
429,266.0
430,718.0
431,488.0
432,4.0
433,248.0
434,508.0
435,2.0
436,272.0
437,666.0
438,50.0
439,700.0
440,448.0
441,272.0
442,478.0
443,262.0
444,40.0
445,698.0
446,32.0
447,6.0
448,648.0
449,36.0
450,502.0
451,276.0
452,478.0
453,282.0
454,700.0
455,716.0
456,478.0
457,2.0
458,262.0
459,34.0
460,464.0
461,262.0
462,736.0
463,486.0
464,258.0
465,514.0
466,4.0
467,260.0
468,682.0
469,58.0
470,664.0
471,52.0
472,478.0
473,202.0
474,2.0
475,60.0
476,476.0
477,2.0
478,266.0
479,696.0
480,476.0
481,4.0
482,258.0
483,32.0
484,486.0
485,2.0
486,258.0
487,722.0
488,60.0
489,638.0
490,60.0
491,478.0
492,2.0
493,260.0
494,498.0
495,4.0
496,258.0
497,502.0
498,218.0
499,58.0
500,660.0
501,60.0
502,458.0
503,2.0
504,260.0
505,38.0
506,460.0
507,4.0
508,258.0
509,504.0
510,214.0
511,60.0
512,720.0
513,464.0
514,256.0
515,490.0
516,270.0
517,28.0
518,790.0
519,618.0
520,222.0
521,42.0
522,40.0
523,516.0
