,0
0,700.0
1,28.0
2,632.0
3,660.0
4,618.0
5,40.0
6,622.0
7,36.0
8,666.0
9,42.0
10,758.0
11,760.0
12,42.0
13,702.0
14,58.0
15,820.0
16,740.0
17,720.0
18,724.0
19,778.0
20,26.0
21,796.0
22,26.0
23,794.0
24,60.0
25,818.0
26,42.0
27,44.0
28,742.0
29,38.0
30,778.0
31,28.0
32,672.0
33,58.0
34,506.0
35,252.0
36,782.0
37,742.0
38,682.0
39,58.0
40,38.0
41,684.0
42,34.0
43,448.0
44,256.0
45,742.0
46,718.0
47,740.0
48,784.0
49,818.0
50,720.0
51,496.0
52,268.0
53,32.0
54,666.0
55,60.0
56,720.0
57,44.0
58,676.0
59,44.0
60,438.0
61,260.0
62,720.0
63,718.0
64,44.0
65,718.0
66,742.0
67,738.0
68,44.0
69,736.0
70,762.0
71,744.0
72,718.0
73,738.0
74,700.0
75,720.0
76,484.0
77,2.0
78,254.0
79,762.0
80,44.0
81,674.0
82,500.0
83,244.0
84,52.0
85,444.0
86,262.0
87,42.0
88,678.0
89,482.0
90,2.0
91,256.0
92,42.0
93,736.0
94,728.0
95,720.0
96,474.0
97,264.0
98,716.0
99,44.0
100,416.0
101,260.0
102,34.0
103,6.0
104,726.0
105,792.0
106,706.0
107,696.0
108,478.0
109,2.0
110,258.0
111,742.0
112,42.0
113,676.0
114,722.0
115,518.0
116,2.0
117,260.0
118,738.0
119,740.0
120,518.0
121,266.0
122,34.0
123,742.0
124,720.0
125,500.0
126,2.0
127,256.0
128,742.0
129,700.0
130,44.0
131,696.0
132,28.0
133,650.0
134,60.0
135,28.0
136,690.0
137,30.0
138,414.0
139,262.0
140,700.0
141,52.0
142,724.0
143,38.0
144,602.0
145,58.0
146,464.0
147,258.0
148,698.0
149,4.0
150,34.0
151,686.0
152,54.0
153,442.0
154,4.0
155,252.0
156,46.0
157,680.0
158,656.0
159,60.0
160,26.0
161,594.0
162,64.0
163,24.0
164,686.0
165,472.0
166,272.0
167,758.0
168,26.0
169,692.0
170,484.0
171,258.0
172,694.0
173,6.0
174,58.0
175,698.0
176,488.0
177,258.0
178,496.0
179,278.0
180,22.0
181,696.0
182,44.0
183,678.0
184,42.0
185,712.0
186,762.0
187,32.0
188,8.0
189,680.0
190,34.0
191,8.0
192,698.0
193,36.0
194,704.0
195,30.0
196,6.0
197,626.0
198,54.0
199,480.0
200,262.0
201,38.0
202,742.0
203,40.0
204,716.0
205,484.0
206,262.0
207,494.0
208,260.0
209,756.0
210,30.0
211,676.0
212,468.0
213,264.0
214,34.0
215,628.0
216,60.0
217,640.0
218,64.0
219,454.0
220,2.0
221,204.0
222,54.0
223,42.0
224,680.0
225,48.0
226,634.0
227,58.0
228,702.0
229,496.0
230,256.0
231,698.0
232,2.0
233,62.0
234,28.0
235,674.0
236,470.0
237,2.0
238,266.0
239,28.0
240,6.0
241,694.0
242,38.0
243,410.0
244,264.0
245,432.0
246,4.0
247,258.0
248,38.0
249,4.0
250,678.0
251,682.0
252,676.0
253,430.0
254,268.0
255,664.0
256,660.0
257,28.0
258,382.0
259,266.0
260,642.0
261,62.0
262,626.0
263,52.0
264,40.0
265,640.0
266,44.0
267,432.0
268,258.0
269,724.0
270,42.0
271,660.0
272,422.0
273,256.0
274,684.0
275,662.0
276,46.0
277,628.0
278,716.0
279,686.0
280,40.0
281,602.0
282,56.0
283,30.0
284,436.0
285,254.0
286,668.0
287,34.0
288,680.0
289,48.0
290,4.0
291,412.0
292,2.0
293,250.0
294,700.0
295,664.0
296,664.0
297,692.0
298,644.0
299,632.0
300,32.0
301,374.0
302,4.0
303,256.0
304,32.0
305,632.0
306,638.0
307,418.0
308,2.0
309,256.0
310,704.0
311,676.0
312,420.0
313,260.0
314,36.0
315,2.0
316,402.0
317,260.0
318,676.0
319,28.0
320,654.0
321,698.0
322,26.0
323,614.0
324,600.0
325,62.0
326,662.0
327,28.0
328,610.0
329,662.0
330,696.0
331,638.0
332,662.0
333,682.0
334,42.0
335,632.0
336,34.0
337,630.0
338,408.0
339,262.0
340,32.0
341,638.0
342,40.0
343,620.0
344,660.0
345,30.0
346,596.0
347,48.0
348,666.0
349,646.0
350,694.0
351,638.0
352,4.0
353,58.0
354,602.0
355,56.0
356,26.0
357,392.0
358,262.0
359,624.0
360,60.0
361,26.0
362,640.0
363,672.0
364,26.0
365,8.0
366,648.0
367,658.0
368,602.0
369,56.0
370,26.0
371,390.0
372,4.0
373,262.0
374,676.0
375,680.0
376,680.0
377,28.0
378,592.0
379,2.0
380,60.0
381,664.0
382,634.0
383,438.0
384,264.0
385,700.0
386,720.0
387,474.0
388,206.0
389,56.0
390,486.0
391,258.0
392,722.0
393,714.0
394,24.0
395,638.0
396,2.0
397,54.0
398,28.0
399,622.0
400,50.0
401,32.0
402,628.0
403,698.0
404,704.0
405,674.0
406,442.0
407,2.0
408,258.0
409,36.0
410,652.0
411,52.0
412,40.0
413,682.0
414,40.0
415,678.0
416,32.0
417,450.0
418,260.0
419,706.0
420,448.0
421,266.0
422,30.0
423,706.0
424,644.0
425,58.0
426,32.0
427,644.0
428,46.0
429,680.0
430,714.0
431,682.0
432,38.0
433,664.0
434,716.0
435,718.0
436,440.0
437,262.0
438,722.0
439,32.0
440,670.0
441,716.0
442,28.0
443,432.0
444,202.0
445,66.0
446,656.0
447,56.0
448,30.0
449,656.0
450,716.0
451,696.0
452,682.0
453,718.0
454,720.0
455,682.0
456,678.0
457,642.0
458,58.0
459,680.0
460,32.0
