,0
0,476.0
1,262.0
2,524.0
3,2.0
4,274.0
5,698.0
6,64.0
7,682.0
8,20.0
9,36.0
10,36.0
11,664.0
12,40.0
13,638.0
14,38.0
15,622.0
16,660.0
17,698.0
18,464.0
19,278.0
20,576.0
21,264.0
22,646.0
23,2.0
24,272.0
25,28.0
26,832.0
27,44.0
28,816.0
29,26.0
30,732.0
31,40.0
32,42.0
33,738.0
34,4.0
35,38.0
36,760.0
37,698.0
38,28.0
39,672.0
40,30.0
41,8.0
42,680.0
43,30.0
44,710.0
45,42.0
46,762.0
47,796.0
48,40.0
49,860.0
50,40.0
51,4.0
52,754.0
53,778.0
54,768.0
55,682.0
56,54.0
57,28.0
58,716.0
59,736.0
60,740.0
61,24.0
62,698.0
63,696.0
64,2.0
65,58.0
66,32.0
67,728.0
68,498.0
69,2.0
70,260.0
71,540.0
72,264.0
73,774.0
74,508.0
75,272.0
76,30.0
77,670.0
78,60.0
79,30.0
80,706.0
81,724.0
82,482.0
83,262.0
84,40.0
85,694.0
86,742.0
87,40.0
88,444.0
89,256.0
90,44.0
91,680.0
92,52.0
93,30.0
94,690.0
95,482.0
96,274.0
97,30.0
98,660.0
99,54.0
100,698.0
101,470.0
102,268.0
103,32.0
104,10.0
105,620.0
106,58.0
107,30.0
108,670.0
109,740.0
110,30.0
111,464.0
112,2.0
113,262.0
114,738.0
115,662.0
116,2.0
117,40.0
118,474.0
119,2.0
120,260.0
121,678.0
122,2.0
123,58.0
124,706.0
125,466.0
126,208.0
127,60.0
128,30.0
129,454.0
130,274.0
131,26.0
132,698.0
133,476.0
134,280.0
135,26.0
136,712.0
137,720.0
138,480.0
139,4.0
140,258.0
141,42.0
142,656.0
143,58.0
144,30.0
145,676.0
146,36.0
147,738.0
148,478.0
149,260.0
150,532.0
151,270.0
152,26.0
153,10.0
154,736.0
155,494.0
156,2.0
157,266.0
158,518.0
159,262.0
160,706.0
161,52.0
162,28.0
163,444.0
164,266.0
165,32.0
166,678.0
167,34.0
168,718.0
169,46.0
170,38.0
171,436.0
172,262.0
173,510.0
174,2.0
175,268.0
176,32.0
177,726.0
178,42.0
179,700.0
180,54.0
181,526.0
182,274.0
183,718.0
184,56.0
185,30.0
186,440.0
187,254.0
188,516.0
189,262.0
190,40.0
191,726.0
192,492.0
193,260.0
194,524.0
195,214.0
196,60.0
197,28.0
198,750.0
199,30.0
200,676.0
201,36.0
202,512.0
203,4.0
204,264.0
205,26.0
206,10.0
207,704.0
208,2.0
209,52.0
210,762.0
211,24.0
212,444.0
213,268.0
214,508.0
215,2.0
216,212.0
217,60.0
218,764.0
219,38.0
220,698.0
221,502.0
222,216.0
223,46.0
224,38.0
225,736.0
226,736.0
227,40.0
228,460.0
229,264.0
230,40.0
231,466.0
232,272.0
233,28.0
234,748.0
235,30.0
236,674.0
237,482.0
238,276.0
239,678.0
240,60.0
241,720.0
242,486.0
243,272.0
244,28.0
245,722.0
246,732.0
247,34.0
248,2.0
249,626.0
250,54.0
251,32.0
252,8.0
253,664.0
254,44.0
255,38.0
256,694.0
257,42.0
258,676.0
