FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.10226448436912,-0.208872791968991,-0.393446188296804,-0.321744659389434,-0.383473618962756,-0.428746708973807,-0.216741544353504
-0.102303348797758,-0.208951549098831,-0.393087130580388,-0.319834005206702,-0.381594239186624,-0.42601801075907,-0.221168843834138
-0.105374922711186,-0.205866856221381,-0.413540360367702,-0.318765749785011,-0.381200387995002,-0.424312255404118,-0.222096639513148
-0.108328809715782,-0.201951132671679,-0.433636991497741,-0.323998161236983,-0.380470898764286,-0.421991469297276,-0.224999266511381
-0.107317787506441,-0.203849837245833,-0.438985500392433,-0.324395376810745,-0.377746116460188,-0.423012857724821,-0.251423622860143
-0.113993891537074,-0.20185235178995,-0.439024229203867,-0.319801698417164,-0.376544221653335,-0.42236987104461,-0.278158344640508
-0.104967092538251,-0.20408122166509,-0.423526222856349,-0.313516149379075,-0.377344534081022,-0.422986225375424,-0.252279109622641
-0.105788303856767,-0.191961921871298,-0.441946534394475,-0.305163932593285,-0.367307784383079,-0.413182771025357,-0.233741058529207
-0.106573247400836,-0.195893912659503,-0.428795488145299,-0.304879211106617,-0.366744216183856,-0.413812478230789,-0.232450228166633
-0.0773947127925905,-0.178856618186428,-0.429268645231566,-0.30491519502418,-0.354963574580763,-0.401827903583601,-0.226915546960112
-0.0848426846925214,-0.191735616215183,-0.415561668893927,-0.298556803226045,-0.353093939227057,-0.399922674352899,-0.228685538490113
-0.11175593830839,-0.188240716500657,-0.411665900723684,-0.286747701427941,-0.349885518442632,-0.397202586655034,-0.26034992642848
-0.134134468841569,-0.188162899258101,-0.403530290930265,-0.286784914725568,-0.352354738687078,-0.398269794909582,-0.271644396106142
-0.134524213095784,-0.181420362523245,-0.432018461442786,-0.277711743287672,-0.349093358518033,-0.397951645166203,-0.264863271277189
-0.125689894024456,-0.198346649118113,-0.440078394910875,-0.284522451294341,-0.349631798256173,-0.398351997783187,-0.269680768565476
-0.101778565031424,-0.207562963164243,-0.461969988528636,-0.305328597702667,-0.350345422657686,-0.398593379122878,-0.270071089670595
-0.108932677880594,-0.217777653787536,-0.440300469166892,-0.304412153598069,-0.350726288671635,-0.398449245870086,-0.27356325772534
-0.111035657746978,-0.195223230098953,-0.431912209273878,-0.298578976614652,-0.352696455518165,-0.398637381079915,-0.284192845415395
-0.12882672515383,-0.171101744280596,-0.432706111866948,-0.299205583848264,-0.353016135180826,-0.398092942266241,-0.298384892958558
-0.124518981612696,-0.159194792713102,-0.45153556680943,-0.314535109083225,-0.355909626741396,-0.401200420693945,-0.304374646320078
-0.106031326893771,-0.163857730084764,-0.4358964472258,-0.312196381444372,-0.357427543196629,-0.40258299611057,-0.279531368023284
-0.119641206267272,-0.164639700466063,-0.421163744266823,-0.31111748538092,-0.358857772209279,-0.406559551248676,-0.303604766782096
-0.120815201610864,-0.180495748826779,-0.421038089210187,-0.308552564930424,-0.35580521593872,-0.401954522919609,-0.293438048354458
-0.126685313776351,-0.189049824721749,-0.431034565952144,-0.315572285458476,-0.355281483841664,-0.398375890950627,-0.292783159878774
-0.129553788945346,-0.177464601223651,-0.419516451163826,-0.303257454455738,-0.346914538348268,-0.391667040067803,-0.277225872674621
-0.125634917534484,-0.183730210494608,-0.420032345064017,-0.321455367472385,-0.347799297567295,-0.391709948563271,-0.304109003074755
-0.144935840170042,-0.183378955878734,-0.419525909844531,-0.323885628958105,-0.347413241064468,-0.389661904280047,-0.320295594119035
-0.116121273945745,-0.196828799731773,-0.432057770551054,-0.343147419021341,-0.347694399990062,-0.387182402528164,-0.315001216929627
-0.0842994595238456,-0.218046002433959,-0.447504990084636,-0.351934169912057,-0.348818810153257,-0.388091692169877,-0.287069158984308
-0.11310530496032,-0.222480596213559,-0.446749312470321,-0.353221609571074,-0.360576858516585,-0.393769411534187,-0.293434640435746
-0.137497397788536,-0.206966165691512,-0.446793148340708,-0.351646295632096,-0.364101496317404,-0.398283101277019,-0.303771411771346
-0.11468003503837,-0.225607626837821,-0.458943599644477,-0.351965388483951,-0.361572989746412,-0.394842279149104,-0.299269995593493
-0.11721756832258,-0.225070559135568,-0.488670591988506,-0.358313911607831,-0.359951927744223,-0.393417210065333,-0.29705621708642
-0.0901097595634358,-0.232509016283336,-0.45604306602741,-0.358369275722661,-0.359218993900943,-0.391376545368502,-0.289761545319236
-0.0971266703694794,-0.216387507070606,-0.425818388258855,-0.343373269816411,-0.365957047159034,-0.392617361979364,-0.293847607714227
-0.129483812246861,-0.214519767416017,-0.426314661914705,-0.343878987383588,-0.367385257921158,-0.395032869185412,-0.306062028978868
-0.132942518623587,-0.220639180114032,-0.424186931833136,-0.344012308010704,-0.383002519671598,-0.40717374440945,-0.311426365497772
-0.141764346518246,-0.221433296050615,-0.449437020169211,-0.354580863481134,-0.386684466914458,-0.411487980793387,-0.336246940107982
-0.129022275833311,-0.247913936146229,-0.447885458568545,-0.354095413090177,-0.385780329470439,-0.411114106917565,-0.337662835499009
-0.110870278762643,-0.272983711571595,-0.474704395833896,-0.361866100829414,-0.386264855623358,-0.413439105241301,-0.337902355112493
-0.139727419044673,-0.270268903070251,-0.47120246852552,-0.358451114013804,-0.387213449619427,-0.413732162489612,-0.33660112713113
-0.163915032752239,-0.257991452017743,-0.489244635727459,-0.376479097414446,-0.39660968892406,-0.42159699600849,-0.365257361697047
-0.159782154632062,-0.280629015653053,-0.490837433862605,-0.377110162877797,-0.396960284890561,-0.42042925090268,-0.357573861714305
-0.142522197807923,-0.286017160383519,-0.501486463358406,-0.373001536900213,-0.391132133759308,-0.413614467074389,-0.360761753464871
-0.121818141074624,-0.283398714016219,-0.500166076891247,-0.372684653339334,-0.390999436474382,-0.413670885869047,-0.367062996434369
-0.114102212900234,-0.254131182011362,-0.498982674539857,-0.371303271527807,-0.38397223989953,-0.40681431913681,-0.369425240697759
-0.0926174478448053,-0.232916676832268,-0.496642500070112,-0.363539536374314,-0.380910475970576,-0.399079301080738,-0.353255694740726
-0.0607153743807192,-0.235228017725708,-0.516632935335267,-0.363293473392371,-0.375217685938607,-0.395797328878265,-0.342606252023071
-0.0631305058229046,-0.233279695821368,-0.520499850819222,-0.365740989416333,-0.384103586178991,-0.397995369726851,-0.327912620205358
-0.0507695114519231,-0.242810224084331,-0.519335614001505,-0.364646324151542,-0.382955830768044,-0.396010668227983,-0.323620465416876
-0.0541087981185814,-0.247927737265043,-0.508988107387881,-0.36766481181962,-0.38366867261396,-0.397457493342593,-0.330774157684206
-0.0256163839418065,-0.249679414712057,-0.530979950088836,-0.374406729499429,-0.382442092541278,-0.395038942856911,-0.324000489816
-0.0456979363172613,-0.248078996175935,-0.528913319229917,-0.372016607675571,-0.381962639695759,-0.394559781171,-0.32642217555932
-0.0660264466953453,-0.249832284485769,-0.536128088163026,-0.374866393148635,-0.382752041377254,-0.395346004772573,-0.327150035560199
-0.09277089174743,-0.223998903002886,-0.516769944316722,-0.379440604211284,-0.385204473074062,-0.39705093843653,-0.354409178849287
-0.0940634592871378,-0.228046080124017,-0.512698718287571,-0.377569800310045,-0.386358633926118,-0.39684329826353,-0.348385591002588
-0.0843409366783753,-0.227258205389726,-0.514209128890265,-0.38024151797709,-0.385668781556567,-0.395431533738821,-0.318836691897643
-0.0534108884693265,-0.258212731898405,-0.531603294138234,-0.403557532385359,-0.39848970100811,-0.416796039526866,-0.317045442279452
-0.0472787965624323,-0.25193787956349,-0.515350859912961,-0.405583259958791,-0.398235836268762,-0.417134705948737,-0.325035270599408
-0.057729700124635,-0.268324885743677,-0.506846725786963,-0.401505159630632,-0.399489352466903,-0.418689406221023,-0.327399829799118
-0.0404091699762413,-0.258310834964003,-0.513554130272109,-0.407254556376033,-0.399745519910718,-0.418811048819346,-0.319899648167901
-0.04774537692848,-0.254721757438209,-0.531189948082814,-0.420101211462581,-0.406984029523139,-0.427406867375535,-0.35045154799675
-0.0323146816234083,-0.252937960942813,-0.529509193921208,-0.419415935905721,-0.405131369646393,-0.427559990369201,-0.346796201761237
-0.0518755247778219,-0.252366646959804,-0.53663466277187,-0.424474427912432,-0.410623984254438,-0.436139313011418,-0.369541577794325
-0.045625057399347,-0.246103807380343,-0.533719569518298,-0.422864724007349,-0.408768600164627,-0.435014845939013,-0.367546976159178
-0.041529451106188,-0.242284468525263,-0.536624781935566,-0.422717076473383,-0.408457285946127,-0.434723445120361,-0.355137377093586
-0.0386836212166781,-0.242552005384996,-0.537310518488966,-0.42294766719095,-0.409800903115374,-0.437491194038736,-0.385842067477758
-0.0179698238708499,-0.244947024368152,-0.539233375435782,-0.42399542734208,-0.412646547609399,-0.440346128691109,-0.392258733730706
-0.0120060851664721,-0.243181108975939,-0.549120336878257,-0.424277154661317,-0.411531350433448,-0.439776113786992,-0.366108412978052
-0.0176829877729008,-0.267595567777637,-0.55885402349489,-0.430356122239008,-0.41619487420934,-0.444290261151238,-0.359304831631155
-0.0122487977658371,-0.238142767284779,-0.555245058751757,-0.429626972655591,-0.414974413398147,-0.444003459754919,-0.355034238228872
-0.00606914035530903,-0.229540840656859,-0.570894653567699,-0.430917949750885,-0.415210145005327,-0.444696776203333,-0.3521248569346
0.0225017137591621,-0.222202197899966,-0.566367796062125,-0.427953149337422,-0.414050523874212,-0.443592529894256,-0.332186235520504
0.0178279097693235,-0.236878859121053,-0.550865604088581,-0.44529276882652,-0.422062935966679,-0.444792781834659,-0.337085812315534
0.02541750658282,-0.224863323231566,-0.545581512816495,-0.447063513448767,-0.413271856663005,-0.435948157388664,-0.340458619447456
0.00325616577972619,-0.226825344627889,-0.545244175531276,-0.447081153443299,-0.413269782698047,-0.435892186305229,-0.338730093101186
0.0151766911903456,-0.224302100930292,-0.544522552441313,-0.44530044698385,-0.415112474935381,-0.43945978187962,-0.337200592440977
-2.04998048082133e-05,-0.243413381999784,-0.524048663746736,-0.440756488096202,-0.410768707656949,-0.43664774466555,-0.335882091277823
-0.0138661270259679,-0.256310882957061,-0.495668713505134,-0.414215976475421,-0.388547342026191,-0.414759505787932,-0.329428613240392
-0.0371971291004395,-0.277791477178822,-0.495728894232103,-0.415214013293923,-0.388193989853023,-0.413733861978099,-0.332453710603445
-0.0458742445391048,-0.272404249495838,-0.473010787423045,-0.406193972168076,-0.386737858740949,-0.412158801688473,-0.339659592972867
-0.0417441284974538,-0.274237360522107,-0.476482126513888,-0.404835736527203,-0.386621245946324,-0.412152059820856,-0.328899626488231
