FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.218830056740486,-0.344941042187995,-0.451197389537742,-0.360655461544913,-0.340773838522905,-0.433813582534363,-0.314865954161134
-0.218833312147721,-0.351419609950955,-0.447891310499109,-0.361607387693685,-0.34060053753668,-0.434443173620017,-0.31972900492621
-0.226768211826823,-0.351611055927931,-0.416946862247475,-0.36115472742023,-0.340639451561543,-0.434443644403611,-0.310859086181326
-0.224982039413252,-0.353355761401107,-0.428285693961777,-0.367160635663659,-0.339735620303566,-0.434653165118648,-0.309676733843005
-0.211259070705453,-0.361247476225257,-0.42885086149414,-0.367302328048841,-0.339711769328813,-0.435297246748543,-0.308898694032802
-0.227352437618467,-0.362806225058313,-0.426651372333947,-0.36643732756258,-0.338199533422384,-0.436417963596301,-0.313775567647249
-0.242340990170197,-0.393201881445326,-0.440662743472938,-0.365798290092057,-0.338238892630104,-0.436296196018938,-0.3110775452431
-0.272593360695865,-0.393219100402615,-0.442439025009728,-0.366246230960373,-0.338082984815062,-0.436925751166716,-0.319525545716048
-0.275438377979039,-0.393395723057003,-0.441860882138639,-0.366431214897544,-0.340975696641407,-0.4374234892935,-0.316961805820759
-0.27507458059627,-0.397659224592112,-0.420956684166057,-0.369002282423919,-0.346665724630264,-0.438254642814145,-0.326809775250843
-0.304723005900287,-0.396216605436227,-0.445586778848792,-0.369541811341921,-0.34782076823359,-0.438324158178962,-0.32541256319667
-0.336798928678811,-0.397656251217631,-0.461578484399036,-0.363798633796908,-0.350426705124186,-0.440731186861121,-0.326217573060883
-0.353965793303632,-0.396120707877267,-0.453395756998717,-0.352124592995425,-0.349782478713732,-0.438260007290741,-0.355173775523385
-0.348878463115365,-0.393047027664609,-0.461857704556474,-0.353052409326948,-0.351429244069142,-0.439498489974918,-0.365485348969499
-0.337031209149974,-0.390940657398694,-0.463986334091829,-0.348545500607395,-0.351201879827607,-0.439477099733621,-0.341491458158751
-0.334994604239521,-0.396227060782146,-0.476905233597313,-0.353572712440848,-0.352956315083486,-0.440398175843122,-0.35150180709831
-0.329415831066022,-0.400731844842165,-0.476702607363272,-0.354056803134944,-0.349613480863325,-0.438275286522242,-0.338970847782391
-0.3617755299273,-0.401328511535637,-0.493715172233417,-0.356970330381496,-0.348472818266183,-0.436948546577252,-0.357023590720454
-0.349951201593124,-0.401195808332195,-0.494409111328199,-0.357000189387256,-0.347160737800531,-0.431331250567718,-0.35743341985427
-0.348362692998916,-0.407354959432785,-0.479608892236491,-0.362176914218,-0.349371120596636,-0.433893656317415,-0.356493143452789
-0.32942007200509,-0.407386397721617,-0.471600757707519,-0.362604388731097,-0.350159578281628,-0.432099916705612,-0.358573443413091
-0.318077716035805,-0.407358469846198,-0.477164065075896,-0.361469906392984,-0.35012956301003,-0.432110236885797,-0.348437838306294
-0.318071650573941,-0.423659729163498,-0.49610978419017,-0.364958151010322,-0.350346465197144,-0.432821125754799,-0.352546073041609
-0.306919823781725,-0.431960481643056,-0.495949644561126,-0.364608497685441,-0.349217649292048,-0.431046242954663,-0.344010865749644
-0.296141352975084,-0.424581845119565,-0.490140158155789,-0.356533872554695,-0.343156843544419,-0.423732527726316,-0.346047727887222
-0.327090456876155,-0.4540146328226,-0.514898624216932,-0.364836561272615,-0.358601742191738,-0.437403172122106,-0.346277676602359
-0.334241814571002,-0.453549524378321,-0.516355430695099,-0.365489963883643,-0.358425180573533,-0.43747935518106,-0.348480800659217
-0.305441322623751,-0.447770431440167,-0.497374566693692,-0.356677384659833,-0.357975632154309,-0.436962930638335,-0.348214438312126
-0.306871227167591,-0.447570853142999,-0.509434692221112,-0.3570336347687,-0.358002721794732,-0.441187612161145,-0.347433906453324
-0.319436403026251,-0.446557313313583,-0.517609060373364,-0.354774652625569,-0.36018652633942,-0.441440931093478,-0.352796057501108
-0.321705757353845,-0.443283267656062,-0.513875225103602,-0.350900467318379,-0.354711149199553,-0.436602006567141,-0.351373431001169
-0.311591472236892,-0.45401913166794,-0.518212018303423,-0.354490361559975,-0.356356415998403,-0.436519363668227,-0.347369649243939
-0.280605288724416,-0.461531590914627,-0.524721679009553,-0.354772045407291,-0.355359347985282,-0.436087885607792,-0.334535445784401
-0.296269197460922,-0.470455357576683,-0.524606792193625,-0.356369702892092,-0.360425454928673,-0.435579704289039,-0.33357751390165
-0.284579672563637,-0.47021774663209,-0.524595923416801,-0.356410695625489,-0.363113616480054,-0.437986701255982,-0.331226921259407
-0.291538062697242,-0.469865264629139,-0.517502396667473,-0.355189781158244,-0.36487742571199,-0.43861445514939,-0.333503698109703
-0.280096313737864,-0.46813529711599,-0.517995426773953,-0.354405521414135,-0.36278516267153,-0.438326046786263,-0.327353797773832
-0.254823772268316,-0.467626593026621,-0.522182185802511,-0.354510791380771,-0.361795952337789,-0.438633583190351,-0.310931437950934
-0.237374500664491,-0.467405128537981,-0.520777381212356,-0.35452532247419,-0.361800430985239,-0.438640695813552,-0.310994055669791
-0.242031692299088,-0.466366520055917,-0.525282727052546,-0.357334360890969,-0.362029010384468,-0.440206753092455,-0.337413785699466
-0.227847565664552,-0.462491747566964,-0.525696295621712,-0.357463442079117,-0.362240752908203,-0.440156504320328,-0.345754786516676
-0.219302340108869,-0.460213947334141,-0.532492128300779,-0.348466894706448,-0.362401767708636,-0.44051630532794,-0.34378661254791
-0.244824362380357,-0.450187797604184,-0.530627686182451,-0.344833195549015,-0.360619039641246,-0.438818086765781,-0.353821250387227
-0.223360627760199,-0.447213553194208,-0.531853899226852,-0.34267450039814,-0.357285442309265,-0.436868600899753,-0.377020850921749
-0.231508508051426,-0.46918002957784,-0.517963417000311,-0.34442230710894,-0.361274265834309,-0.439611218495583,-0.376582693857331
-0.231760321035323,-0.467373989143745,-0.542204578999311,-0.370338451005479,-0.359033169608897,-0.442192676710314,-0.40320831675333
-0.233141583460441,-0.46710848668203,-0.561270919883026,-0.371342016462134,-0.365137286919234,-0.445800744071196,-0.407759966207209
-0.214944761673097,-0.47493841066935,-0.551413260048069,-0.374623905027814,-0.366737537573353,-0.447001047723894,-0.393090845199072
-0.195075487379731,-0.472527934817602,-0.561206538284392,-0.371686302224799,-0.374430884022193,-0.450216222404068,-0.400135434528536
