FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.0504146824210733,-0.0616023145078432,-0.19101161104906,-0.200436863945621,-0.0960592846587973,-0.16052343184926,-0.00645399739908065
-0.0261659536660082,-0.0617572085961433,-0.196718230596195,-0.206536556972864,-0.103792129252683,-0.174095954682239,0.00984218197706327
-0.0391629365302008,-0.0774338320467577,-0.208734076588544,-0.217436447554375,-0.118002982095378,-0.187907858780816,-0.000109137799443937
-0.0646671218640583,-0.0591549683123763,-0.214673420736391,-0.214439435535744,-0.117943110127167,-0.189770741864166,-0.01528546665912
-0.0864205589129412,-0.0477174891016703,-0.186657639084764,-0.20522063203056,-0.0849171071092414,-0.190316891089037,-0.0402359222559406
-0.117763021099846,-0.0338534717572246,-0.185720335112243,-0.203943388265773,-0.0895366034340327,-0.197684848024101,-0.0665114564001499
-0.0951338256250701,-0.032840704002964,-0.197489084391074,-0.218020302643784,-0.104856771604856,-0.198561009420808,-0.0511289553650587
-0.0631722508508347,-0.0489872888174994,-0.220778781456142,-0.222533987178918,-0.101246913595517,-0.203362737278845,-0.0452351002733253
-0.0418517906022898,-0.0799197844631797,-0.2449707260544,-0.228581839471664,-0.105130636268508,-0.210289978040753,-0.036048226122589
-0.0147847182674371,-0.0820986765944329,-0.242099919096114,-0.228039316267388,-0.104818927693753,-0.206889148161858,-0.0436938797968088
-0.0133998439092706,-0.0823427462658812,-0.233415767625546,-0.25975225455205,-0.092808801691446,-0.187435033910288,-0.0252201000590829
-0.0333593013992963,-0.0574554511952165,-0.249140214434834,-0.258262133044516,-0.0919842623321144,-0.205814294347405,-0.049687855614418
-0.0364286921549241,-0.0742803409835439,-0.26305788467247,-0.281684723049103,-0.0923784456308361,-0.216585726119099,-0.0413549848282035
-0.0223670656361864,-0.0715934564272389,-0.257897675036887,-0.280240195539548,-0.0870313747568387,-0.215646325689352,-0.0383002484785369
-0.0353406353030935,-0.039963793525233,-0.252441880785035,-0.249570795267451,-0.0794239394586767,-0.220357283695705,-0.0526883954465204
