,0
0,542.0
1,542.0
2,540.0
3,534.0
4,530.0
5,516.0
6,591.2081784386617
7,591.2081784386617
8,591.2081784386617
9,522.0
10,522.0
11,536.0
12,530.0
13,536.0
14,514.0
15,514.0
16,514.0
17,591.2081784386617
18,591.2081784386617
19,516.0
20,591.2081784386617
21,591.2081784386617
22,516.0
23,526.0
24,536.0
25,538.0
26,538.0
27,532.0
28,530.0
29,536.0
30,554.0
31,548.0
32,534.0
33,544.0
34,554.0
35,554.0
36,542.0
37,552.0
38,560.0
39,560.0
40,558.0
41,570.0
42,568.0
43,574.0
44,552.0
45,564.0
46,564.0
47,568.0
48,570.0
49,550.0
50,538.0
51,544.0
52,550.0
53,566.0
54,568.0
55,566.0
56,552.0
57,566.0
58,570.0
59,574.0
60,568.0
61,572.0
62,576.0
63,582.0
64,562.0
65,556.0
66,566.0
67,564.0
68,564.0
69,566.0
70,568.0
71,552.0
72,574.0
73,568.0
74,578.0
75,560.0
76,568.0
77,578.0
78,582.0
79,588.0
80,568.0
81,576.0
82,570.0
83,562.0
84,556.0
85,566.0
86,574.0
87,574.0
88,568.0
89,574.0
90,576.0
91,570.0
92,554.0
93,566.0
94,568.0
95,578.0
96,580.0
97,564.0
98,558.0
99,572.0
100,574.0
101,598.0
102,574.0
103,588.0
104,596.0
105,618.0
106,620.0
107,590.0
108,604.0
109,602.0
110,598.0
111,572.0
112,554.0
113,554.0
114,554.0
115,560.0
116,578.0
117,572.0
118,582.0
119,598.0
120,610.0
121,610.0
122,602.0
123,608.0
124,614.0
125,608.0
126,590.0
127,578.0
128,590.0
129,594.0
130,596.0
131,580.0
132,582.0
133,594.0
134,592.0
135,572.0
136,572.0
137,590.0
138,604.0
139,608.0
140,590.0
141,614.0
142,620.0
143,610.0
144,590.0
145,606.0
146,602.0
147,602.0
148,584.0
149,598.0
150,594.0
151,612.0
152,584.0
153,590.0
154,598.0
155,608.0
156,596.0
157,578.0
158,590.0
159,592.0
160,594.0
161,598.0
162,574.0
163,592.0
164,606.0
165,614.0
166,582.0
167,588.0
168,600.0
169,600.0
170,580.0
171,588.0
172,590.0
173,586.0
174,566.0
175,574.0
176,584.0
177,584.0
178,572.0
179,570.0
180,584.0
181,588.0
182,574.0
183,562.0
184,570.0
185,574.0
186,586.0
187,580.0
188,564.0
189,574.0
190,576.0
191,578.0
192,562.0
193,564.0
194,586.0
195,592.0
196,594.0
197,572.0
198,590.0
199,588.0
200,576.0
201,566.0
202,576.0
203,574.0
204,582.0
205,566.0
206,576.0
207,584.0
208,592.0
209,572.0
210,582.0
211,594.0
212,590.0
213,578.0
214,574.0
215,574.0
216,588.0
217,594.0
218,590.0
219,582.0
220,602.0
221,610.0
222,620.0
223,586.0
224,600.0
225,610.0
226,618.0
227,586.0
228,596.0
229,608.0
230,620.0
231,592.0
232,600.0
233,598.0
234,604.0
235,580.0
236,568.0
237,578.0
238,590.0
239,588.0
240,584.0
241,598.0
242,616.0
243,624.0
244,600.0
245,594.0
246,616.0
247,634.0
248,612.0
249,596.0
250,618.0
251,610.0
252,592.0
253,578.0
254,592.0
255,602.0
256,616.0
257,588.0
258,602.0
259,614.0
260,610.0
261,588.0
262,602.0
263,614.0
264,626.0
265,596.0
266,600.0
267,604.0
268,610.0
269,584.0
270,578.0
271,598.0
272,612.0
273,614.0
274,588.0
275,598.0
276,620.0
277,632.0
278,604.0
279,610.0
280,620.0
281,634.0
282,608.0
283,594.0
284,618.0
285,620.0
286,624.0
287,608.0
288,626.0
289,622.0
290,610.0
291,592.0
292,612.0
293,618.0
294,598.0
295,584.0
296,602.0
297,608.0
298,620.0
299,592.0
300,608.0
301,608.0
302,602.0
303,582.0
304,600.0
305,596.0
306,586.0
307,578.0
308,588.0
309,596.0
310,596.0
311,580.0
312,592.0
313,600.0
314,594.0
315,574.0
316,594.0
317,596.0
318,600.0
319,596.0
320,624.0
321,612.0
322,596.0
323,592.0
324,598.0
325,598.0
326,580.0
327,572.0
328,586.0
329,602.0
330,616.0
331,596.0
332,606.0
333,626.0
334,644.0
335,640.0
336,608.0
337,630.0
338,636.0
339,630.0
340,600.0
341,602.0
342,612.0
343,630.0
344,646.0
345,610.0
346,616.0
347,622.0
348,646.0
349,620.0
350,612.0
351,618.0
352,636.0
353,638.0
354,620.0
355,646.0
356,658.0
357,620.0
358,626.0
359,648.0
360,636.0
361,602.0
362,608.0
363,616.0
364,622.0
365,604.0
366,608.0
367,624.0
368,638.0
369,618.0
370,604.0
371,622.0
372,630.0
373,608.0
374,596.0
375,620.0
376,614.0
377,624.0
378,592.0
379,608.0
380,614.0
381,614.0
382,588.0
383,606.0
384,608.0
385,604.0
386,578.0
387,588.0
388,596.0
389,614.0
390,588.0
391,600.0
392,612.0
393,620.0
394,590.0
395,606.0
396,614.0
397,628.0
398,604.0
399,610.0
400,620.0
401,624.0
402,600.0
403,600.0
404,614.0
405,618.0
406,600.0
407,590.0
408,598.0
409,600.0
410,610.0
411,618.0
412,598.0
413,604.0
414,614.0
415,618.0
416,612.0
417,584.0
418,582.0
419,586.0
420,588.0
421,586.0
422,566.0
423,572.0
424,576.0
425,588.0
426,598.0
427,590.0
428,582.0
429,598.0
430,602.0
431,610.0
432,582.0
433,590.0
434,596.0
435,600.0
436,582.0
437,576.0
438,594.0
439,602.0
440,618.0
441,588.0
442,594.0
443,598.0
444,592.0
445,588.0
446,574.0
447,586.0
448,600.0
449,612.0
450,602.0
451,584.0
452,604.0
453,622.0
454,616.0
455,604.0
456,612.0
457,622.0
458,626.0
459,614.0
460,628.0
461,628.0
462,614.0
463,592.0
464,608.0
465,604.0
466,610.0
467,588.0
468,606.0
469,622.0
470,608.0
471,590.0
472,612.0
473,618.0
474,594.0
475,590.0
476,604.0
477,610.0
478,606.0
479,586.0
480,610.0
481,622.0
482,630.0
483,596.0
484,598.0
485,612.0
486,616.0
487,596.0
488,598.0
489,604.0
490,606.0
491,586.0
492,586.0
493,602.0
494,600.0
495,586.0
496,586.0
497,592.0
498,598.0
499,616.0
500,584.0
501,586.0
502,588.0
503,592.0
504,592.0
505,578.0
506,574.0
507,586.0
508,594.0
509,608.0
510,606.0
511,590.0
512,606.0
513,608.0
514,622.0
515,612.0
516,604.0
517,636.0
518,636.0
519,602.0
520,602.0
521,606.0
522,608.0
523,594.0
524,594.0
525,610.0
526,624.0
527,620.0
528,602.0
529,614.0
530,636.0
