,0
0,928.0
1,982.0
2,938.0
3,930.0
4,926.0
5,918.0
6,908.0
7,922.0
8,926.0
9,928.0
10,996.0
11,928.0
12,988.0
13,932.0
14,932.0
15,942.0
16,872.0
17,936.0
18,946.0
19,908.0
20,960.0
21,918.0
22,972.0
23,950.0
24,958.0
25,952.0
26,942.0
27,940.0
28,922.0
29,922.0
30,918.0
31,926.0
32,936.0
33,930.0
34,946.0
35,934.0
36,1000.0
37,950.0
38,954.0
39,964.0
40,902.0
41,976.0
42,956.0
43,950.0
44,974.0
45,916.0
46,952.0
47,916.0
48,930.0
49,920.0
50,918.0
51,932.0
52,906.0
53,938.0
54,920.0
55,930.0
56,930.0
57,902.0
58,938.0
59,880.0
60,932.0
61,898.0
62,904.0
63,908.0
64,864.0
65,912.0
66,868.0
67,914.0
68,898.0
69,916.0
70,904.0
71,876.0
72,912.0
73,858.0
74,890.0
75,876.0
76,858.0
77,888.0
78,850.0
79,904.0
80,882.0
81,874.0
82,904.0
83,840.0
84,882.0
85,854.0
86,890.0
87,884.0
88,850.0
89,894.0
90,852.0
91,898.0
92,880.0
93,862.0
94,894.0
95,840.0
96,890.0
97,862.0
98,902.0
99,898.0
100,876.0
101,918.0
102,872.0
103,922.0
104,906.0
105,896.0
106,922.0
107,870.0
108,922.0
109,912.0
110,916.0
111,930.0
112,876.0
113,918.0
114,872.0
115,922.0
116,902.0
117,910.0
118,926.0
119,890.0
120,944.0
121,888.0
122,926.0
123,890.0
124,938.0
125,934.0
126,916.0
127,916.0
128,886.0
129,902.0
130,870.0
131,898.0
132,908.0
133,858.0
134,908.0
135,878.0
136,928.0
137,944.0
138,892.0
139,944.0
140,916.0
141,932.0
142,930.0
143,940.0
144,936.0
145,908.0
146,942.0
147,900.0
148,936.0
149,922.0
150,936.0
151,930.0
152,902.0
153,952.0
154,924.0
155,946.0
156,938.0
157,906.0
158,938.0
159,882.0
160,916.0
161,888.0
162,928.0
163,928.0
164,924.0
165,956.0
166,936.0
167,956.0
168,948.0
169,962.0
170,924.0
171,942.0
172,964.0
173,922.0
174,974.0
175,912.0
176,952.0
177,928.0
178,948.0
179,942.0
180,894.0
181,966.0
182,950.0
183,968.0
184,974.0
185,944.0
186,954.0
187,926.0
188,928.0
189,910.0
190,920.0
191,936.0
192,920.0
193,940.0
194,934.0
195,984.0
196,938.0
197,952.0
198,990.0
199,928.0
200,940.0
201,922.0
202,924.0
203,934.0
204,922.0
205,938.0
206,906.0
207,920.0
208,922.0
209,928.0
210,928.0
211,920.0
212,930.0
213,932.0
214,954.0
215,912.0
216,926.0
217,932.0
218,930.0
219,944.0
220,928.0
221,932.0
222,928.0
223,938.0
224,992.0
225,932.0
226,938.0
227,922.0
228,924.0
229,942.0
230,914.0
231,882.0
232,888.0
233,918.0
234,980.0
235,982.0
236,950.0
