,0
0,920.0
1,884.0
2,914.0
3,916.0
4,886.0
5,916.0
6,894.0
7,898.0
8,934.0
9,900.0
10,914.0
11,978.0
12,910.0
13,952.0
14,942.0
15,900.0
16,920.0
17,892.0
18,904.0
19,930.0
20,904.0
21,942.0
22,944.0
23,926.5302593659942
24,1016.0
25,992.0
26,960.0
27,968.0
28,952.0
29,922.0
30,924.0
31,916.0
32,920.0
33,890.0
34,912.0
35,940.0
36,900.0
37,950.0
38,972.0
39,934.0
40,966.0
41,958.0
42,990.0
43,988.0
44,984.0
45,994.0
46,960.0
47,948.0
48,962.0
49,918.0
50,974.0
51,954.0
52,1010.0
53,964.0
54,1008.0
55,970.0
56,972.0
57,976.0
58,950.0
59,952.0
60,930.0
61,932.0
62,934.0
63,938.0
64,928.0
65,940.0
66,928.0
67,930.0
68,912.0
69,944.0
70,902.0
71,942.0
72,880.0
73,948.0
74,884.0
75,932.0
76,882.0
77,938.0
78,874.0
79,948.0
80,912.0
81,938.0
82,928.0
83,942.0
84,946.0
85,984.0
86,950.0
87,950.0
88,954.0
89,936.0
90,944.0
91,928.0
92,932.0
93,928.0
94,934.0
95,926.0
96,940.0
97,930.0
98,942.0
99,932.0
100,940.0
101,926.0
102,926.0
103,934.0
104,916.0
105,922.0
106,900.0
107,934.0
108,898.0
109,934.0
110,908.0
111,944.0
112,906.0
113,948.0
114,898.0
115,950.0
116,902.0
117,980.0
118,922.0
119,944.0
120,934.0
121,936.0
122,946.0
123,978.0
124,958.0
125,940.0
126,974.0
127,948.0
128,982.0
129,948.0
130,980.0
131,920.0
132,942.0
133,928.0
134,928.0
135,956.0
136,932.0
137,952.0
138,944.0
139,950.0
140,1002.0
141,936.0
142,982.0
143,928.0
144,946.0
145,930.0
146,924.0
147,916.0
148,916.0
149,912.0
150,914.0
151,912.0
152,916.0
153,926.0
154,894.0
155,920.0
156,876.0
157,932.0
158,888.0
159,930.0
160,896.0
161,932.0
162,920.0
163,904.0
164,918.0
165,880.0
166,912.0
167,858.0
168,916.0
169,852.0
170,906.0
171,890.0
172,914.0
173,922.0
174,886.0
175,932.0
176,874.0
177,936.0
178,870.0
179,914.0
180,906.0
181,840.0
182,894.0
183,876.0
184,886.0
185,906.0
186,874.0
187,916.0
188,866.0
189,914.0
190,872.0
191,922.0
192,868.0
193,910.0
194,906.0
195,912.0
196,910.0
197,892.0
198,928.0
199,870.0
200,934.0
201,890.0
202,932.0
203,926.0
204,894.0
205,946.0
206,886.0
207,932.0
208,878.0
209,930.0
210,878.0
211,926.0
212,896.0
213,918.0
214,918.0
215,898.0
216,904.0
217,886.0
218,908.0
219,878.0
220,936.0
221,874.0
222,946.0
223,928.0
224,964.0
225,968.0
226,940.0
227,966.0
228,910.0
229,968.0
230,918.0
231,960.0
232,936.0
233,924.0
234,946.0
235,898.0
236,942.0
237,886.0
238,952.0
239,900.0
240,960.0
241,966.0
242,952.0
243,974.0
244,926.0
245,962.0
246,912.0
247,964.0
248,902.0
249,952.0
250,910.0
251,962.0
252,950.0
253,924.0
254,944.0
255,898.0
256,932.0
257,886.0
258,958.0
259,928.0
260,948.0
261,980.0
262,974.0
263,910.0
264,966.0
265,920.0
266,964.0
267,954.0
268,888.0
269,932.0
270,956.0
271,936.0
272,958.0
273,926.0
274,880.0
275,954.0
276,918.0
277,924.0
278,958.0
279,884.0
280,924.0
281,914.0
282,894.0
283,940.0
284,898.0
285,932.0
286,906.0
287,904.0
288,902.0
289,868.0
290,928.0
291,878.0
292,920.0
293,904.0
294,914.0
295,928.0
296,896.0
297,936.0
298,882.0
299,940.0
300,882.0
301,930.0
302,912.0
303,930.0
304,898.0
305,918.0
306,924.0
307,896.0
308,930.0
309,880.0
310,936.0
311,902.0
312,942.0
313,942.0
314,900.0
315,932.0
316,890.0
317,944.0
318,918.0
319,936.0
320,926.0
321,906.0
322,942.0
323,892.0
324,950.0
325,940.0
326,954.0
327,950.0
328,944.0
329,952.0
330,914.0
331,960.0
332,896.0
333,952.0
334,890.0
335,932.0
336,898.0
337,936.0
338,912.0
339,912.0
340,926.0
341,874.0
342,926.0
343,888.0
344,930.0
345,892.0
346,930.0
