,0
0,588.0
1,586.0
2,584.0
3,586.0
4,580.0
5,578.0
6,572.0
7,562.0
8,562.0
9,572.0
10,588.0
11,592.0
12,572.0
13,556.0
14,554.0
15,552.0
16,556.0
17,566.0
18,580.0
19,594.0
20,600.0
21,604.0
22,602.0
23,594.0
24,590.0
25,584.0
26,579.0553505535055
27,579.0553505535055
28,579.0553505535055
29,576.0
30,578.0
31,592.0
32,610.0
33,618.0
34,620.0
35,626.0
36,626.0
37,620.0
38,612.0
39,608.0
40,586.0
41,578.0
42,578.0
43,574.0
44,556.0
45,552.0
46,560.0
47,560.0
48,562.0
49,558.0
50,546.0
51,546.0
52,554.0
53,574.0
54,596.0
55,596.0
56,594.0
57,598.0
58,612.0
59,628.0
60,634.0
61,634.0
62,628.0
63,618.0
64,612.0
65,606.0
66,594.0
67,586.0
68,574.0
69,564.0
70,558.0
71,554.0
72,560.0
73,568.0
74,582.0
75,580.0
76,572.0
77,572.0
78,578.0
79,594.0
80,594.0
81,584.0
82,578.0
83,578.0
84,578.0
85,580.0
86,578.0
87,570.0
88,560.0
89,558.0
90,562.0
91,572.0
92,578.0
93,576.0
94,572.0
95,576.0
96,586.0
97,594.0
98,590.0
99,584.0
100,580.0
101,582.0
102,584.0
103,582.0
104,580.0
105,576.0
106,572.0
107,566.0
108,558.0
109,556.0
110,562.0
111,574.0
112,588.0
113,596.0
114,596.0
115,594.0
116,596.0
117,588.0
118,586.0
119,578.0
120,578.0
121,574.0
122,570.0
123,560.0
124,556.0
125,558.0
126,568.0
127,582.0
128,588.0
129,596.0
130,596.0
131,582.0
132,568.0
133,564.0
134,562.0
135,564.0
136,570.0
137,566.0
138,560.0
139,560.0
140,564.0
141,570.0
142,574.0
143,568.0
144,564.0
145,564.0
146,564.0
147,566.0
148,566.0
149,568.0
150,562.0
151,552.0
152,546.0
153,550.0
154,554.0
155,568.0
156,588.0
157,608.0
158,612.0
159,610.0
160,606.0
161,604.0
162,592.0
163,584.0
164,578.0
165,574.0
166,572.0
167,568.0
168,570.0
169,566.0
170,556.0
171,550.0
172,550.0
173,564.0
174,580.0
175,600.0
176,598.0
177,586.0
178,580.0
179,584.0
180,590.0
181,594.0
182,598.0
183,586.0
184,582.0
185,574.0
186,566.0
187,554.0
188,548.0
189,552.0
190,558.0
191,568.0
192,566.0
193,560.0
194,570.0
195,574.0
196,590.0
197,582.0
198,572.0
199,572.0
200,588.0
201,608.0
202,624.0
203,622.0
204,608.0
205,600.0
206,590.0
207,574.0
208,556.0
209,550.0
210,548.0
211,554.0
212,562.0
213,560.0
214,556.0
215,552.0
216,552.0
217,564.0
218,564.0
219,556.0
220,554.0
221,552.0
222,554.0
223,538.0
224,536.0
225,540.0
226,544.0
227,548.0
228,550.0
229,548.0
230,540.0
231,538.0
232,544.0
233,552.0
234,562.0
235,554.0
236,546.0
237,548.0
238,554.0
239,570.0
240,580.0
241,570.0
242,562.0
243,560.0
244,570.0
245,574.0
246,576.0
247,576.0
248,574.0
249,568.0
250,556.0
251,546.0
252,546.0
253,552.0
254,562.0
255,576.0
256,584.0
257,594.0
258,596.0
259,600.0
260,598.0
261,594.0
262,592.0
263,586.0
264,579.0553505535055
265,579.0553505535055
266,580.0
267,576.0
268,584.0
269,588.0
270,594.0
271,588.0
272,576.0
273,572.0
274,578.0
275,588.0
276,598.0
277,602.0
278,594.0
279,579.0553505535055
280,579.0553505535055
281,590.0
282,580.0
283,576.0
284,566.0
285,560.0
286,564.0
287,574.0
288,592.0
289,604.0
290,592.0
291,588.0
292,596.0
293,606.0
294,612.0
295,614.0
296,608.0
297,596.0
298,579.0553505535055
299,579.0553505535055
300,579.0553505535055
301,592.0
302,580.0
303,582.0
304,582.0
305,586.0
306,578.0
307,574.0
