,0
0,552.0
1,554.0
2,570.0
3,610.0
4,554.0629139072847
5,554.0629139072847
6,554.0629139072847
7,554.0629139072847
8,596.0
9,586.0
10,600.0
11,614.0
12,554.0629139072847
13,594.0
14,574.0
15,568.0
16,568.0
17,570.0
18,560.0
19,554.0
20,556.0
21,564.0
22,570.0
23,572.0
24,560.0
25,552.0
26,552.0
27,562.0
28,566.0
29,560.0
30,548.0
31,548.0
32,554.0
33,554.0
34,550.0
35,542.0
36,544.0
37,548.0
38,556.0
39,554.0
40,550.0
41,536.0
42,532.0
43,532.0
44,538.0
45,540.0
46,540.0
47,534.0
48,538.0
49,538.0
50,546.0
51,554.0
52,552.0
53,556.0
54,558.0
55,562.0
56,558.0
57,542.0
58,536.0
59,542.0
60,550.0
61,558.0
62,566.0
63,560.0
64,562.0
65,564.0
66,564.0
67,568.0
68,570.0
69,572.0
70,566.0
71,554.0
72,542.0
73,548.0
74,558.0
75,568.0
76,576.0
77,574.0
78,562.0
79,562.0
80,566.0
81,578.0
82,580.0
83,574.0
84,560.0
85,552.0
86,554.0
87,552.0
88,548.0
89,544.0
90,542.0
91,546.0
92,558.0
93,568.0
94,562.0
95,560.0
96,562.0
97,568.0
98,574.0
99,564.0
100,558.0
101,554.0
102,558.0
103,558.0
104,550.0
105,544.0
106,544.0
107,548.0
108,556.0
109,550.0
110,546.0
111,550.0
112,560.0
113,570.0
114,578.0
115,580.0
116,588.0
117,578.0
118,566.0
119,560.0
120,566.0
121,566.0
122,566.0
123,568.0
124,570.0
125,566.0
126,562.0
127,550.0
128,550.0
129,560.0
130,566.0
131,562.0
132,560.0
133,558.0
134,568.0
135,578.0
136,574.0
137,570.0
138,572.0
139,582.0
140,588.0
141,584.0
142,570.0
143,564.0
144,564.0
145,562.0
146,560.0
147,560.0
148,554.0
149,558.0
150,568.0
151,574.0
152,572.0
153,570.0
154,572.0
155,568.0
156,570.0
157,574.0
158,576.0
159,572.0
160,562.0
161,566.0
162,580.0
163,588.0
164,574.0
165,560.0
166,556.0
167,564.0
168,568.0
169,570.0
170,566.0
171,562.0
172,554.0
173,544.0
174,546.0
175,552.0
176,560.0
177,558.0
178,556.0
179,560.0
180,568.0
181,576.0
182,568.0
183,568.0
184,572.0
185,578.0
186,574.0
187,560.0
188,556.0
189,560.0
190,560.0
191,552.0
192,550.0
193,552.0
194,562.0
195,566.0
196,568.0
197,560.0
198,556.0
199,560.0
200,562.0
201,552.0
202,548.0
203,544.0
204,556.0
205,568.0
206,564.0
207,556.0
208,558.0
209,560.0
210,572.0
211,562.0
212,558.0
213,556.0
214,556.0
215,556.0
216,548.0
217,542.0
218,540.0
219,544.0
220,550.0
221,546.0
222,544.0
223,548.0
224,550.0
225,554.0
226,550.0
227,540.0
228,540.0
229,542.0
230,552.0
231,550.0
232,542.0
233,544.0
234,554.0
235,556.0
236,560.0
237,552.0
238,550.0
239,556.0
240,564.0
241,558.0
242,554.0
243,552.0
244,556.0
245,554.0
246,540.0
247,534.0
248,532.0
249,530.0
250,532.0
251,530.0
252,532.0
253,532.0
254,542.0
255,552.0
256,550.0
257,550.0
258,554.0
259,562.0
260,564.0
261,558.0
262,546.0
263,548.0
264,552.0
265,562.0
266,558.0
267,548.0
268,548.0
269,546.0
270,552.0
271,554.0
272,552.0
273,550.0
274,542.0
275,530.0
276,524.0
277,522.0
278,532.0
279,544.0
280,550.0
281,548.0
282,556.0
283,568.0
284,584.0
285,588.0
286,586.0
287,580.0
288,580.0
289,578.0
290,582.0
291,576.0
292,570.0
293,558.0
294,552.0
295,544.0
296,536.0
297,534.0
298,540.0
299,554.0
300,558.0
301,560.0
302,562.0
303,572.0
304,576.0
305,572.0
306,566.0
307,572.0
308,582.0
309,576.0
310,568.0
311,566.0
312,572.0
313,572.0
314,564.0
315,554.0
316,558.0
317,556.0
318,556.0
319,552.0
320,550.0
321,552.0
322,562.0
323,560.0
324,554.0
325,556.0
326,564.0
327,572.0
328,566.0
329,554.0
330,550.0
331,552.0
332,556.0
333,554.0
334,552.0
335,560.0
336,576.0
337,578.0
338,568.0
339,564.0
340,568.0
341,576.0
342,576.0
343,568.0
344,562.0
345,566.0
346,566.0
347,564.0
348,550.0
349,550.0
350,554.0
351,558.0
352,564.0
353,558.0
354,554.0
355,558.0
356,572.0
357,580.0
358,576.0
359,572.0
360,572.0
361,582.0
362,592.0
363,594.0
364,588.0
365,582.0
366,578.0
367,572.0
368,572.0
369,572.0
370,570.0
371,572.0
372,572.0
373,566.0
374,554.0
375,552.0
376,558.0
377,576.0
378,584.0
379,574.0
380,562.0
381,562.0
382,568.0
383,570.0
384,562.0
385,552.0
386,550.0
387,558.0
388,558.0
389,552.0
390,544.0
391,546.0
392,552.0
393,562.0
394,554.0
395,552.0
396,556.0
397,566.0
398,566.0
399,556.0
400,556.0
401,562.0
402,564.0
403,562.0
404,554.0
405,556.0
406,554.0
407,556.0
408,558.0
409,554.0
410,558.0
411,560.0
412,560.0
413,556.0
414,550.0
415,544.0
416,546.0
417,552.0
418,552.0
419,548.0
420,550.0
421,552.0
422,560.0
423,550.0
424,546.0
425,540.0
426,544.0
427,552.0
428,548.0
429,542.0
430,540.0
431,544.0
432,548.0
433,550.0
434,548.0
435,546.0
436,552.0
437,558.0
438,554.0
439,548.0
440,542.0
441,540.0
442,536.0
443,536.0
444,528.0
445,522.0
446,526.0
447,532.0
448,544.0
449,542.0
450,530.0
451,538.0
452,548.0
453,566.0
454,586.0
455,586.0
456,578.0
457,566.0
458,564.0
459,560.0
460,546.0
461,542.0
462,540.0
463,544.0
464,550.0
465,548.0
466,546.0
467,548.0
468,554.0
469,566.0
470,574.0
471,566.0
472,564.0
473,554.0
474,540.0
475,538.0
476,536.0
477,542.0
478,546.0
479,540.0
480,534.0
481,536.0
482,546.0
483,550.0
484,548.0
485,540.0
486,544.0
487,544.0
488,544.0
489,538.0
490,536.0
491,536.0
492,538.0
493,534.0
494,524.0
495,520.0
496,524.0
497,534.0
498,528.0
499,520.0
500,520.0
501,526.0
502,530.0
503,526.0
504,510.0
505,502.0
506,500.0
507,506.0
508,512.0
509,524.0
510,536.0
511,540.0
512,532.0
513,516.0
514,512.0
515,514.0
516,508.0
517,504.0
518,504.0
519,508.0
520,516.0
521,522.0
522,522.0
523,526.0
524,530.0
525,534.0
526,536.0
527,532.0
528,530.0
529,538.0
530,550.0
531,556.0
532,546.0
533,536.0
534,538.0
535,538.0
536,538.0
537,534.0
538,526.0
539,526.0
540,528.0
541,526.0
542,522.0
543,516.0
544,514.0
545,518.0
546,522.0
547,524.0
548,522.0
549,530.0
550,538.0
551,546.0
552,542.0
553,542.0
554,542.0
555,546.0
556,546.0
557,532.0
558,528.0
559,534.0
560,538.0
561,540.0
562,534.0
563,526.0
564,526.0
565,532.0
566,534.0
567,538.0
568,536.0
569,534.0
570,536.0
571,536.0
572,532.0
573,526.0
574,522.0
575,530.0
576,540.0
577,552.0
578,550.0
579,550.0
580,556.0
581,566.0
582,566.0
583,556.0
584,550.0
585,552.0
586,556.0
587,556.0
588,546.0
589,544.0
590,542.0
591,544.0
592,542.0
593,532.0
594,532.0
595,530.0
596,536.0
597,536.0
598,532.0
599,534.0
600,536.0
601,544.0
602,552.0
603,552.0
