,0
0,870.96
1,870.96
2,946.0
3,952.0
4,966.0
5,924.0
6,852.0
7,910.0
8,968.0
9,908.0
10,884.0
11,904.0
12,898.0
13,854.0
14,872.0
15,940.0
16,900.0
17,840.0
18,892.0
19,876.0
20,802.0
21,854.0
22,868.0
23,820.0
24,860.0
25,910.0
26,860.0
27,904.0
28,952.0
29,878.0
30,936.0
31,920.0
32,862.0
33,894.0
34,930.0
35,864.0
36,934.0
37,926.0
38,882.0
39,920.0
40,916.0
41,886.0
42,960.0
43,916.0
44,922.0
45,944.0
46,896.0
47,904.0
48,884.0
49,866.0
50,900.0
51,850.0
52,870.0
53,902.0
54,848.0
55,884.0
56,912.0
57,866.0
58,888.0
59,930.0
60,854.0
61,886.0
62,920.0
63,866.0
64,868.0
65,906.0
66,858.0
67,838.0
68,906.0
69,866.0
70,838.0
71,900.0
72,884.0
73,848.0
74,906.0
75,882.0
76,826.0
77,848.0
78,840.0
79,810.0
80,858.0
81,888.0
82,832.0
83,858.0
84,896.0
85,840.0
86,902.0
87,888.0
88,844.0
89,892.0
90,892.0
91,830.0
92,876.0
93,866.0
94,798.0
95,842.0
96,862.0
97,824.0
98,858.0
99,908.0
100,856.0
101,866.0
102,882.0
103,802.0
104,814.0
105,820.0
106,764.0
107,788.0
108,840.0
109,782.0
110,834.0
111,868.0
112,826.0
113,810.0
114,880.0
115,824.0
116,818.0
117,882.0
118,814.0
119,798.0
120,858.0
121,858.0
122,802.0
123,876.0
124,824.0
125,798.0
126,872.0
127,860.0
128,804.0
129,830.0
130,888.0
131,848.0
132,830.0
133,884.0
134,826.0
135,810.0
136,818.0
137,826.0
138,778.0
139,794.0
140,880.0
141,828.0
142,834.0
143,896.0
144,802.0
145,848.0
146,864.0
147,794.0
148,836.0
149,882.0
150,842.0
151,900.0
152,920.0
153,842.0
154,866.0
155,920.0
156,846.0
157,866.0
158,928.0
159,876.0
160,906.0
161,904.0
162,860.0
163,886.0
164,954.0
165,882.0
166,902.0
167,978.0
168,966.0
169,972.0
170,948.0
171,900.0
172,926.0
173,892.0
174,842.0
175,868.0
176,840.0
177,818.0
178,884.0
179,896.0
180,874.0
181,938.0
182,880.0
183,864.0
184,910.0
185,864.0
186,838.0
187,890.0
188,886.0
189,854.0
190,902.0
191,850.0
192,814.0
193,888.0
194,832.0
195,804.0
196,874.0
197,860.0
198,840.0
199,920.0
200,912.0
201,850.0
202,880.0
203,840.0
204,826.0
205,900.0
206,866.0
207,886.0
208,874.0
209,862.0
210,878.0
211,862.0
212,870.0
213,858.0
214,816.0
215,850.0
216,824.0
217,832.0
218,898.0
219,858.0
220,844.0
221,896.0
222,854.0
223,764.0
224,774.0
