,0
0,650.0
1,668.0
2,686.0
3,605.7760910815939
4,668.0
5,666.0
6,648.0
7,638.0
8,608.0
9,608.0
10,600.0
11,610.0
12,606.0
13,622.0
14,634.0
15,656.0
16,656.0
17,640.0
18,656.0
19,654.0
20,660.0
21,632.0
22,640.0
23,634.0
24,642.0
25,614.0
26,626.0
27,622.0
28,642.0
29,654.0
30,628.0
31,622.0
32,622.0
33,626.0
34,638.0
35,624.0
36,628.0
37,618.0
38,622.0
39,600.0
40,598.0
41,590.0
42,602.0
43,610.0
44,606.0
45,630.0
46,634.0
47,648.0
48,636.0
49,636.0
50,634.0
51,614.0
52,606.0
53,606.0
54,612.0
55,614.0
56,606.0
57,618.0
58,620.0
59,642.0
60,638.0
61,614.0
62,606.0
63,598.0
64,598.0
65,604.0
66,596.0
67,568.0
68,560.0
69,556.0
70,560.0
71,580.0
72,582.0
73,596.0
74,610.0
75,630.0
76,656.0
77,636.0
78,620.0
79,618.0
80,602.0
81,608.0
82,584.0
83,582.0
84,572.0
85,584.0
86,602.0
87,590.0
88,612.0
89,616.0
90,624.0
91,608.0
92,608.0
93,602.0
94,600.0
95,578.0
96,586.0
97,580.0
98,588.0
99,584.0
100,604.0
101,618.0
102,648.0
103,632.0
104,646.0
105,640.0
106,642.0
107,612.0
108,620.0
109,614.0
110,610.0
111,594.0
112,600.0
113,606.0
114,628.0
115,610.0
116,632.0
117,638.0
118,662.0
119,632.0
120,646.0
121,644.0
122,650.0
123,628.0
124,620.0
125,602.0
126,604.0
127,586.0
128,594.0
129,582.0
130,562.0
131,558.0
132,570.0
133,566.0
134,590.0
135,600.0
136,616.0
137,592.0
138,602.0
139,588.0
140,590.0
141,574.0
142,590.0
143,586.0
144,598.0
145,586.0
146,598.0
147,600.0
148,618.0
149,606.0
150,608.0
151,606.0
152,616.0
153,608.0
154,600.0
155,612.0
156,604.0
157,618.0
158,600.0
159,594.0
160,594.0
161,602.0
162,626.0
163,620.0
164,614.0
165,620.0
166,628.0
167,636.0
168,616.0
169,620.0
170,604.0
171,610.0
172,598.0
173,598.0
174,602.0
175,618.0
176,636.0
177,620.0
178,638.0
179,634.0
180,648.0
181,628.0
182,638.0
183,640.0
184,648.0
185,632.0
186,656.0
187,658.0
188,672.0
189,642.0
190,654.0
191,644.0
192,660.0
193,640.0
194,630.0
195,612.0
196,624.0
197,646.0
198,664.0
199,642.0
200,640.0
201,632.0
202,628.0
203,628.0
204,608.0
205,610.0
206,596.0
207,598.0
208,606.0
209,604.0
210,612.0
211,628.0
212,644.0
213,658.0
214,634.0
215,642.0
216,630.0
217,630.0
218,640.0
219,630.0
220,622.0
221,620.0
222,618.0
223,632.0
224,632.0
225,626.0
226,620.0
227,620.0
228,628.0
229,616.0
230,616.0
231,608.0
232,610.0
233,590.0
234,592.0
235,578.0
236,582.0
237,572.0
238,576.0
239,562.0
240,568.0
241,574.0
242,562.0
243,556.0
244,552.0
245,566.0
246,566.0
247,568.0
248,572.0
249,572.0
250,566.0
251,554.0
252,556.0
253,554.0
254,558.0
255,548.0
256,554.0
257,544.0
258,550.0
259,556.0
260,550.0
261,554.0
262,554.0
263,562.0
264,554.0
265,562.0
266,556.0
267,566.0
268,556.0
269,564.0
270,556.0
271,558.0
272,548.0
273,552.0
274,546.0
275,554.0
276,560.0
277,556.0
278,566.0
279,572.0
280,590.0
281,580.0
282,590.0
283,578.0
