,0
0,640.0
1,634.0
2,630.0
3,608.0
4,622.0
5,634.0
6,648.0
7,660.0
8,640.0
9,660.0
10,672.0
11,688.0
12,700.0
13,686.0
14,686.0
15,694.0
16,700.0
17,700.0
18,680.0
19,704.0
20,706.0
21,698.0
22,680.0
23,706.0
24,696.0
25,708.0
26,722.0
27,708.0
28,698.0
29,724.0
30,718.0
31,680.0
32,712.0
33,682.0
34,648.0
35,628.0
36,592.0
37,588.0
38,592.0
39,614.0
40,638.0
41,632.0
42,652.0
43,672.0
44,692.0
45,662.0
46,684.0
47,654.0
48,646.0
49,630.0
50,614.0
51,600.0
52,618.0
53,652.0
54,688.0
55,674.0
56,678.0
57,690.0
58,698.0
59,680.0
60,706.0
61,706.0
62,672.0
63,652.0
64,656.0
65,678.0
66,672.0
67,674.0
68,706.0
69,720.0
70,672.0
71,712.0
72,716.0
73,668.0
74,692.0
75,694.0
76,654.0
77,682.0
78,676.0
79,664.0
80,694.0
81,688.0
82,660.0
83,688.0
84,682.0
85,648.0
86,678.0
87,686.0
88,658.0
89,690.0
90,688.0
91,656.0
92,696.0
93,716.0
94,682.0
95,722.0
96,726.0
97,680.0
98,702.0
99,696.0
100,674.0
101,690.0
102,700.0
103,678.0
104,706.0
105,700.0
106,702.0
107,726.0
108,712.0
109,670.0
110,714.0
111,724.0
112,690.0
113,728.0
114,726.0
115,676.0
116,708.0
117,724.0
118,678.0
119,718.0
120,730.0
121,692.0
122,738.0
123,728.0
124,696.0
125,676.0
126,628.0
127,632.0
128,638.0
129,666.0
130,640.0
131,666.0
132,684.0
133,672.0
134,638.0
135,670.0
136,692.0
137,684.0
138,720.0
139,736.0
140,688.0
141,728.0
142,736.0
143,678.0
144,724.0
145,728.0
146,682.0
147,724.0
148,732.0
149,708.0
150,732.0
151,726.0
152,704.0
153,728.0
154,710.0
155,678.0
156,704.0
157,712.0
158,688.0
159,730.0
160,738.0
161,722.0
162,700.0
163,660.0
164,676.0
165,694.0
166,656.0
167,696.0
168,720.0
169,680.0
170,726.0
171,722.0
172,694.0
173,712.0
174,646.0
175,624.0
176,616.0
177,624.0
178,632.0
179,678.0
180,718.0
181,678.0
182,702.0
183,704.0
184,670.0
185,686.0
186,698.0
187,682.0
188,664.0
189,692.0
190,694.0
191,684.0
192,716.0
193,730.0
194,706.0
195,740.0
196,690.0
197,720.0
198,720.0
199,672.0
200,714.0
201,726.0
202,678.0
203,722.0
204,722.0
205,690.0
206,730.0
207,732.0
208,698.0
209,718.0
210,720.0
211,684.0
212,650.0
213,642.0
214,640.0
215,672.0
216,682.0
217,636.0
218,636.0
219,658.0
220,676.0
221,642.0
222,678.0
223,698.0
224,730.0
225,684.0
226,616.0
227,686.0258620689655
228,604.0
229,594.0
230,628.0
231,678.0
232,712.0
233,706.0
234,642.0
235,636.0
236,628.0
237,640.0
238,670.0
239,700.0
240,678.0
241,712.0
242,728.0
243,726.0
244,724.0
245,756.0
246,764.0
247,720.0
248,744.0
249,744.0
250,718.0
251,740.0
252,744.0
253,740.0
254,708.0
255,728.0
256,724.0
257,702.0
258,732.0
259,732.0
260,704.0
261,746.0
262,738.0
263,714.0
264,720.0
265,690.0
266,668.0
267,678.0
268,676.0
269,648.0
270,682.0
271,712.0
272,670.0
273,716.0
274,722.0
275,660.0
276,696.0
277,714.0
278,668.0
279,698.0
280,698.0
281,668.0
282,670.0
283,678.0
284,670.0
285,678.0
286,688.0
287,666.0
288,672.0
289,704.0
290,724.0
291,722.0
292,674.0
293,698.0
294,690.0
295,654.0
296,676.0
297,678.0
298,658.0
299,700.0
300,712.0
301,684.0
302,706.0
303,718.0
304,680.0
305,686.0
306,706.0
307,682.0
308,668.0
309,666.0
310,688.0
311,698.0
312,754.0
313,736.0
314,702.0
315,722.0
316,710.0
317,654.0
318,628.0
319,598.0
320,600.0
321,616.0
322,652.0
323,632.0
324,674.0
325,696.0
326,690.0
327,694.0
328,718.0
329,694.0
330,674.0
331,684.0
332,676.0
333,646.0
334,676.0
335,696.0
336,662.0
337,704.0
338,728.0
339,700.0
340,728.0
341,712.0
342,666.0
343,688.0
344,700.0
345,652.0
346,672.0
347,678.0
348,642.0
349,686.0
350,702.0
351,676.0
352,714.0
353,720.0
354,702.0
355,708.0
356,716.0
357,686.0
358,660.0
359,670.0
360,652.0
361,666.0
362,688.0
363,722.0
364,694.0
365,732.0
366,730.0
367,686.0
368,716.0
369,724.0
370,678.0
371,706.0
372,710.0
373,668.0
374,708.0
375,722.0
376,692.0
377,722.0
378,734.0
379,700.0
380,646.0
381,602.0
382,606.0
383,602.0
384,618.0
385,650.0
386,678.0
387,688.0
388,642.0
389,652.0
390,660.0
391,656.0
392,638.0
393,662.0
394,684.0
395,670.0
396,712.0
397,728.0
398,700.0
399,732.0
400,730.0
401,694.0
402,712.0
403,712.0
404,682.0
405,714.0
406,720.0
407,692.0
408,710.0
409,702.0
410,672.0
411,686.0
412,704.0
413,674.0
414,702.0
415,706.0
416,686.0
417,712.0
418,720.0
419,690.0
420,706.0
421,678.0
422,662.0
423,680.0
424,692.0
425,702.0
426,712.0
427,694.0
428,724.0
429,726.0
430,706.0
431,714.0
432,704.0
433,710.0
434,722.0
435,704.0
436,700.0
437,712.0
438,714.0
439,678.0
440,688.0
441,688.0
442,660.0
443,688.0
444,692.0
445,660.0
446,690.0
447,686.0
448,652.0
449,676.0
450,672.0
451,636.0
452,650.0
453,664.0
454,622.0
455,610.0
456,630.0
457,674.0
458,670.0
459,652.0
460,684.0
461,708.0
462,672.0
463,680.0
