,0
0,650.0
1,674.0
2,635.2687747035573
3,635.2687747035573
4,674.0
5,686.0
6,704.0
7,694.0
8,650.0
9,672.0
10,696.0
11,694.0
12,668.0
13,700.0
14,708.0
15,688.0
16,666.0
17,635.2687747035573
18,635.2687747035573
19,670.0
20,692.0
21,635.2687747035573
22,672.0
23,650.0
24,678.0
25,684.0
26,644.0
27,658.0
28,698.0
29,668.0
30,662.0
31,690.0
32,662.0
33,644.0
34,662.0
35,700.0
36,648.0
37,648.0
38,676.0
39,694.0
40,644.0
41,650.0
42,668.0
43,678.0
44,632.0
45,640.0
46,678.0
47,662.0
48,634.0
49,666.0
50,706.0
51,666.0
52,654.0
53,668.0
54,632.0
55,628.0
56,652.0
57,648.0
58,626.0
59,646.0
60,684.0
61,678.0
62,642.0
63,672.0
64,686.0
65,634.0
66,658.0
67,650.0
68,614.0
69,618.0
70,620.0
71,612.0
72,606.0
73,642.0
74,662.0
75,618.0
76,642.0
77,682.0
78,636.0
79,634.0
80,654.0
81,644.0
82,642.0
83,650.0
84,646.0
85,612.0
86,636.0
87,660.0
88,620.0
89,638.0
90,658.0
91,626.0
92,640.0
93,656.0
94,622.0
95,630.0
96,642.0
97,612.0
98,610.0
99,628.0
100,618.0
101,604.0
102,626.0
103,622.0
104,596.0
105,612.0
106,630.0
107,620.0
108,616.0
109,654.0
110,654.0
111,606.0
112,612.0
113,618.0
114,590.0
115,598.0
116,610.0
117,600.0
118,608.0
119,636.0
120,670.0
121,622.0
122,642.0
123,664.0
124,626.0
125,616.0
126,632.0
127,642.0
128,614.0
129,624.0
130,646.0
131,618.0
132,628.0
133,640.0
134,612.0
135,612.0
136,624.0
137,650.0
138,618.0
139,618.0
140,634.0
141,688.0
142,638.0
143,648.0
144,670.0
145,652.0
146,624.0
147,642.0
148,660.0
149,624.0
150,632.0
151,654.0
152,646.0
153,626.0
154,642.0
155,648.0
156,620.0
157,638.0
158,660.0
159,632.0
160,622.0
161,638.0
162,630.0
163,602.0
164,612.0
165,626.0
166,618.0
167,604.0
168,614.0
169,646.0
170,658.0
171,630.0
172,658.0
173,690.0
174,656.0
175,632.0
176,646.0
177,636.0
178,616.0
179,646.0
180,660.0
181,624.0
182,628.0
183,646.0
184,634.0
185,610.0
186,616.0
187,618.0
188,602.0
189,616.0
190,646.0
191,636.0
192,618.0
193,622.0
194,636.0
195,614.0
196,606.0
197,620.0
198,628.0
199,600.0
200,606.0
201,616.0
202,622.0
203,606.0
204,606.0
205,620.0
206,658.0
207,626.0
208,644.0
209,670.0
210,670.0
211,646.0
212,686.0
213,694.0
214,632.0
215,656.0
216,662.0
217,632.0
218,642.0
219,658.0
220,650.0
221,642.0
222,670.0
223,664.0
224,630.0
225,650.0
226,656.0
227,624.0
228,644.0
229,656.0
230,632.0
231,636.0
232,664.0
233,634.0
234,624.0
235,642.0
236,648.0
237,618.0
238,646.0
239,658.0
240,620.0
241,626.0
242,642.0
243,612.0
244,618.0
245,626.0
246,612.0
247,606.0
248,620.0
249,608.0
250,592.0
251,610.0
252,618.0
253,600.0
