,0
0,628.0
1,610.0
2,612.0
3,620.0
4,630.0
5,610.0
6,620.0
7,632.0
8,648.0
9,622.0
10,636.0
11,650.0
12,619.624772313297
13,666.0
14,648.0
15,658.0
16,672.0
17,656.0
18,622.0
19,630.0
20,634.0
21,640.0
22,678.0
23,684.0
24,648.0
25,670.0
26,619.624772313297
27,619.624772313297
28,646.0
29,658.0
30,648.0
31,612.0
32,598.0
33,596.0
34,608.0
35,612.0
36,630.0
37,682.0
38,619.624772313297
39,656.0
40,688.0
41,619.624772313297
42,664.0
43,652.0
44,658.0
45,632.0
46,628.0
47,650.0
48,652.0
49,618.0
50,626.0
51,628.0
52,616.0
53,630.0
54,648.0
55,644.0
56,620.0
57,644.0
58,650.0
59,614.0
60,628.0
61,646.0
62,616.0
63,614.0
64,626.0
65,618.0
66,592.0
67,604.0
68,620.0
69,620.0
70,608.0
71,634.0
72,632.0
73,612.0
74,618.0
75,624.0
76,614.0
77,606.0
78,612.0
79,620.0
80,602.0
81,614.0
82,624.0
83,606.0
84,614.0
85,622.0
86,612.0
87,604.0
88,610.0
89,614.0
90,594.0
91,606.0
92,622.0
93,610.0
94,610.0
95,628.0
96,630.0
97,598.0
98,614.0
99,632.0
100,610.0
101,634.0
102,658.0
103,636.0
104,650.0
105,656.0
106,610.0
107,624.0
108,622.0
109,594.0
110,600.0
111,606.0
112,594.0
113,612.0
114,650.0
115,614.0
116,616.0
117,628.0
118,612.0
119,610.0
120,638.0
121,614.0
122,612.0
123,630.0
124,606.0
125,604.0
126,612.0
127,596.0
128,600.0
129,624.0
130,612.0
131,596.0
132,618.0
133,620.0
134,598.0
135,614.0
136,624.0
137,604.0
138,610.0
139,622.0
140,596.0
141,612.0
142,626.0
143,620.0
144,618.0
145,632.0
146,620.0
147,606.0
148,620.0
149,618.0
150,598.0
151,618.0
152,640.0
153,610.0
154,640.0
155,646.0
156,610.0
157,616.0
158,634.0
159,610.0
160,608.0
161,618.0
162,632.0
163,610.0
164,632.0
165,636.0
166,598.0
167,608.0
168,614.0
169,590.0
170,598.0
171,628.0
172,644.0
173,612.0
174,636.0
175,670.0
176,654.0
177,620.0
178,638.0
179,632.0
180,602.0
181,622.0
182,626.0
183,602.0
184,608.0
185,612.0
186,600.0
187,600.0
188,630.0
189,614.0
190,594.0
191,598.0
192,610.0
193,590.0
194,602.0
195,630.0
196,628.0
197,630.0
198,654.0
199,648.0
200,612.0
201,616.0
202,606.0
203,578.0
204,592.0
205,602.0
206,592.0
207,604.0
208,614.0
209,604.0
210,620.0
211,646.0
212,626.0
213,622.0
214,628.0
215,604.0
216,592.0
217,600.0
218,610.0
219,588.0
220,600.0
221,606.0
222,594.0
223,604.0
224,630.0
225,630.0
226,600.0
227,612.0
228,636.0
229,590.0
230,598.0
231,606.0
232,610.0
233,596.0
234,630.0
235,648.0
236,602.0
237,604.0
238,626.0
239,588.0
240,584.0
241,598.0
242,608.0
243,586.0
244,598.0
245,612.0
246,594.0
247,602.0
248,616.0
249,610.0
250,600.0
251,612.0
252,618.0
253,596.0
254,620.0
255,636.0
256,602.0
257,608.0
258,612.0
259,588.0
260,596.0
261,602.0
262,588.0
263,600.0
264,614.0
265,590.0
266,610.0
267,618.0
268,594.0
269,608.0
270,612.0
271,588.0
272,588.0
273,606.0
274,606.0
275,602.0
276,620.0
