,0
0,818.0
1,814.0
2,878.0
3,872.0
4,812.0
5,788.0
6,814.0
7,878.0
8,874.0
9,830.0
10,900.0
11,864.0
12,812.0
13,844.0
14,852.0
15,854.0
16,794.0
17,816.0
18,880.0
19,870.0
20,836.0
21,830.0
22,870.0
23,876.0
24,804.0
25,798.0
26,848.0
27,820.0
28,810.0
29,854.0
30,866.0
31,844.0
32,810.0
33,866.0
34,864.0
35,820.0
36,828.0
37,840.0
38,826.0
39,766.0
40,832.0
41,832.0
42,824.0
43,794.0
44,850.0
45,862.0
46,826.0
47,804.0
48,846.0
49,852.0
50,800.0
51,790.0
52,844.0
53,856.0
54,814.0
55,784.0
56,852.0
57,860.0
58,848.0
59,784.0
60,806.0
61,832.0
62,834.0
63,802.0
64,814.0
65,870.0
66,870.0
67,814.0
68,798.0
69,828.0
70,844.0
71,822.0
72,800.0
73,846.0
74,864.0
75,852.0
76,796.0
77,838.0
78,844.0
79,822.0
80,786.0
81,816.0
82,830.0
83,826.0
84,778.0
85,800.0
86,812.0
87,808.0
88,766.0
89,764.0
90,800.0
91,800.0
92,772.0
93,758.0
94,814.0
95,820.0
96,780.0
97,750.0
98,796.0
99,804.0
100,772.0
101,734.0
102,784.0
103,784.0
104,804.0
105,762.0
106,740.0
107,814.0
108,816.0
109,784.0
110,768.0
111,816.0
112,832.0
113,784.0
114,772.0
115,824.0
116,818.0
117,806.0
118,764.0
119,824.0
120,828.0
121,782.0
122,766.0
123,796.0
124,810.0
125,778.0
126,784.0
127,810.0
128,814.0
129,758.0
130,746.0
131,806.0
132,806.0
133,770.0
134,754.0
135,818.0
136,822.0
137,800.0
138,788.0
139,820.0
140,824.0
141,782.0
142,760.0
143,776.0
144,776.0
145,748.0
146,736.0
147,784.0
148,804.0
149,790.0
150,750.0
151,792.0
152,814.0
153,812.0
154,756.0
155,818.0
156,830.0
157,802.0
158,752.0
159,800.0
160,786.0
161,764.0
162,730.0
163,816.0
164,832.0
165,852.0
166,800.0
167,860.0
168,876.0
169,820.0
170,814.0
171,854.0
172,828.0
173,752.0
174,790.0
175,806.0
176,782.0
177,764.0
178,826.0
179,828.0
180,788.0
181,822.0
182,840.0
183,818.0
184,770.0
185,820.0
186,842.0
187,824.0
188,802.0
189,866.0
190,848.0
191,792.0
192,838.0
193,850.0
194,828.0
195,780.0
196,820.0
197,830.0
198,822.0
199,780.0
200,836.0
201,856.0
202,814.0
203,838.0
204,854.0
205,838.0
206,796.0
207,854.0
208,874.0
209,806.0
210,848.0
211,850.0
212,832.0
213,768.0
214,834.0
215,828.0
216,832.0
217,790.0
218,834.0
219,836.0
220,822.0
221,760.0
222,794.0
223,814.0
224,846.0
225,794.0
226,802.0
227,866.0
228,884.0
229,832.0
230,850.0
231,882.0
232,876.0
233,808.0
234,796.0
235,860.0
236,834.0
237,794.0
238,770.0
239,848.0
240,850.0
241,804.0
242,846.0
243,874.0
244,882.0
245,818.0
246,864.0
247,878.0
248,870.0
249,826.0
250,788.0
251,852.0
252,880.0
253,882.0
254,854.0
255,920.0
256,916.0
257,846.0
258,824.0
259,866.0
260,846.0
261,788.0
262,808.0
263,844.0
264,858.0
265,830.0
266,916.0
267,924.0
268,864.0
269,890.0
270,920.0
271,874.0
272,836.0
273,858.0
274,874.0
275,824.0
276,848.0
277,872.0
278,844.0
279,834.0
280,888.0
281,880.0
282,834.0
283,878.0
284,868.0
285,806.0
286,816.0
287,846.0
288,820.0
289,796.0
290,842.0
291,870.0
292,814.0
293,866.0
294,888.0
295,866.0
296,818.0
297,848.0
298,856.0
299,814.0
300,862.0
301,876.0
302,866.0
303,798.0
304,836.0
305,834.0
306,800.0
307,748.0
308,798.0
309,794.0
310,772.0
311,750.0
312,832.0
313,844.0
314,796.0
315,822.0
316,848.0
317,804.0
318,750.0
319,782.0
320,782.0
321,762.0
322,710.0
323,748.0
324,770.0
325,788.0
326,772.0
327,788.0
328,826.0
329,826.0
330,768.0
331,832.0
332,812.0
333,746.0
334,726.0
335,766.0
336,768.0
337,734.0
338,730.0
339,788.0
340,796.0
341,774.0
342,778.0
343,828.0
344,820.0
345,774.0
346,812.0
347,828.0
348,814.0
349,770.0
350,814.0
351,798.0
352,742.0
353,784.0
354,792.0
355,756.0
356,736.0
357,800.0
358,802.0
359,774.0
360,776.0
361,776.0
362,754.0
363,720.0
364,792.0
365,782.0
366,740.0
367,752.0
368,810.0
369,796.0
370,766.0
371,802.0
372,814.0
373,752.0
374,740.0
375,768.0
376,774.0
377,722.0
378,740.0
379,770.0
380,766.0
381,716.0
382,770.0
