,0
0,926.0
1,872.0
2,870.0
3,896.0
4,944.0
5,944.0
6,822.0
7,816.0
8,912.0
9,924.0
10,910.0
11,888.0
12,788.0
13,758.0
14,830.0
15,922.0
16,934.0
17,892.0
18,976.0
19,1006.0
20,960.0
21,920.0
22,958.0
23,948.0
24,864.0
25,904.0
26,978.0
27,926.0
28,922.0
29,962.0
30,978.0
31,890.0
32,910.0
33,924.0
34,916.0
35,838.0
36,918.0
37,976.0
38,924.0
39,940.0
40,980.0
41,906.0
42,888.0
43,898.0
44,880.0
45,878.0
46,916.0
47,966.0
48,906.0
49,908.0
50,966.0
51,956.0
52,904.0
53,926.0
54,968.0
55,934.0
56,906.0
57,958.0
58,1002.0
59,936.0
60,960.0
61,972.0
62,910.0
63,914.0
64,950.0
65,928.0
66,854.0
67,878.0
68,894.0
69,872.0
70,856.0
71,894.0
72,934.0
73,856.0
74,870.0
75,904.0
76,886.0
77,850.0
78,876.0
79,940.0
80,906.0
81,874.0
82,908.0
83,912.0
84,872.0
85,884.0
86,926.0
87,896.0
88,908.0
89,926.0
90,930.0
91,852.0
92,870.0
93,902.0
94,852.0
95,824.0
96,838.0
97,900.0
98,870.0
99,868.0
100,914.0
101,922.0
102,878.0
103,892.0
104,918.0
105,890.0
106,866.0
107,888.0
108,888.0
109,846.0
110,876.0
111,890.0
112,878.0
113,886.0
114,932.0
115,936.0
116,874.0
117,870.0
118,908.0
119,818.0
120,816.0
121,852.0
122,912.0
123,866.0
124,868.0
125,936.0
126,942.0
127,826.0
128,840.0
129,852.0
130,828.0
131,788.0
132,828.0
133,920.0
134,868.0
135,834.0
136,900.0
137,900.0
138,856.0
139,870.0
140,906.0
141,858.0
142,832.0
143,866.0
144,860.0
145,856.0
146,882.0
147,908.0
148,876.0
149,876.0
150,898.0
151,856.0
152,850.0
153,892.0
154,902.0
155,838.0
156,878.0
157,898.0
158,840.0
159,856.0
160,904.0
161,860.0
162,804.0
163,848.0
164,898.0
165,830.0
166,834.0
167,878.0
168,860.0
169,870.0
170,906.0
171,878.0
172,864.0
173,876.0
174,864.0
175,806.0
176,850.0
177,898.0
178,842.0
179,806.0
180,860.0
181,882.0
182,840.0
183,800.0
184,838.0
185,856.0
186,798.0
187,828.0
188,876.0
189,838.0
190,812.0
191,828.0
192,850.0
193,784.0
194,818.0
195,828.0
196,842.0
197,816.0
198,832.0
199,828.0
200,772.0
201,808.0
202,844.0
203,844.0
204,822.0
205,834.0
206,812.0
207,756.0
208,768.0
209,786.0
210,810.0
211,810.0
212,836.0
213,828.0
214,814.0
215,812.0
216,840.0
217,838.0
218,800.0
219,814.0
220,854.0
221,840.0
222,812.0
223,844.0
224,876.0
225,778.0
226,792.0
