,0
0,816.0
1,730.6837209302325
2,730.6837209302325
3,842.0
4,762.0
5,780.0
6,840.0
7,848.0
8,800.0
9,758.0
10,822.0
11,730.6837209302325
12,730.6837209302325
13,768.0
14,752.0
15,770.0
16,804.0
17,728.0
18,756.0
19,794.0
20,792.0
21,718.0
22,754.0
23,774.0
24,764.0
25,702.0
26,708.0
27,750.0
28,752.0
29,704.0
30,746.0
31,788.0
32,822.0
33,758.0
34,736.0
35,778.0
36,768.0
37,750.0
38,696.0
39,708.0
40,740.0
41,752.0
42,710.0
43,756.0
44,788.0
45,806.0
46,742.0
47,714.0
48,732.0
49,750.0
50,724.0
51,684.0
52,694.0
53,724.0
54,766.0
55,738.0
56,714.0
57,736.0
58,754.0
59,712.0
60,688.0
61,696.0
62,692.0
63,654.0
64,654.0
65,662.0
66,658.0
67,670.0
68,688.0
69,704.0
70,676.0
71,682.0
72,706.0
73,734.0
74,686.0
75,686.0
76,704.0
77,742.0
78,688.0
79,698.0
80,732.0
81,758.0
82,708.0
83,694.0
84,704.0
85,726.0
86,738.0
87,690.0
88,706.0
89,726.0
90,714.0
91,672.0
92,688.0
93,704.0
94,728.0
95,672.0
96,674.0
97,686.0
98,730.0
99,754.0
100,710.0
101,734.0
102,754.0
103,676.0
104,660.0
105,652.0
106,630.0
107,620.0
108,622.0
109,654.0
110,670.0
111,644.0
112,654.0
113,700.0
114,752.0
115,780.0
116,706.0
117,728.0
118,762.0
119,782.0
120,732.0
121,774.0
122,800.0
123,796.0
124,718.0
125,736.0
126,772.0
127,770.0
128,706.0
129,730.0
130,762.0
131,796.0
132,774.0
133,716.0
134,734.0
135,764.0
136,786.0
137,732.0
138,718.0
139,748.0
140,766.0
141,720.0
142,696.0
143,704.0
144,712.0
145,698.0
146,650.0
147,650.0
148,666.0
149,690.0
150,674.0
151,682.0
152,710.0
153,734.0
154,684.0
155,706.0
156,742.0
157,714.0
158,668.0
159,674.0
160,676.0
161,654.0
162,652.0
163,684.0
164,714.0
165,758.0
166,718.0
167,704.0
168,734.0
169,748.0
170,734.0
171,704.0
172,714.0
173,742.0
174,736.0
175,686.0
176,700.0
177,728.0
178,756.0
179,706.0
180,750.0
181,758.0
182,742.0
183,696.0
184,706.0
185,706.0
186,660.0
187,654.0
188,670.0
189,720.0
190,744.0
191,690.0
192,726.0
193,766.0
194,790.0
195,738.0
196,712.0
197,712.0
198,718.0
199,738.0
200,698.0
201,716.0
202,744.0
203,784.0
204,722.0
205,720.0
206,736.0
207,764.0
208,704.0
209,702.0
210,722.0
211,740.0
212,708.0
213,720.0
214,744.0
215,768.0
216,706.0
217,702.0
218,710.0
219,726.0
220,710.0
221,692.0
222,720.0
223,776.0
224,788.0
225,726.0
226,728.0
227,760.0
228,778.0
229,800.0
230,728.0
231,700.0
232,726.0
233,768.0
234,786.0
235,728.0
236,754.0
237,778.0
238,784.0
239,710.0
240,690.0
241,688.0
242,718.0
243,694.0
244,704.0
245,732.0
246,744.0
247,696.0
248,726.0
249,742.0
250,728.0
251,680.0
252,708.0
253,722.0
254,750.0
255,694.0
256,712.0
257,722.0
258,732.0
259,692.0
260,672.0
261,692.0
262,722.0
263,750.0
264,690.0
265,686.0
266,726.0
267,756.0
268,730.0
269,712.0
270,766.0
271,814.0
272,778.0
273,716.0
274,746.0
275,782.0
276,734.0
277,694.0
278,714.0
279,740.0
280,784.0
281,778.0
282,716.0
283,738.0
284,782.0
285,804.0
286,738.0
287,726.0
288,764.0
289,794.0
290,818.0
291,750.0
292,726.0
293,748.0
294,770.0
295,744.0
296,698.0
297,730.0
298,764.0
299,806.0
300,740.0
301,760.0
302,792.0
303,790.0
304,712.0
305,720.0
306,748.0
307,760.0
308,706.0
309,700.0
310,724.0
311,740.0
312,714.0
313,676.0
314,682.0
315,702.0
316,666.0
317,638.0
318,652.0
319,652.0
320,622.0
321,634.0
322,648.0
323,662.0
324,694.0
325,666.0
326,682.0
327,712.0
328,738.0
329,688.0
330,674.0
331,694.0
332,724.0
333,696.0
334,664.0
335,690.0
336,712.0
337,738.0
338,678.0
339,682.0
340,708.0
341,726.0
342,704.0
343,686.0
344,704.0
345,732.0
346,736.0
347,686.0
348,696.0
349,708.0
350,746.0
351,708.0
352,664.0
353,648.0
354,644.0
355,652.0
356,714.0
357,768.0
358,728.0
359,680.0
360,700.0
361,758.0
362,820.0
363,866.0
364,802.0
365,764.0
366,796.0
367,822.0
368,824.0
369,728.0
370,726.0
371,740.0
372,786.0
373,716.0
374,736.0
375,776.0
376,830.0
377,836.0
378,752.0
379,782.0
380,792.0
381,778.0
382,718.0
383,742.0
384,780.0
385,804.0
386,746.0
387,776.0
388,798.0
389,722.0
390,706.0
391,700.0
392,728.0
393,776.0
394,724.0
395,742.0
396,760.0
397,798.0
398,742.0
399,718.0
400,746.0
401,796.0
402,818.0
403,750.0
404,760.0
405,770.0
406,752.0
407,716.0
408,696.0
409,714.0
410,766.0
411,820.0
412,728.0
413,748.0
414,780.0
415,798.0
416,728.0
417,710.0
418,736.0
419,764.0
420,740.0
421,724.0
422,770.0
423,810.0
424,778.0
425,712.0
426,728.0
427,756.0
428,760.0
429,742.0
