,0
0,902.0
1,924.0
2,912.0
3,894.0
4,866.0
5,868.0
6,898.0
7,908.0
8,872.0
9,922.0
10,912.0
11,826.0
12,786.0
13,778.0
14,738.0
15,692.0
16,686.0
17,716.0
18,768.0
19,812.0
20,842.0
21,848.0
22,792.0
23,822.0
24,828.0
25,842.0
26,844.0
27,862.0
28,834.0
29,834.0
30,834.0
31,838.0
32,852.0
33,900.0
34,868.0
35,908.0
36,918.0
37,904.0
38,862.0
39,888.0
40,890.0
41,862.0
42,890.0
43,906.0
44,846.0
45,844.0
46,866.0
47,886.0
48,860.0
49,888.0
50,898.0
51,866.0
52,848.0
53,880.0
54,910.0
55,872.0
56,872.0
57,892.0
58,910.0
59,870.0
60,896.0
61,912.0
62,848.0
63,876.0
64,910.0
65,878.0
66,892.0
67,902.0
68,848.0
69,868.0
70,884.0
71,864.0
72,912.0
73,914.0
74,864.0
75,908.0
76,900.0
77,876.0
78,850.0
79,872.0
80,894.0
81,840.0
82,852.0
83,872.0
84,880.0
85,874.0
86,906.0
87,932.0
88,884.0
89,912.0
90,920.0
91,916.0
92,894.0
93,884.0
94,840.0
95,844.0
96,866.0
97,878.0
98,852.0
99,894.0
100,914.0
101,898.0
102,858.0
103,892.0
104,900.0
105,878.0
106,890.0
107,882.0
108,872.0
109,898.0
110,858.0
111,830.0
112,874.0
113,888.0
114,856.0
115,818.0
116,852.0
117,866.0
118,836.0
119,856.0
120,886.0
121,902.0
122,854.0
123,894.0
124,898.0
125,882.0
126,870.0
127,862.0
128,816.0
129,846.0
130,854.0
131,854.0
132,862.0
133,876.0
134,838.0
135,872.0
136,850.0
137,878.0
138,892.0
139,846.0
140,886.0
141,870.0
142,838.0
143,864.0
144,832.0
145,822.0
146,856.0
147,858.0
148,840.0
149,874.0
150,846.0
151,866.0
152,822.0
153,790.0
154,818.0
155,834.0
156,816.0
157,864.0
158,876.0
159,840.0
160,862.0
161,820.0
162,836.0
163,846.0
164,812.0
165,856.0
166,844.0
167,858.0
168,892.0
169,866.0
170,862.0
171,888.0
172,868.0
173,850.0
174,884.0
175,842.0
176,868.0
177,868.0
178,838.0
179,876.0
180,872.0
181,870.0
182,896.0
183,862.0
184,898.0
185,886.0
186,864.0
187,888.0
188,840.0
189,820.0
190,844.0
191,844.0
192,808.0
193,826.0
194,848.0
195,860.0
196,886.0
197,912.0
198,888.0
199,902.0
200,876.0
201,812.0
202,842.0
203,856.0
204,836.0
205,854.0
206,868.0
207,834.0
208,840.0
209,862.0
210,860.0
211,852.0
212,842.0
213,800.0
214,776.0
215,802.0
216,860.0
217,834.0
218,900.0
219,904.0
220,876.0
221,904.0
222,876.0
223,818.0
224,864.0
225,870.0
226,858.0
227,870.0
228,876.0
229,824.0
230,870.0
231,872.0
232,820.0
233,886.0
234,898.0
235,882.0
236,912.0
237,868.0
238,872.0
239,890.0
240,878.0
241,888.0
242,930.0
243,894.0
244,892.0
245,880.0
246,850.0
247,880.0
248,872.0
249,880.0
250,884.0
251,832.0
252,862.0
253,834.0
254,864.0
255,862.0
256,804.0
257,864.0
258,882.0
259,838.0
260,860.0
261,832.0
262,796.0
263,840.0
264,870.0
265,828.0
266,872.0
267,886.0
268,850.0
269,868.0
270,830.0
271,844.0
272,852.0
273,838.0
274,888.0
275,854.0
276,882.0
277,870.0
278,856.0
279,880.0
280,840.0
281,806.0
282,816.0
283,824.0
284,778.0
285,800.0
286,794.0
287,732.0
288,684.0
289,690.0
290,698.0
291,742.0
292,800.0
293,778.0
294,762.0
295,778.0
296,794.0
297,800.0
298,768.0
299,804.0
300,804.0
301,798.0
302,814.0
303,842.0
304,856.0
305,828.0
306,858.0
307,886.0
308,826.0
309,812.0
310,850.0
311,884.0
312,838.0
313,846.0
314,878.0
315,918.0
316,876.0
317,892.0
318,894.0
319,822.0
320,818.0
321,832.0
322,834.0
323,822.0
324,872.0
325,878.0
326,870.0
327,888.0
328,884.0
329,856.0
330,882.0
331,866.0
332,844.0
333,870.0
334,894.0
335,874.0
336,892.0
337,906.0
338,860.0
339,878.0
340,860.0
341,810.0
342,752.0
343,754.0
344,766.0
345,804.0
346,838.0
347,850.0
348,882.0
349,878.0
350,850.0
351,868.0
352,866.0
353,836.0
354,844.0
355,842.0
356,798.0
357,834.0
358,862.0
359,886.0
360,860.0
361,902.0
362,910.0
363,932.0
364,940.0
365,914.0
366,840.0
367,862.0
368,858.0
369,890.0
370,842.0
371,880.0
372,900.0
373,900.0
374,852.0
375,876.0
376,896.0
377,844.0
378,852.0
379,884.0
380,902.0
381,858.0
382,894.0
383,896.0
384,842.0
385,880.0
386,882.0
387,852.0
388,874.0
389,864.0
390,828.0
391,794.0
392,848.0
393,888.0
394,898.0
395,888.0
396,882.0
397,844.0
398,842.0
399,842.0
400,858.0
401,852.0
402,892.0
403,874.0
404,894.0
405,914.0
406,884.0
407,876.0
408,850.0
409,858.0
410,866.0
411,848.0
412,878.0
413,898.0
414,860.0
415,884.0
416,872.0
417,830.0
418,828.0
419,852.0
420,876.0
421,826.0
422,856.0
423,864.0
424,852.0
425,840.0
426,872.0
427,862.0
428,882.0
429,898.0
430,842.0
431,874.0
432,888.0
433,830.0
434,856.0
435,866.0
436,860.0
437,894.0
438,894.0
439,866.0
440,884.0
441,860.0
442,830.0
443,852.0
444,866.0
445,852.0
446,852.0
447,878.0
448,906.0
449,904.0
450,912.0
451,876.0
452,860.0
453,878.0
454,864.0
455,890.0
456,890.0
457,856.0
458,818.0
459,840.0
460,856.0
461,840.0
462,868.0
463,880.0
464,894.0
465,846.0
466,872.0
467,860.0
468,816.0
469,854.0
470,792.0
471,730.0
472,736.0
473,726.0
474,750.0
475,796.0
476,822.0
477,802.0
478,816.0
479,848.0
480,838.0
481,784.0
482,824.0
483,830.0
484,806.0
485,796.0
486,834.0
487,868.0
488,828.0
489,796.0
490,826.0
491,848.0
492,816.0
493,858.0
494,854.0
495,852.0
496,862.0
497,802.0
498,800.0
499,824.0
500,836.0
501,840.0
502,878.0
503,860.0
504,896.0
505,882.0
506,880.0
507,886.0
508,858.0
509,852.0
510,836.0
511,818.0
512,836.0
513,844.0
514,824.0
515,846.0
516,806.0
517,794.0
518,808.0
519,814.0
520,808.0
521,808.0
522,804.0
523,772.0
524,704.0
525,844.7781350482315
526,844.7781350482315
527,844.7781350482315
528,716.0
529,782.0
530,768.0
531,826.0
532,842.0
533,828.0
534,840.0
535,792.0
536,812.0
537,828.0
538,800.0
539,828.0
540,840.0
541,798.0
542,814.0
543,840.0
544,856.0
545,834.0
546,852.0
547,812.0
548,830.0
549,816.0
550,794.0
551,784.0
552,828.0
553,842.0
554,824.0
555,842.0
556,812.0
557,804.0
558,830.0
559,866.0
560,816.0
561,862.0
562,864.0
563,798.0
564,826.0
565,848.0
566,870.0
567,852.0
568,778.0
569,736.0
570,762.0
571,750.0
572,772.0
573,804.0
574,794.0
575,782.0
576,808.0
577,832.0
578,794.0
579,812.0
580,820.0
581,798.0
582,796.0
583,814.0
584,834.0
585,792.0
586,830.0
587,864.0
588,846.0
589,862.0
590,854.0
591,802.0
592,816.0
593,830.0
594,850.0
595,854.0
596,872.0
597,838.0
598,866.0
599,858.0
