,0
0,832.0
1,824.0
2,824.0
3,830.0
4,830.0
5,848.0
6,830.0
7,830.0
8,824.0
9,826.0
10,818.0
11,818.0
12,800.0
13,790.0
14,788.0
15,786.0
16,790.0
17,774.0
18,742.0
19,748.0
20,752.0
21,724.0
22,748.0
23,758.0
24,748.0
25,770.0
26,790.0
27,764.0
28,776.0
29,768.0
30,748.0
31,762.0
32,782.0
33,760.0
34,782.0
35,802.0
36,786.0
37,786.0
38,804.0
39,792.0
40,790.0
41,800.0
42,776.0
43,800.0
44,818.0
45,808.0
46,818.0
47,830.0
48,822.0
49,820.0
50,820.0
51,798.0
52,806.0
53,812.0
54,808.0
55,822.0
56,834.0
57,828.0
58,826.0
59,826.0
60,830.0
61,818.0
62,832.0
63,822.0
64,812.0
65,824.0
66,844.0
67,872.0
68,892.0
69,894.0
70,888.0
71,878.0
72,870.0
73,856.0
74,818.0
75,824.0
76,824.0
77,812.0
78,836.0
79,842.0
80,834.0
81,840.0
82,834.0
83,828.0
84,820.0
85,828.0
86,836.0
87,804.0
88,818.0
89,822.0
90,792.0
91,804.0
92,808.0
93,792.0
94,810.0
95,820.0
96,824.0
97,834.0
98,840.0
99,844.0
100,844.0
101,852.0
102,860.0
103,830.0
104,844.0
105,850.0
106,844.0
107,844.0
108,856.0
109,850.0
110,834.0
111,842.0
112,848.0
113,822.0
114,832.0
115,838.0
116,816.0
117,834.0
118,842.0
119,836.0
120,828.0
121,834.0
122,834.0
123,810.0
124,826.0
125,842.0
126,820.0
127,830.0
128,836.0
129,820.0
130,822.0
131,830.0
132,824.0
133,822.0
134,792.0
135,748.0
136,746.0
137,722.0
138,744.0
139,756.0
140,758.0
141,754.0
142,776.0
143,792.0
144,770.0
145,784.0
146,804.0
147,810.0
148,818.0
149,822.0
150,826.0
151,800.0
152,812.0
153,818.0
154,806.0
155,818.0
156,820.0
157,814.0
158,806.0
159,820.0
160,832.0
161,820.0
162,840.0
163,840.0
164,824.0
165,826.0
166,828.0
167,820.0
168,804.0
169,812.0
170,816.0
171,812.0
172,826.0
173,824.0
174,818.0
175,794.0
176,806.0
177,808.0
178,784.0
179,798.0
180,804.0
181,782.0
182,788.0
183,794.0
184,786.0
185,776.0
186,794.0
187,804.0
188,786.0
189,796.0
190,808.0
191,796.0
192,786.0
193,806.0
194,804.0
195,796.0
196,810.0
197,812.0
198,800.0
199,800.0
200,818.0
201,824.0
202,798.0
203,808.0
204,812.0
205,798.0
206,788.0
207,792.0
208,798.0
209,778.0
210,784.0
211,790.0
212,786.0
213,766.0
214,784.0
215,794.0
216,778.0
217,784.0
218,794.0
219,804.0
220,778.0
221,808.0
222,808.0
223,794.0
224,780.0
225,784.0
226,796.0
227,774.0
228,784.0
229,768.0
230,752.0
231,750.0
232,764.0
233,788.0
234,768.0
235,804.0
236,816.0
237,792.0
238,820.0
239,816.0
240,798.0
241,798.0
242,790.0
243,794.0
244,760.0
245,782.0
246,792.0
247,792.0
248,768.0
249,756.0
250,742.0
