FpZ,FC3,FC4,FCz,O1,O2,Fp2
0.0700859936690492,0.016038193521175,-0.22750391530754,-0.158608139636321,-0.268145792257691,-0.372380261129176,0.0259749398285585
0.076013140588108,0.0164060513321732,-0.21970849959149,-0.161806625343731,-0.27781205136144,-0.375644035116215,0.0272788506743514
0.0471409384635804,-0.0133827937464666,-0.233716217318949,-0.1905257741635,-0.301012529886559,-0.397021642134813,-0.00181322629502839
0.0415437311873659,-0.00087167219957085,-0.235370028296271,-0.182004899566184,-0.298008104614168,-0.40912363531608,-0.00637851459363237
0.0278317368953671,0.00407343285991046,-0.227750699794174,-0.177636090297473,-0.295204348269339,-0.4087106999324,0.00106923106035645
0.0269933474266629,-0.00261212695196222,-0.222281087014281,-0.198482274779401,-0.302997603978415,-0.429817454889555,-0.00851303745039189
0.0185441610836198,-0.0317229379590735,-0.24590989508641,-0.225042093447364,-0.316118320369151,-0.429892985968869,-0.0264251427298852
0.00365346315444087,-0.0214660891536987,-0.234699711917161,-0.212407838086188,-0.321242069379551,-0.424245868514165,-0.028320687890257
0.00666472642112959,-0.022576676880126,-0.233579246024194,-0.214780017322484,-0.315858189960948,-0.433637478323919,-0.00796792774713789
0.00419723895793345,-0.0175974512101884,-0.227364738500144,-0.211044993562084,-0.314752815083916,-0.433073941956963,-0.00662182784408438
0.0153235319761545,-0.0137951384909794,-0.223182587204378,-0.201853216401442,-0.31177488857145,-0.43545343626292,0.00273761983494525
0.010070467422169,-0.0137474691925076,-0.230192565927495,-0.202675077087209,-0.312171761927972,-0.453874816540213,0.00242978833757335
0.017852865523748,-0.0261030345561333,-0.233944119836131,-0.206805507819331,-0.318833456258904,-0.458510047885494,0.00404961386428421
0.0106020875393546,-0.0258782469842097,-0.233808839808886,-0.206631091643573,-0.32256906361297,-0.460541009474606,0.00255311140828474
0.0125271137867602,-0.0279066261095811,-0.239426724993859,-0.228334797111605,-0.324774194669418,-0.457549083663553,-0.0198950897347872
-0.0131564822877912,-0.0459720450453424,-0.265905034572709,-0.237998057149175,-0.329034257690693,-0.463484112283879,-0.0177783089316755
0.0100947978714774,-0.0462516641632426,-0.259527370638121,-0.234577464404664,-0.327682258001355,-0.460882038729537,0.00620255893165306
