FpZ,FC3,FC4,FCz,O1,O2,Fp2
0.034953165551885,-0.0448780703272577,-0.349147348383013,-0.332726746896723,-0.145173175204966,-0.253942082131514,0.0392279827003948
0.0171073522441638,-0.0559162553475789,-0.372285990243178,-0.333994016859942,-0.17402338900274,-0.282719691963199,0.0175309956956224
0.00936179180747432,-0.0581502081982558,-0.383045547729543,-0.346206891700872,-0.197823110026691,-0.3033808880396,0.0115002212371363
-0.0224523268389601,-0.0763287445859514,-0.400752274066442,-0.361897435128478,-0.213060269796124,-0.333706489473115,-0.0209106057789304
-0.0381329573126051,-0.0956868568472131,-0.408635619764338,-0.373528732517869,-0.239019404356195,-0.338825137557036,-0.0406944463959422
-0.0236645047250834,-0.10024583392145,-0.414290021953537,-0.382874025157149,-0.248705451196739,-0.344780348542964,-0.0318319315627103
-0.0513333145762974,-0.129229131862558,-0.446805756727072,-0.408659014906926,-0.28202756024013,-0.376134091260285,-0.0576945385255298
-0.0605030154304436,-0.127617237947667,-0.449078290956757,-0.411563722160965,-0.280295013514561,-0.379674865917383,-0.0514675346068805
-0.074398050811277,-0.142514462256556,-0.456563084335168,-0.408565751757989,-0.288902123281973,-0.378463017901424,-0.0686860309729611
-0.0954534804171934,-0.135289739492367,-0.452685454750395,-0.405762246674035,-0.276271585341428,-0.399020668521388,-0.0773741568129828
-0.0754433763426324,-0.127467430776464,-0.44766894877992,-0.40559376511868,-0.277690789517694,-0.397486787457986,-0.0621255554716494
-0.0612415098248825,-0.12383466553069,-0.42284883832612,-0.403479243856698,-0.280134655906633,-0.395677059664188,-0.0828953495506261
-0.061212490736011,-0.123708598229264,-0.420931365767705,-0.404759888182049,-0.283266475125424,-0.400241391379719,-0.0790915131673935
-0.0758859699989546,-0.117339774860827,-0.42199726108836,-0.408473501807022,-0.278272874759996,-0.400001214076489,-0.0788655745007797
-0.0860596210820612,-0.118142303651689,-0.421720014307283,-0.410138403746441,-0.276493573020557,-0.402353825607848,-0.0823890984214965
-0.083678680507193,-0.124586539727319,-0.418543649713286,-0.409812391302046,-0.27698167447139,-0.400709439581759,-0.0832588581660399
-0.0843371356469222,-0.103246672077816,-0.422625424186678,-0.381040332890793,-0.267021034535268,-0.402025302648431,-0.0929934416630284
-0.10629095250815,-0.115457560709364,-0.426949062353873,-0.373904920885838,-0.255741930949507,-0.387571467574427,-0.124163518731664
-0.0877964583687159,-0.103523278587889,-0.414617583293829,-0.3541578587233,-0.236360972601131,-0.355842763659679,-0.103034430013524
-0.086079801508445,-0.0975622808724645,-0.401992167616244,-0.337170759918463,-0.239714779945945,-0.356531643181295,-0.0782586322352252
-0.0810975106955463,-0.0887751208840815,-0.393045836312882,-0.325073392307657,-0.237946056422476,-0.358605686357405,-0.0933974829250263
-0.0742197649188031,-0.0927778050508743,-0.366515894747208,-0.324879698485672,-0.224463320864433,-0.342718644211135,-0.0853448213817093
-0.0743616347527585,-0.0941546741423936,-0.367335741564348,-0.324917959808973,-0.22038399824262,-0.341616616552415,-0.0853161804557282
-0.10057948358156,-0.125288150962919,-0.385956779488679,-0.33255344636331,-0.251109029870287,-0.341973629154009,-0.108793693724574
-0.069878992507083,-0.093531737099689,-0.369587709276935,-0.328859719670838,-0.242789969076193,-0.329018666483921,-0.0769875059363678
-0.0482351169314751,-0.0923858531302912,-0.369912974764418,-0.325263453364886,-0.241772646183109,-0.334860179967004,-0.0582322969139457
-0.0428269249465579,-0.0916016503355077,-0.371983913909961,-0.327241619773437,-0.247790480873181,-0.339425281065327,-0.0586412023340107
-0.0420855545297079,-0.0915220115562884,-0.372592592082005,-0.327111774549315,-0.26347917382642,-0.353698650422674,-0.0586644621699905
-0.0273893395183989,-0.081532108697787,-0.34705981123925,-0.316594598159504,-0.274474478238429,-0.385422752475309,-0.0375679748276141
-0.0242033780581802,-0.0878566101491272,-0.343256246649223,-0.315186335407208,-0.268375446582261,-0.375949723127158,-0.057691425047178
-0.00372020974330545,-0.0860054793735276,-0.349284390992512,-0.312049305246105,-0.239079998956006,-0.343650859431347,-0.0578321402051435
-0.00374039744611798,-0.0857452212602169,-0.350342676127894,-0.312755265151451,-0.225468224641927,-0.314095100223528,-0.0388064304446032
-0.00153806475272367,-0.0770820168378361,-0.346438399212942,-0.306159218738285,-0.201932390781825,-0.295692554738222,-0.0383175885256693
0.0112806374864238,-0.0658544439442728,-0.346910064559079,-0.296726499311242,-0.194975475071625,-0.297407980895072,-0.0235618993862713
0.00246460341555593,-0.0481040826030595,-0.356925262162024,-0.276326820495462,-0.192402698772728,-0.320473578497195,-0.0166694180790624
-0.00358522055334143,-0.028901100126456,-0.358559128208379,-0.26180159228728,-0.187851350936387,-0.302027572056813,0.00744570866888944
0.0214318524173746,-0.00656436528410786,-0.355124285290693,-0.253611299854248,-0.183133942744622,-0.289655950853853,0.0283284409228995
0.0174992774465125,-0.0104824960131171,-0.349770483425916,-0.25118343107286,-0.171265983861198,-0.274188674432658,0.0191644359875339
0.0333042718720211,-0.0107226822996597,-0.349762793654743,-0.248326785899957,-0.153111260068954,-0.306167717854812,0.0199137342062057
0.010769742011971,-0.0106773388021004,-0.350683303052756,-0.248174159810197,-0.156795062812114,-0.312828280121133,-0.00640661780022933
0.0133337711314406,-0.0123109846123728,-0.348323503071687,-0.249640762620615,-0.16402396017939,-0.314477983990465,-0.00374596235143626
0.0228813423498024,-0.0304676571205962,-0.350319990484415,-0.250994320842978,-0.189991686900608,-0.315182867439941,-0.0117577118360903
0.0251506466974852,-0.0347783596005079,-0.359566055898375,-0.254095833321442,-0.188741922897886,-0.316047388557146,-0.000116801023337776
0.046819758716757,-0.0361740107324752,-0.357996810436504,-0.256022614108963,-0.189083401497388,-0.31471199776408,0.00675808642740189
0.0573751212191649,-0.0321058514698989,-0.355575069076402,-0.255479798483025,-0.203665759427359,-0.33151235998142,0.0102353306847601
0.0812905474924246,-0.0184300680487942,-0.329765943253276,-0.253232451041255,-0.200411873912902,-0.329312290989966,0.0294533487203505
0.0935552071694621,0.00810652666206713,-0.327237396908093,-0.236336396547132,-0.174818914748747,-0.298399484226775,0.033894467374181
0.118777355798399,0.0119925567507723,-0.350267275737993,-0.236123117108113,-0.166152935842356,-0.284478650114456,0.0550296834663087
0.0984593525832871,-0.000193645641173135,-0.357278819432079,-0.241269035428304,-0.167647520208973,-0.283373112174777,0.0244507068868423
0.0917079780960176,-0.0050248960439131,-0.361286908064349,-0.244345541936369,-0.143580124549913,-0.278023385232986,0.0231172045774292
0.0651096375762337,-0.037673159838845,-0.371905988929929,-0.260228096026099,-0.157188095566296,-0.289164415891129,-0.00665422739106764
0.068396670633008,-0.0388688932879786,-0.373238746131488,-0.261706711825992,-0.186523741449745,-0.315698824089886,-0.0023365630674802
0.0680423058609922,-0.0449419240341988,-0.403579707872555,-0.261661323182134,-0.194937725167967,-0.327055955105709,-0.0021161641126054
0.0625750647339003,-0.0383907088989187,-0.400153662511777,-0.254306765491195,-0.195212798670908,-0.328530488104347,-0.0028761497449688
0.0658729785573068,-0.0376626588833621,-0.401102291106682,-0.252989247134802,-0.183781782856371,-0.319614896318877,-0.00296763060386696
0.0379893869368761,-0.0266175674279777,-0.398072804164867,-0.250722750407614,-0.162616197292346,-0.309412801190388,-0.0220112700983836
0.0323360374803556,-0.0309416723080681,-0.396213677069342,-0.252711764204602,-0.178295565812639,-0.31780051420873,-0.0293836571274788
0.048843068126999,-0.0238503062316205,-0.401370783843011,-0.253087678532431,-0.177434916627168,-0.317134835337821,-0.00301840598160419
0.0555034257211135,-0.0218428391413523,-0.391115665981521,-0.252787688063464,-0.175127343249134,-0.316294505269531,0.00494870511147139
0.0522057932668925,-0.0182650190278653,-0.391110452330512,-0.25199206077587,-0.181615533485412,-0.317479837365955,0.00403070747740869
0.0224799764654157,-0.0150872180944205,-0.409895591706121,-0.248348271994748,-0.204276605388276,-0.330317896378327,-0.0125768144269795
0.0252142892905178,-0.0172257145079941,-0.41000966210577,-0.252614685038647,-0.206440520805159,-0.329085239330615,-0.012791216794718
0.0286896821047665,-0.0166775324927761,-0.402548618930452,-0.252700025596242,-0.213153232902198,-0.335338350437701,-0.00885646931046014
0.0373768086850733,-0.00221882191309541,-0.388547020714553,-0.234627411587383,-0.227055065278837,-0.325264183924147,0.00555788852636691
0.0529154746548971,-0.0111601267667669,-0.392490493402092,-0.242395211401253,-0.228146011954399,-0.328504224517035,0.0196626904847175
0.0593578159223952,-0.0248334295430324,-0.369995703834812,-0.235916260446311,-0.236928609666613,-0.336038121527057,0.0252514944179584
0.0683338000731536,-0.0215065137186373,-0.367629214781535,-0.233703071698272,-0.236613879981363,-0.337026377323299,0.0295786630734334
0.0710280685041153,-0.0342750386980927,-0.387423808254501,-0.247577694266459,-0.246265846454746,-0.345447636442031,0.0202326783666974
0.0685396114473079,-0.0335802031501651,-0.387341401556073,-0.247992257637561,-0.246651731605324,-0.345413690475985,0.0207521624998814
0.0488247551363374,-0.0463465547767247,-0.393395238819434,-0.25241404432534,-0.277339521365892,-0.345214862507164,-0.00167607900449407
0.0363448641640244,-0.0556831909541718,-0.404080398692075,-0.250581578036806,-0.268100302953726,-0.333203985784201,-0.0132975467372488
0.0372517485430863,-0.063858781524835,-0.413822386778771,-0.252500381940516,-0.264119644824126,-0.324451023881096,0.00951306091780135
0.0547133278057738,-0.0596823579901923,-0.409004238218515,-0.239829698123944,-0.25068575283195,-0.308279486239631,0.0291706734621218
0.0670576935622337,-0.0499994654795644,-0.39864657815358,-0.227063088313442,-0.22687454025399,-0.284771282849707,0.0363737044333813
0.0694599493451573,-0.0466564837695765,-0.391642521046646,-0.222290261144035,-0.23141014144755,-0.290057791685328,0.0389261923463485
0.0787125857318279,-0.0389579321517555,-0.385855956021131,-0.219422359630837,-0.230305728503257,-0.290074939022388,0.0625496427279953
0.0831768605175068,-0.0591947377620869,-0.396973531527854,-0.247812299248164,-0.241814064791548,-0.287220950063284,0.0424039799593464
0.102121862971411,-0.0449393516484872,-0.375526846320677,-0.223890529254983,-0.240262591114632,-0.264039132776707,0.0735408819192817
0.105794363201153,-0.0513389631077463,-0.380801012563674,-0.235605390613321,-0.267309005783703,-0.293305622571202,0.0544439601721154
0.106071892001169,-0.0587791532276399,-0.400183450689179,-0.257145918701543,-0.266373577375403,-0.296469353974408,0.03638071546338
0.0854663923792674,-0.0581457755852065,-0.405984817476059,-0.259951338585839,-0.270562883007788,-0.29793276838157,0.038608128580889
0.0811599987984052,-0.0553895556739604,-0.433696290134443,-0.25762232760233,-0.293113213795847,-0.323231281448914,0.0287599584896888
0.0825368422487586,-0.0513100798538471,-0.421835995484591,-0.245679075856692,-0.281103406341396,-0.317515597079116,0.029436593118062
0.109346282308778,-0.0509770008863325,-0.420530008931082,-0.245134101354349,-0.280764415406657,-0.31862687116035,0.0596577424738808
0.0852823375713642,-0.0599633713882911,-0.442769289215316,-0.239468582515081,-0.288419591209362,-0.314076609274243,0.0281999365882337
0.0578715123092151,-0.0567752945986237,-0.466862363660056,-0.244595321641165,-0.301624661335969,-0.330264498536392,-0.000405613357646439
