,0
0,962.0
1,930.0
2,958.0
3,976.0
4,936.0
5,884.0
6,870.0
7,894.0
8,912.0
9,940.0
10,924.0
11,894.0
12,838.0
13,840.0
14,842.0
15,844.0
16,830.0
17,826.0
18,832.0
19,792.0
20,796.0
21,796.0
22,810.0
23,812.0
24,804.0
25,820.0
26,814.0
27,812.0
28,824.0
29,806.0
30,760.0
31,754.0
32,752.0
33,742.0
34,730.0
35,734.0
36,716.0
37,720.0
38,724.0
39,746.0
40,758.0
41,784.0
42,790.0
43,772.0
44,794.0
45,796.0
46,808.0
47,814.0
48,786.0
49,788.0
50,786.0
51,764.0
52,714.0
53,706.0
54,694.0
55,698.0
56,690.0
57,678.0
58,682.0
59,668.0
60,684.0
61,690.0
62,704.0
63,704.0
64,734.0
65,732.0
66,748.0
67,722.0
68,694.0
69,688.0
70,694.0
71,698.0
72,704.0
73,686.0
74,720.0
75,716.0
76,718.0
77,682.0
78,680.0
79,684.0
80,676.0
81,676.0
82,670.0
83,664.0
84,672.0
85,678.0
86,694.0
87,700.0
88,698.0
89,706.0
90,714.0
91,706.0
92,690.0
93,682.0
94,660.0
95,662.0
96,656.0
97,652.0
98,664.0
99,678.0
100,688.0
101,706.0
102,742.0
103,758.0
104,752.0
105,746.0
106,734.0
107,750.0
108,740.0
109,724.0
110,726.0
111,702.0
112,712.0
113,692.0
114,680.0
115,668.0
116,672.0
117,678.0
118,690.0
119,718.0
120,732.0
121,746.0
122,748.0
123,734.0
124,746.0
125,738.0
126,766.0
127,752.0
128,730.0
129,692.0
130,664.0
131,668.0
132,670.0
133,684.0
134,706.0
135,726.0
136,712.0
137,704.0
138,714.0
139,724.0
140,746.0
141,734.0
142,732.0
143,710.0
144,730.0
145,732.0
146,742.0
147,744.0
148,750.0
149,774.0
150,774.0
151,760.0
152,754.0
153,722.0
154,716.0
155,710.0
156,730.0
157,748.0
158,772.0
159,802.0
160,798.0
161,792.0
162,792.0
163,776.0
164,766.0
165,744.0
166,762.0
167,776.0
168,796.0
169,788.0
170,744.0
171,706.0
172,706.0
173,710.0
174,734.0
175,756.0
176,744.0
177,776.0
178,782.0
179,798.0
180,790.0
181,814.0
182,808.0
183,764.0
184,722.0
185,694.0
186,706.0
187,728.0
188,774.0
189,802.0
190,818.0
191,818.0
192,828.0
193,844.0
194,838.0
195,834.0
196,832.0
197,782.0
198,784.0
199,766.0
200,772.0
201,794.0
202,800.0
203,798.0
204,846.0
205,864.0
206,864.0
207,826.0
208,842.0
209,850.0
210,868.0
211,854.0
212,806.0
213,758.0
214,712.0
215,716.0
216,732.0
217,770.0
218,844.0
219,794.0
220,830.0
221,866.0
222,814.0
223,836.0
224,870.0
225,878.0
226,862.0
227,854.0
228,824.0
229,786.0
230,786.0
231,782.0
232,794.0
233,828.0
234,800.0
235,826.0
236,856.0
237,882.0
238,898.0
239,890.0
240,894.0
241,870.0
242,840.0
243,808.0
244,856.0
245,878.0
246,906.0
247,910.0
248,890.0
249,912.0
250,924.0
251,910.0
252,864.0
253,872.0
254,870.0
255,868.0
256,862.0
257,830.0
258,858.0
259,854.0
260,854.0
261,830.0
262,790.0
263,808.0
264,832.0
265,858.0
266,848.0
267,842.0
268,824.0
269,802.0
270,770.0
271,738.0
272,714.0
273,726.0
274,748.0
275,800.0
276,856.0
277,870.0
278,840.0
279,840.0
280,826.0
281,780.0
282,784.0
283,804.0
284,828.0
285,844.0
286,836.0
287,798.0
288,834.0
289,820.0
290,816.0
291,768.0
292,766.0
293,790.0
294,800.0
295,808.0
296,808.0
297,818.0
298,776.0
299,766.0
300,774.0
301,792.0
302,806.0
303,832.0
304,818.0
305,850.0
306,852.0
307,842.0
308,834.0
309,826.0
310,796.0
311,828.0
312,818.0
313,816.0
314,802.0
315,860.0
316,888.0
317,908.0
318,886.0
319,836.0
320,848.0
321,854.0
322,872.0
323,848.0
324,880.0
325,864.0
326,794.0
327,746.0
328,756.0
329,800.0
330,844.0
331,878.0
332,894.0
333,906.0
334,882.0
335,856.0
336,854.0
337,872.0
338,882.0
339,872.0
340,852.0
341,858.0
342,860.0
343,868.0
344,842.0
345,872.0
346,878.0
347,878.0
348,852.0
349,896.0
350,918.0
351,898.0
352,836.0
353,828.0
354,820.0
355,844.0
356,856.0
357,822.0
358,782.0
359,752.0
360,774.0
361,784.0
362,794.0
363,824.0
364,812.0
365,820.0
366,770.0
367,772.0
368,774.0
369,796.0
370,802.0
371,796.0
372,810.0
373,792.0
374,794.0
375,796.0
376,778.0
377,780.0
378,794.0
379,802.0
380,788.0
381,758.0
382,756.0
383,778.0
384,796.0
385,836.0
386,860.0
387,822.0
388,872.0
389,896.0
390,900.0
391,864.0
392,806.0
393,774.0
394,808.0
395,848.0
396,886.0
397,904.0
398,918.0
399,954.0
400,910.0
401,882.0
402,852.0
403,834.0
404,818.0
405,822.0
406,814.0
407,818.0
408,806.0
409,774.0
410,788.0
411,800.0
412,752.0
413,762.0
414,746.0
415,736.0
416,756.0
417,768.0
418,778.0
419,788.0
420,778.0
421,790.0
422,794.0
423,788.0
424,786.0
425,762.0
426,770.0
427,790.0
428,820.0
429,860.0
430,870.0
