,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.522925593609208,0.10892118724565047,-0.11384851594293699,0.02146841005835072,0.5379269720272487,0.1016681724180023,-0.12291478447749715,0.0001342220351186553
1,ibi,0.49513292791867186,0.12319504738009945,-0.09600619077487571,-0.002232297477865781,0.4825681654970024,0.13001946621201765,-0.0874756672349779,-1.4510334029618e-06
2,lf,0.8092757254754495,0.016344611911065177,-0.22956923511116845,-0.0005576879335870656,0.614996895243072,0.06901796365447777,-0.1637275454319027,-1.9763870668052223e-06
3,hf,0.24675638844207806,0.3147459445687556,0.14343243071094447,-0.001953345766684352,0.3564175066321698,0.2133563447800062,0.016695430975007808,-2.860248632810622e-06
4,lf/hf,0.04936145735631263,0.6604018787624585,0.5755023484530731,0.3631656634899554,0.026293427730071442,0.7473741219355251,0.6842176524194064,0.08953744334846331
5,sdsd,0.7621941339486655,0.02556801622487681,-0.21803997971890388,0.02980475071802635,0.8393196589479185,0.011563717678491292,-0.23554535290188583,0.0005898055721463985
6,rmssd,0.9294889690490253,0.0022129549024736406,-0.24723380637190795,0.004493274253718371,0.9767743044642894,0.00023978630038845594,-0.24970026712451432,-2.318381211952828e-05
7,pnn20,0.8622038068406439,0.008486969331389038,-0.23939128833576362,0.5239510441773056,0.9480754865771094,0.0011992497613323438,-0.2485009377983345,0.17726241923199382
8,pnn50,0.9482068456668785,0.0011931848650115207,-0.2485085189187357,0.27722200553183285,0.7530261309294434,0.027615442686297564,-0.2154806966421281,-5.80582235286721
9,concentration_FC3,0.08813747991861097,0.5575111146274113,0.4468888932842642,3.6810258206927973,0.06823232552451389,0.6058710292203653,0.5073387865254566,10.524127116746465
10,concentration_FC4,0.6713475647398117,0.049634311646429397,-0.18795711044196328,0.9102592771967704,0.944250900434731,0.0013825905673912064,-0.24827176179076105,0.6943993490687816
11,concentration_FCz,0.030476148630789575,0.729071235555137,0.6613390444439212,2.4419181984971043,0.012863565978853348,0.8206684837844322,0.7758356047305404,7.306552734068266
12,concentration_mean,0.08496510143660199,0.5647305105223448,0.455913138152931,3.3578401491375187,0.031070846423451128,0.7265857786580822,0.6582322233226027,14.944070182316148
13,FC3,0.8898504399536509,0.005411919672424714,-0.24323510040946905,-0.2846995619194157,0.7490923539150375,0.028519507166451796,-0.21435061604193528,-0.6849771114217962
14,FC4,0.6182713166872416,0.06779225935668676,-0.16525967580414158,-1.112321035167696,0.5165588742005768,0.11209363719470422,-0.1098829535066197,-1.4538272477978218
15,FCz,0.07002103003640675,0.6011977646069587,0.5014972057586984,-3.3428828415025436,0.10065524592195119,0.5305191763000128,0.41314897037501597,-2.8873850951403917
16,mean_3ch,0.42672451207449275,0.16337384516111575,-0.0457826935486052,-1.8865339998516433,0.4069788289791537,0.1764443164711813,-0.029444604411023256,-1.8462163067675093
17,lf_diff,0.4217754947075233,0.1665835686571927,-0.041770539178509036,-0.0010166126925751657,0.42821533179220145,0.16241546773007964,-0.04698066533740053,-2.3200699848464684e-06
18,hf_diff,0.6560659245535054,0.05453856690738823,-0.18182679136576474,-0.00031336852449145684,0.38851821297689876,0.18932389992638454,-0.01334512509201935,-6.643617942102938e-07
19,lfhf_diff,0.15234179210431134,0.43779957687400095,0.2972494710925012,-0.14560007214405313,0.94377383151037,0.0014063769652713498,-0.24824202879341084,0.0029979634285069445
20,hr_mad,0.5588403571294078,0.09206219312602348,-0.13492225859247053,0.029920212765957577,0.5839690177337322,0.08126865960438434,-0.14841417549451963,0.0005261417205463161
21,sd1,0.929486014326638,0.0022131406457041036,-0.24723357419286995,0.006354699695467314,0.9767768397123402,0.0002397339461558401,-0.24970033256730528,-4.636257086137324e-05
22,sd2,0.9756649975678753,0.0002632427928717096,-0.24967094650891042,0.0009645130538658009,0.9595952481763339,0.0007259263679708639,-0.24909259204003642,-1.2872987097212706e-05
23,s,0.9743713706025124,0.00029197978527295554,-0.24963502526840875,-6.52359706578595e-06,0.8316268041608337,0.012707213339806511,-0.23411598332524175,-4.619870406049016e-09
24,sd1/sd2,0.778312557252619,0.02216879178807407,-0.22228901026490733,3.3849314203657457,0.800573442843588,0.017888679039996913,-0.22763915120000378,4.432589750898508
25,breathingrate,0.24415538957618177,0.31759756431938724,0.14699695539923407,-2.29106588648028,0.2543464823052498,0.30656368769057507,0.1332046096132189,-4.4224809390479685
26,lf_nu,0.19951763194815905,0.370772124870102,0.2134651560876275,0.02057433977479231,0.20058803040892698,0.3693938048294212,0.21174225603677654,0.00016683089420698854
27,hf_nu,0.19951763194816088,0.37077212487010336,0.21346515608762917,-0.0205743397747922,0.20114688531308006,0.3686763966074532,0.21084549575931655,-0.00026522758934976955
