,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.48379928184675647,0.26646318142192493,-0.1003052278671126,0.32363593513128197,0.4800277376825627,0.2703711535795129,-0.09444326963073069,0.0017962440720190108
1,ibi,0.49144772769423006,0.2586254136673646,-0.11206187949895319,-0.04367505362822015,0.4953159572954793,0.25470598296057845,-0.11794102555913222,-3.2713106540888196e-05
2,lf,0.25411025936054205,0.5563515051911974,0.33452725778679604,-0.007817709466009792,0.3059732759864383,0.48167309364499655,0.22250964046749488,-6.156812116641908e-06
3,hf,0.11638808390783986,0.7807700182600585,0.6711550273900878,-0.03817284469532002,0.13640963329559766,0.7457883214646439,0.6186824821969659,-0.00012268655314420633
4,lf/hf,0.9598123931380929,0.0016150437452875366,-0.4975774343820687,-0.06576806986620465,0.8890432142913838,0.012311408294787829,-0.4815328875578182,-0.024105723547554414
5,kubios_lf,0.03301045151160141,0.9350687868857971,0.9026031803286956,-0.009862470101132973,0.022365693644850405,0.9557688369625145,0.9336532554437718,-1.1516003916134316e-05
6,kubios_hf,0.11550281263635369,0.7823352744542009,0.6735029116813014,-0.028427297974403343,0.14890293479730266,0.7243662143966443,0.5865493215949664,-8.69709243345281e-05
7,kubios_lf/hf,0.5539194180323714,0.1989878856085786,-0.20151817158713214,-1.5989225615902498,0.5374829949695022,0.21392197994238116,-0.1791170300864282,-0.2510718543021309
8,sdsd,0.7233645848359864,0.07652715292296597,-0.385209270615551,-0.5692489506906337,0.7450827355723929,0.06498281170325437,-0.4025257824451185,-0.01519260524118593
9,rmssd,0.9495106043720944,0.002549179070871266,-0.49617623139369305,-0.053240921698523014,0.9794134362042857,0.00042380660891505606,-0.4993642900866275,-0.00037953771638584224
10,pnn20,0.9464349655687333,0.002869212913622743,-0.4956961806295659,-3.3402080875906393,0.9779251906133112,0.0004872972094587258,-0.4992690541858118,-1.5102828431620168
11,pnn50,0.8484065984821687,0.022980559383746546,-0.4655291609243801,-16.085190268143606,0.9409474333436916,0.0034872056286975317,-0.49476919155695365,-42.80627293409668
12,concentration_FC3,0.4821410673947091,0.2681778740790909,-0.09773318888136373,11.673538382434373,0.604515678582054,0.15640784848741307,-0.26538822726888034,54.234598060749875
13,concentration_FC4,0.697577988691895,0.0914590729236392,-0.36281139061454115,5.410080861783728,0.9023103596910875,0.00954326582368481,-0.48568510126447273,4.810979062856454
14,concentration_FCz,0.5480647425436178,0.20424547693216621,-0.19363178460175057,8.775944840253949,0.7338064161613449,0.07085902407686706,-0.39371146388469946,24.16919330358299
15,concentration_mean,0.5810873409073463,0.17548781594807794,-0.2367682760778831,8.336478158479382,0.7689759752649746,0.053372100004769774,-0.41994184999284534,18.77235274179814
16,FC3,0.34685290680559655,0.4266011253482984,0.13990168802244762,-12.216987517462163,0.35492872397796216,0.41611695114870006,0.12417542672305015,-12.419437809067457
17,FC4,0.5826219373127739,0.1742044472125417,-0.23869332918118746,-6.87882270900181,0.5414145306844997,0.21030063266731747,-0.18454905099902374,-7.459203977945633
18,FCz,0.5192535067019822,0.23111719081834114,-0.15332421377248817,-9.186412743714063,0.49426754368057224,0.25576531737488184,-0.11635202393767718,-7.789630479848904
19,mean_3ch,0.47908605952743333,0.2713513333786568,-0.0929729999320148,-9.532022670273594,0.46144987656194414,0.2900362354551451,-0.06494564681728221,-9.106384161961582
20,lf_diff,0.2541102593605423,0.5563515051911976,0.3345272577867964,0.007817709466009789,0.13955200588772096,0.7403707505718445,0.6105561258577668,6.345619355540664e-05
21,hf_diff,0.11638808390784,0.7807700182600584,0.6711550273900877,0.03817284469531998,0.1076609707741145,0.7962689430797957,0.6944034146196936,0.0003034820084364949
22,lfhf_diff,0.9598123931380926,0.0016150437452872035,-0.49757743438206914,0.06576806986620509,0.6418629077562666,0.12826217684079644,-0.3076067347388054,-0.351494208158023
23,hr_mad,0.14362468063815786,0.7333786876120971,0.6000680314181457,0.2532894736842105,0.16848664231864563,0.6914144640025199,0.5371216960037799,0.003791978428968243
24,sd1,0.948672339615835,0.002634528720512286,-0.49604820691923157,-0.07645452732181135,0.978621482427386,0.0004570410136026659,-0.499314438479596,-0.0007874571902064115
25,sd2,0.06639310451603339,0.8716218352952101,0.8074327529428151,0.17593697517941315,0.08340759978696183,0.8401416281282983,0.7602124421924474,0.001451867874219736
26,s,0.0073465432944965344,0.9853608851093848,0.9780413276640771,0.0033221739435155043,0.005213800000299695,0.9895995837098437,0.9843993755647655,4.642202000012561e-07
27,sd1/sd2,0.15362411673871126,0.7163521357663266,0.5745282036494899,-23.7253606587507,0.13267131887450753,0.7522590411028862,0.6283885616543293,-35.832703903587095
28,breathingrate,0.505217191670201,0.24481002741872315,-0.13278495887191522,-117.8494030094858,0.5052171916702012,0.24481002741872293,-0.13278495887191566,-473.31218243079775
29,lf_nu,0.9221591236947057,0.00605920202397614,-0.49091119696403585,0.026666707211479235,0.9396477142924177,0.0036423983901295864,-0.49453640241480556,0.00013376681884320158
30,hf_nu,0.9221591236947067,0.006059202023975918,-0.49091119696403607,-0.0266667072114789,0.8629919626197018,0.018771202306801182,-0.4718431965397982,-0.0010305645381430348
