,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.5244404910607594,0.02578517983327433,-0.03510324642714613,0.036778739214207774,0.83495721043221,0.028695595042853017,-0.10081165895143318,0.0014631728551704054
1,ibi,0.5383835980889262,0.024112448605718262,-0.036880523356424444,-0.003592678677709329,0.8716820431281758,0.02586571013182215,-0.1040188618506015,1.1277540757535749e-05
2,lf,0.05560245150633816,0.2103065156058933,0.16095067283126163,-0.0027264614730664253,0.5673628417141443,0.22791083169587323,0.12496560925532296,2.340956081522335e-06
3,hf,0.22522609068618574,0.09045818198055955,0.03361181835434457,-0.002386936405615202,0.23997244002868154,0.17300487861760605,0.06273886243328686,7.35872818025337e-06
4,lf/hf,0.5279443827419867,0.025357632337703273,-0.03555751564119025,0.22424810446533694,0.8709375562943402,0.027129195675141715,-0.10258691156817279,0.038898092022444486
5,kubios_lf,0.01395879991706118,0.32245933528414894,0.28011304373940826,-0.003475926973004048,0.2628262104534892,0.37853934163550407,0.295677920520238,4.8607384026604935e-06
6,kubios_hf,0.17943036109741353,0.1096879152494925,0.05404340995258583,-0.0025778618382621054,0.20284668980066708,0.20381732228833416,0.09765963192677873,6.954568509322631e-06
7,kubios_lf/hf,0.8272257986722268,0.0030670762158399034,-0.05924123152067007,-0.08409900563577982,0.03129912129862858,0.2755540119867512,0.17896121358498474,-0.6474802500502431
8,sdsd,0.839519830608521,0.002640881312767518,-0.05969406360518459,-0.026341439000539424,0.7432967768292569,0.009986200798900113,-0.12201563909457991,0.00816050788887161
9,rmssd,0.9136020275074805,0.0007587644212940781,-0.06169381280237496,-0.007242759712880242,0.8720502404743011,0.0025436149887309023,-0.13045056967943824,-0.0009902065711003046
10,pnn20,0.877578476896333,0.0015288819506579232,-0.06087556292742602,0.5629841446482189,0.929531770210124,0.0020669416973628785,-0.1309907994096553,-1.6392987396746825
11,pnn50,0.8722637577667413,0.001665570944361594,-0.060730330871615834,-0.9424671546548247,0.55499491588835,0.02535475912889007,-0.1045979396539245,-30.34497295146906
12,concentration_FC3,0.04638004534821787,0.2256065593052634,0.17720696926184232,7.858002875178557,0.014670718123203832,0.48607688779580593,0.41755380616858007,-77.31365865851687
13,concentration_FC4,0.40814687547965933,0.043154472903363716,-0.016648372540176037,2.6812374836402424,0.7608491733591672,0.04924443485850627,-0.07752297382702622,-7.778470535026095
14,concentration_FCz,0.10514807639246027,0.1556882409752045,0.10291875603615475,5.511791954634154,0.6957325135025341,0.16454194909499675,0.053147542307663054,8.803504868095601
15,concentration_mean,0.0999832045199983,0.16003613825786678,0.10753839689898348,6.57216443747554,0.26095280869357895,0.23008443801336653,0.12742902974848214,-56.23511165593058
16,FC3,0.3727847462838523,0.0499260598019603,-0.009453561460417204,-3.376518026957425,0.09870418820724775,0.21260691852028535,0.10762117432299012,40.3001935696669
17,FC4,0.6546110517865551,0.01282194711361928,-0.04887668119177957,-1.7955976642902813,0.5213056317464508,0.04041263356615887,-0.0875323486250199,17.19090186059961
18,FCz,0.3573452339741452,0.053156826005544056,-0.006020872369109531,-4.451306057118426,0.577134724199887,0.07322869846396407,-0.05034080840750743,20.9495714601089
19,mean_3ch,0.4219498195060841,0.040726283510438166,-0.019228323770159372,-3.6074081487483074,0.1739374494229548,0.15545031356991434,0.042843688712569605,49.70288150051633
20,lf_diff,0.30594520534571623,0.06533957345839103,0.006923296799540513,0.0011677571773163991,0.8738978111474051,0.06696084125909385,-0.0574443799063602,-2.704473686960238e-07
21,hf_diff,0.19482286196270623,0.10268536118948379,0.046603196263826474,0.0022872473030108565,0.4747391705753681,0.13373153193760012,0.018229069529280162,-5.0005551226138275e-06
22,lfhf_diff,0.331457975802411,0.05899769587154635,0.0001850518635180265,-0.16177820354663344,0.3915840000779651,0.10541402716094417,-0.013864102550929847,0.04183756069566835
23,hr_mad,0.2511487640427214,0.0813940507654124,0.02398117893825069,0.05832814046405929,0.9251082727572999,0.08195334043733471,-0.04045288083768739,-0.00034098454634836316
24,sd1,0.9130985330094977,0.0007676656268104098,-0.061684355271513835,-0.01030255383889439,0.8719637875571048,0.002554931867206345,-0.1304377438838329,-0.0019809332997209016
25,sd2,0.6420670560225735,0.01383430384090667,-0.04780105216903663,0.01623012240296165,0.3435604697404411,0.07295414512834186,-0.050651968854545926,0.0018211694961716464
26,s,0.8236374448748821,0.003197741193770365,-0.059102399981618925,6.566903305095062e-05,0.9102049337542264,0.004071228715950226,-0.12871927412192297,1.815061518968765e-08
27,sd1/sd2,0.6985842876325749,0.009622253603539521,-0.05227635554623933,-2.516957981377992,0.3297612498268325,0.07237120186710855,-0.05131263788394369,64.98870927319672
28,breathingrate,0.28041606043208034,0.07236026134100904,0.0143827776748221,-6.209749637704663,0.5334700696872112,0.09682342407681976,-0.023600119379604267,72.96429362866438
29,lf_nu,0.6542295773780823,0.012852062365639072,-0.04884468373650841,0.014870045708951923,0.3206815033694372,0.07770781782016745,-0.045264473137143435,0.002516087204866151
30,hf_nu,0.6542295773780835,0.01285206236563885,-0.04884468373650863,-0.014870045708951882,0.3206815033694317,0.07770781782016678,-0.04526447313714432,0.002516087204866149
