,target,mean,SD,R,p
0,bpm,79.12920615718897,25.308114141578724,-0.2793193463677676,0.08090100280995795
1,ibi,803.3244841211467,147.81920722182446,0.20361389308848624,0.20760336333535304
2,lf,388.1453960523431,318.64369368180803,-0.061089638946518206,0.7080596885980905
3,hf,316.2056701749127,427.01940759124216,-0.16918729434186006,0.296646946544129
4,lf/hf,2.007079067948286,1.8074618907111326,0.054195795354994816,0.7397839276765016
5,kubios_lf,355.4,270.2832588230355,-0.02992222640661424,0.8545746116758205
6,kubios_hf,325.1,420.04385485327606,-0.2098326056712041,0.1937590183196271
7,kubios_lf/hf,1.806025,1.5222181099878558,0.03308096288916659,0.8394138596246347
8,sdsd,19.8945345886714,7.503427613694872,-0.14675331150718465,0.3661949339447429
9,rmssd,51.62680569423509,57.936926845333375,-0.30167225304687567,0.05852026106446502
10,pnn20,0.6072675426243532,0.16817893245946605,-0.099059968360529,0.5430930252591882
11,pnn50,0.2184083530285164,0.27877138550458513,-0.22519035571691168,0.16238773794667444
12,concentration_FC3,0.13392094574704932,0.1465734877943369,0.25696780157789456,0.10944746875295233
13,concentration_FC4,0.07843295241256051,0.12312506352032869,0.2568344088793461,0.10963817551280448
14,concentration_FCz,0.10320025317813118,0.14005140568770977,0.22994742101406146,0.15346231553067224
15,concentration_mean,0.10518471711258034,0.11889169193688569,0.2845499623213119,0.07514524240335799
16,FC3,0.3891788485311323,0.15926965962135958,0.006025878671255768,0.9705625111152104
17,FC4,0.410334225684014,0.18222355068216867,-0.10473263094719214,0.5201231782876331
18,FCz,0.5415867852268316,0.1513191373977805,-0.0807896603406767,0.6201995364230563
19,mean_3ch,0.44703328648065926,0.15468078579637104,-0.06540358540277295,0.688448393732574
20,lf_diff,46.30781247202749,333.3619546771685,0.06301955946623287,0.699262345378687
21,hf_diff,650.6542119834377,982.7329832565401,0.2430202349659777,0.13078540703995437
22,lfhf_diff,-1.1926866579742268,1.426374126697438,-0.11525710187286686,0.47882077620894453
23,hr_mad,35.2,26.296577724106992,-0.24040412355140947,0.1351108129172582
24,sd1,36.50452448782126,40.96776043091388,-0.30169026920282804,0.0585044599614669
25,sd2,53.008260297151814,23.3056421455668,0.15039702548873812,0.3542819531926178
26,s,5344.322898969659,4361.888857748869,-0.18787162245350095,0.24568285513634022
27,sd1/sd2,1.096571878525342,2.2036277755914693,-0.28160467131294653,0.07834537468431464
28,breathingrate,0.20522860281837602,0.1014400553237085,0.006544697794398991,0.9680292383062568
29,lf_nu,56.86928931117412,18.600110157157058,0.11628950262052504,0.4748640543235218
30,hf_nu,43.13071068882588,18.600110157157058,-0.11628950262052508,0.4748640543235218
