,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.70,0.02,-0.10,0.01,0.61,0.06,-0.21,0.00
1,ibi,0.73,0.02,-0.11,0.00,0.61,0.06,-0.21,0.00
2,lf,0.26,0.15,0.05,0.00,0.34,0.26,0.05,0.00
3,hf,0.08,0.34,0.25,0.00,0.78,0.34,0.16,0.00
4,lf/hf,0.72,0.02,-0.11,-0.04,0.78,0.03,-0.25,0.02
5,kubios_lf,0.08,0.33,0.25,0.00,0.95,0.33,0.14,0.00
6,kubios_hf,0.04,0.42,0.34,0.00,0.76,0.42,0.26,0.00
7,kubios_lf/hf,0.42,0.08,-0.03,-0.14,0.85,0.09,-0.17,-0.05
8,sdsd,0.14,0.26,0.16,0.04,0.87,0.26,0.05,0.00
9,rmssd,0.18,0.21,0.12,0.02,0.59,0.25,0.03,0.00
10,pnn20,0.15,0.24,0.14,1.81,0.92,0.24,0.02,1.04
11,pnn50,0.18,0.22,0.12,1.42,0.34,0.32,0.12,-9.16
12,concentration_FC3,0.96,0.00,-0.12,-0.07,0.35,0.13,-0.12,-9.69
13,concentration_FC4,0.16,0.23,0.14,-2.11,0.86,0.24,0.02,2.42
14,concentration_FCz,0.50,0.06,-0.06,-0.98,0.95,0.06,-0.21,0.81
15,concentration_mean,0.40,0.09,-0.02,-1.57,0.72,0.11,-0.15,-10.34
16,FC3,0.99,0.00,-0.12,-0.01,0.33,0.13,-0.11,-9.04
17,FC4,0.92,0.00,-0.12,-0.09,0.28,0.17,-0.07,-6.25
18,FCz,0.74,0.01,-0.11,-0.41,0.99,0.01,-0.27,0.15
19,mean_3ch,0.88,0.00,-0.12,-0.17,0.45,0.09,-0.18,-6.07
20,lf_diff,0.46,0.07,-0.05,0.00,0.92,0.07,-0.19,0.00
21,hf_diff,0.09,0.32,0.23,0.00,0.32,0.41,0.25,0.00
22,lfhf_diff,0.69,0.02,-0.10,-0.04,0.48,0.09,-0.17,0.04
23,hr_mad,0.15,0.24,0.14,0.02,0.08,0.53,0.39,0.00
24,sd1,0.18,0.21,0.12,0.03,0.59,0.25,0.03,0.00
25,sd2,0.20,0.20,0.10,0.01,0.29,0.32,0.13,0.00
26,s,0.08,0.34,0.26,0.00,0.80,0.34,0.16,0.00
27,sd1/sd2,0.88,0.00,-0.12,-0.10,0.94,0.00,-0.28,0.17
28,breathingrate,0.47,0.07,-0.05,1.05,0.90,0.07,-0.20,-2.85
29,lf_nu,0.73,0.02,-0.11,0.00,0.82,0.02,-0.26,0.00
30,hf_nu,0.73,0.02,-0.11,0.00,0.82,0.02,-0.26,0.00
