,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.23256299961327984,0.5889595495625666,0.38343932434384986,0.06516722781828438,0.24237434513050515,0.9432439875513642,0.8297319626540925,-0.030359355736676606
1,ibi,0.20496264723481333,0.6320843922918757,0.4481265884378136,0.005363412642380163,0.27346336510375513,0.9361871187385824,0.8085613562157472,0.00017838129130722376
2,lf,0.7718738775290698,0.05204152775362181,-0.42193770836956723,-0.0016204531284615999,0.3696995968778737,0.7146710593894191,0.14401317816825732,-5.6724769843080554e-05
3,hf,0.5377647767328598,0.21366140162882286,-0.17950789755676566,0.01145847869105367,0.056096460110147524,0.9939102992608215,0.9817308977824646,-0.0002489240405205477
4,lf/hf,0.8398163316557967,0.02565880760420569,-0.46151178859369146,-0.3318453733330845,0.3784698585675326,0.6943441954535592,0.08303258636067756,-2.9802800667640437
5,kubios_lf,0.9911554356295633,7.822631890275211e-05,-0.49988266052164576,-0.00018139277037713432,0.20197180535194462,0.9026878107181148,0.7080634321543443,-0.00021883818247252513
6,kubios_hf,0.7470554765745623,0.0639809319309218,-0.40402860210361724,0.005408177279231621,0.04020785782164523,0.9962712026549208,0.9888136079647623,-0.00017592887924597263
7,kubios_lf/hf,0.616291814155681,0.14723197188393866,-0.27915204217409206,2.673911928327346,0.022647725002404154,0.9989212107486766,0.9967636322460297,-21.06372822611808
8,sdsd,0.11904725382451287,0.7760777409941323,0.6641166114911985,0.18639427707665762,0.544730447345271,0.872357280637906,0.6170718419137179,0.011225639124383301
9,rmssd,0.0878281815551662,0.8320574263649548,0.7480861395474323,0.09654317252076111,0.4965868868358229,0.9169290873929887,0.7507872621789662,0.002256508890594542
10,pnn20,0.1406948651177497,0.7384053148350023,0.6076079722525034,6.465560449568479,0.39405159078731267,0.9119387078076426,0.7358161234229279,27.133012844580954
11,pnn50,0.03615384079824173,0.9289994186079812,0.8934991279119717,12.175175836455452,0.9536094711150803,0.9293757682111587,0.7881273046334762,1.6640446572340544
12,concentration_FC3,0.46954137224356596,0.28138635576123916,-0.0779204663581412,-10.61147307297205,0.3071579564813351,0.8452988308778158,0.5358964926334473,237.09780017957354
13,concentration_FC4,0.6564887081156956,0.1180000076520239,-0.3229999885219641,10.35186248399325,0.7550587861670136,0.24224963615110573,-1.2732510915466828,-501.5273492192357
14,concentration_FCz,0.4882498147978167,0.2618882520544691,-0.10716762191829643,-16.59722882822465,0.09204827717648346,0.9846762649495608,0.9540287948486825,845.6439363007132
15,concentration_mean,0.6827274121316615,0.10066189501267264,-0.349007157480991,-9.773853383250552,0.9859614155967977,0.10109915424340654,-1.6967025372697804,-19.844504390057182
16,FC3,0.0021384416988297255,0.9957276895352398,0.9935915343028597,11.543478110619922,0.30670270820289897,0.9990827789204294,0.9972483367612882,5.337409392282826
17,FC4,0.1952349548990532,0.6476467778163288,0.47147016672449327,13.73932105733071,0.8934411673366688,0.6574267420589974,-0.02771977382300772,-12.751742679142112
18,FCz,0.07174339944472051,0.8616603164744437,0.7924904747116657,8.771172287419162,0.022363943709135407,0.999829350642749,0.9994880519282471,24.5506504458674
19,mean_3ch,0.047469643440489526,0.9073140801673881,0.8609711202510821,11.751004798426543,0.39290232329461017,0.9689569405344163,0.9068708216032488,23.64706073727377
20,lf_diff,0.46965716676208724,0.2812635207668167,-0.07810471884977499,0.00414317433573112,0.27237726934217876,0.8762664015314279,0.6287992045942836,3.8064314971297016e-05
21,hf_diff,0.15709705284559136,0.7104853783215878,0.5657280674823817,0.00554066529155194,0.20713893496849428,0.9704162398222511,0.9112487194667533,3.592356541448177e-05
22,lfhf_diff,0.7633432070366304,0.05600643765570723,-0.41599034351643915,0.5101980773472125,0.6126617226710731,0.3644121192806854,-0.9067636421579439,-2.830043324890896
23,hr_mad,0.17726577590157758,0.6768916035028331,0.5153374052542496,0.16158878504672908,0.6425681294440687,0.7684822497649004,0.3054467492947013,0.017244015582069235
24,sd1,0.08782736529776361,0.8320589154996196,0.7480883732494295,0.13653318392198277,0.49660053989336267,0.9169262224895017,0.7507786674685052,0.004512867701772206
25,sd2,0.4526860129286321,0.2995526004439574,-0.050671099334063996,0.04958212144107399,0.6480980367417228,0.49264546378185703,-0.5220636086544288,-0.0021443611215370357
26,s,0.33626301022339866,0.44054679159770427,0.16082018739655646,0.00047413692211357343,0.8079151538289349,0.4899517235448765,-0.5301448293653706,-4.887956651688527e-08
27,sd1/sd2,0.13819077832927454,0.7427151345567014,0.614072701835052,4.852361462548327,0.6461601199766117,0.81434205579699,0.4430261673909701,-3.5019091402841083
28,breathingrate,0.22324516893685678,0.6033480675799321,0.40502210136989814,12.207446808510635,0.43108680684126016,0.844276414657622,0.5328292439728661,-70.63721768836594
29,lf_nu,0.8336264903728252,0.0276801447056636,-0.4584797829415046,0.015144032624749629,0.14530349571438897,0.9502209684312289,0.8506629052936868,-0.0037581252981564494
30,hf_nu,0.023828374851554472,0.9529110417449572,0.9293665626174359,0.08288009778845068,0.5635020729557244,0.9717895474501288,0.9153686423503864,-0.0005548486577564423
