,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.06328574569828768,0.8774335942120131,0.8161503913180196,0.07823457272500706,0.5359195947822221,0.9318159778605566,0.7954479335816698,-0.005811166074981281
1,ibi,0.04566363746332402,0.9107578928597339,0.8661368392896007,0.006408276123433443,0.7181286767153301,0.9271390311276897,0.7814170933830691,2.0253278679894923e-05
2,lf,0.1830065141075271,0.6674783559907342,0.5012175339861014,0.010509358110729177,0.48085031962478725,0.8437354789193612,0.5312064367580835,-3.142726972316032e-05
3,hf,0.01011485798025538,0.97987259439145,0.969808891587175,0.01060822969311867,0.3897415742763456,0.9933529412032615,0.9800588236097844,-8.343032149312324e-06
4,lf/hf,0.3550887443700257,0.4159105276382302,0.12386579145734533,3.6493833077309548,0.03608149872037021,0.9981257686428424,0.9943773059285272,-14.480950237724484
5,kubios_lf,0.512968585601835,0.2371995986106772,-0.1442006020839841,0.01890315573343649,0.1916614680921604,0.9329252211194714,0.7987756633584142,-0.0005454099843230212
6,kubios_hf,0.4038828001766389,0.35535571592524495,0.03303357388786743,-0.012219312697378519,0.16232238432269605,0.9589904768251033,0.8769714304753099,-0.00014882638609299299
7,kubios_lf/hf,0.6211576689438707,0.1435215118000419,-0.28471773229993724,2.8039658600587036,0.28645401540207205,0.8379847601269558,0.5139542803808673,-22.963338105636396
8,sdsd,0.02084481794395819,0.9587448705472004,0.9381173058208006,0.28121794153009927,0.14650588385177873,0.9978534180026707,0.9935602540080121,0.023225982328196088
9,rmssd,0.02432649684403677,0.9519387847606294,0.9279081771409441,0.15408973924241887,0.44753822553164235,0.9799120553878796,0.9397361661636389,0.00609958422121973
10,pnn20,0.029621328020686184,0.9416347670323367,0.912452150548505,8.853628727443052,0.7014357194627421,0.9535579586045234,0.8606738758135702,12.523033433862373
11,pnn50,0.0378989033413757,0.9256385201917275,0.8884577802875913,33.97795066414896,0.5236510365526987,0.9600592008821875,0.8801776026465626,-130.2201281796934
12,concentration_FC3,0.029779287069272357,0.9413282317998094,0.911992347699714,41.81104933765487,0.8448336934566907,0.944745245322823,0.834235735968469,-79.3904599088342
13,concentration_FC4,0.5337059229229081,0.21743016631717693,-0.1738547505242347,55.906216845082255,0.8307507794073092,0.27145085290050774,-1.1856474412984768,-2868.1309547032547
14,concentration_FCz,0.5213937772610193,0.22906391644447466,-0.15640412533328796,-17.739820132699098,0.2379063997525915,0.8972555200341598,0.6917665601024793,714.7903169068175
15,concentration_mean,0.5872589898406808,0.17035514146733544,-0.24446728779899685,37.88295567044476,0.2919949576793514,0.8373659110605137,0.5120977331815412,-3355.0120749078787
16,FC3,0.08641740584463442,0.8346331563436474,0.7519497345154711,18.649309197928634,0.3735357973130421,0.9493092041686323,0.8479276125058969,-203.00933476917265
17,FC4,0.04033725630879899,0.9209525816289238,0.8814288724433856,16.400987649919472,0.8348292113875062,0.9261552632729755,0.7784657898189264,32.510714002071836
18,FCz,0.007711429775603956,0.9846366065979761,0.9769549098969642,11.09086885121655,0.9942022818156255,0.9846378807730404,0.9539136423191211,0.10357167288383451
19,mean_3ch,0.020837435236860307,0.9587593282335297,0.9381389923502945,15.163412450303412,0.01355559391027085,0.9999813045058648,0.9999439135175943,71.13772827110915
20,lf_diff,0.10201300525300093,0.806380642734747,0.7095709641021204,0.00913114326030454,0.6057914843846645,0.8716043363310386,0.6148130089931159,-1.598678662243603e-05
21,hf_diff,0.2459647477083224,0.568569161698574,0.35285374254786095,0.007239619836384041,0.09939885351198846,0.9895676606873104,0.9687029820619312,-2.8677819413114754e-05
22,lfhf_diff,0.6747640663027308,0.10577841256793441,-0.3413323811480984,3.434227181352955,0.6049493642808906,0.40812952444637307,-0.7756114266608809,30.91737431880833
23,hr_mad,0.053238932401238455,0.8963565191207468,0.8445347786811201,0.18597560975609742,0.8799270020595672,0.9,0.7000000000000001,-0.0030691964285715113
24,sd1,0.024366973115463653,0.9518598031478824,0.9277897047218236,0.21792917088517966,0.4491553088407671,0.9797583690463805,0.9392751071391414,0.012189534011579392
25,sd2,0.11761053021972497,0.7786111763791148,0.6679167645686722,0.08151658064900609,0.5339121975489437,0.8775346894992391,0.6326040684977172,-0.0014168366169639728
26,s,0.10953594828511087,0.7929262273964969,0.6893893410947454,0.0009839400058814375,0.4861627902501447,0.9009625354773672,0.7028876064321015,-1.8363173871287144e-07
27,sd1/sd2,0.05271409128263986,0.8973505928544748,0.8460258892817123,11.56352197136262,0.7430971256224024,0.9131787522552836,0.7395362567658507,-10.7011330424385
28,breathingrate,0.04390084886832271,0.9141255867947138,0.8711883801920707,17.541762416577583,0.24837643680685145,0.9875784472466604,0.9627353417399813,-62.98360084918771
29,lf_nu,0.21904449331799036,0.6098915034169543,0.41483725512543146,0.09363407380323462,0.10718285412557466,0.9890461087846489,0.9671383263539468,-0.005690886296206907
30,hf_nu,0.013426984735628665,0.9733263144478335,0.9599894716717502,0.09949431858905301,0.8686489924047612,0.9744457991147737,0.9233373973443211,-0.00019730734361950945
