,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.02801148934455696,0.9447616648461863,0.9171424972692794,0.07811404182911796,0.47153051201630575,0.974847785799884,0.9245433573996519,-0.007916828121783924
1,ibi,0.020729061051218314,0.9589715718696286,0.9384573578044428,0.006641813306335648,0.5924309596981348,0.9736122229717793,0.9208366689153379,3.9421631191773206e-05
2,lf,0.030490709126050248,0.9399482650909089,0.9099223976363633,0.010078939485533199,0.6252180898832039,0.9584647269826111,0.8753941809478333,-1.2553096032008083e-05
3,hf,0.03105207011644398,0.9388600908256286,0.9082901362384429,0.026005918371315672,0.7023792613303419,0.9512771199784015,0.8538313599352044,-8.760256985885985e-05
4,lf/hf,0.07981299134147017,0.8467441309039333,0.7701161963559,1.8855956479119655,0.39237518940416766,0.9487901504129075,0.8463704512387225,-0.6857972077476444
5,kubios_lf,0.7255946185045399,0.07529831339366899,-0.38705252990949646,0.004478784277656139,0.4677991948053493,0.5843416714503467,-0.24697498564896003,-0.00017673331181580412
6,kubios_hf,0.48569007084199534,0.26451470323051185,-0.10322794515423217,0.03751829169150722,0.1104442232342983,0.9780851568217701,0.9342554704653103,-0.0021100277022143223
7,kubios_lf/hf,0.9256333455438492,0.005530399295000654,-0.49170440105749913,0.4506357516828734,0.7949879971335794,0.10514541617435413,-1.6845637514769374,8.347885935683333
8,sdsd,0.04542002141340358,0.911222935518387,0.8668344032775804,0.32885445110198436,0.15204023899818628,0.9950319619704153,0.985095885911246,-0.07086892103264819
9,rmssd,0.03226731252946955,0.9365065543989354,0.9047598315984031,0.18614172174908467,0.6590332295394393,0.953043741726768,0.8591312251803039,-0.009254310516675364
10,pnn20,0.018997143261719553,0.9623666049286672,0.9435499073930008,10.629466874239068,0.8781982107305532,0.9637274691963555,0.8911824075890666,-5.540480824540936
11,pnn50,0.10156577360405518,0.80718405915968,0.7107760887395199,72.50293189986988,0.01126572158535757,0.9999396252446349,0.9998188757339046,-2256.168963742747
12,concentration_FC3,0.099965519897593,0.81006206537321,0.715093098059815,14.465823558678824,0.0031420811525505227,0.999995373178616,0.9999861195358479,-90.44907969373224
13,concentration_FC4,0.1593594202820984,0.7066765842684496,0.5600148764026744,14.64342754519925,0.08002343260536324,0.9953896673641353,0.9861690020924058,-87.08989730374215
14,concentration_FCz,0.2796213186172298,0.5189454445907786,0.27841816688616794,15.944209019117759,0.11207912637171515,0.9852432080619273,0.955729624185782,-141.2102212809947
15,concentration_mean,0.16252530152219466,0.701363870590491,0.5520458058857365,15.380238115738685,0.07686972275095412,0.9956670760315791,0.9870012280947373,-98.25062325581767
16,FC3,0.0006849995994602432,0.9986304700255307,0.997945705038296,14.255884401343767,0.8600587885496368,0.9986955872904103,0.9960867618712309,1.4846157643735651
17,FC4,0.0007607630474137705,0.9984790526655868,0.9977185789983802,12.300159787404752,0.5061509714342473,0.9992248319707976,0.9976744959123928,-3.4397073098665985
18,FCz,0.0004042634550549952,0.9991916365188311,0.9987874547782467,9.622275299848962,0.7979718576117605,0.999270348703167,0.997811046109501,-0.7254897870115276
19,mean_3ch,8.705807490329498e-05,0.9998258914293018,0.9997388371439526,11.759520616980605,0.6776371736890043,0.9998668465868852,0.9996005397606555,-0.775620370896247
20,lf_diff,0.20643190145818271,0.6297503270232753,0.44462549053491296,-0.026134073056714478,0.14043544850956344,0.9822731378645003,0.946819413593501,-0.0002684023574104098
21,hf_diff,0.0557296564822493,0.8916464816471309,0.8374697224706964,0.03187743230173186,0.4954314633838852,0.9466007850386092,0.8398023551158277,-0.00022391723536303106
22,lfhf_diff,0.16966038805690906,0.6894638711618029,0.5341958067427043,-2.602552761205535,0.2897838951708744,0.9399800985855669,0.8199402957567006,-2.0016929473429768
23,hr_mad,0.06841495530724913,0.8678506954951946,0.8017760432427918,0.22336065573770494,0.3040274999099456,0.9720836031257876,0.9162508093773627,-0.017079680611094043
24,sd1,0.03226193202567577,0.9365169682066777,0.9047754523100167,0.2632484767752689,0.6591805665402226,0.9530385484493439,0.8591156453480316,-0.018498773866902365
25,sd2,0.019520972817122877,0.9613391227454811,0.9420086841182216,0.10620940370132254,0.8241104301168511,0.9642159438130078,0.8926478314390234,0.0020103704404441647
26,s,0.03127965704067973,0.9384191028632232,0.9076286542948347,0.0015808741509892963,0.6921651213585052,0.9517299346190434,0.8551898038571303,-3.880419174650929e-07
27,sd1/sd2,0.03642225282765548,0.9284820748457306,0.8927231122685959,13.853618198246544,0.34992173782758074,0.9804830999340369,0.9414492998021108,-135.34556427440668
28,breathingrate,0.019949352484697754,0.9604992716951632,0.9407489075427449,41.633163605150266,0.5099750635575885,0.9796308084022916,0.9388924252068747,1597.721283703906
29,lf_nu,0.026922259700921065,0.9468802886655617,0.9203204329983425,0.07717235854932974,0.7888725580717127,0.952511531409839,0.857534594229517,-0.0008162576511994354
30,hf_nu,0.05864592927021003,0.8861474864795466,0.8292212297193198,0.18501816666154425,0.46453536168559634,0.949403093809104,0.8482092814273121,-0.008193378569800805
