,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.1466898045443078,0.7281382896686317,0.5922074345029475,0.0637782067955873,0.46447670367583876,0.8792075219266171,0.6376225657798513,0.01268853455850832
1,ibi,0.17300588777456713,0.6839192616555317,0.5258788924832976,0.005475667547281996,0.40507739407127563,0.8883931436674198,0.6651794310022595,-0.00011685916691296606
2,lf,0.4412885491409607,0.31215848532101265,-0.03176227201848114,0.007012202108883344,0.5623078024885644,0.5891873149404503,-0.23243805517864913,-6.503240770431096e-05
3,hf,0.30801285229972497,0.4788462125823625,0.21826931887354373,0.028280731700786408,0.7824816965063515,0.5373562948011394,-0.38793111559658167,-0.00020796046919509557
4,lf/hf,0.36538249844572623,0.402739373278989,0.10410905991848352,1.0109926657050263,0.0490390418822419,0.9964630539518654,0.9893891618555962,-1.1848037200960588
5,kubios_lf,0.6804247140390345,0.1021283633970329,-0.34680745490445064,-0.008198535923017884,0.4728047461060331,0.5893730014399122,-0.23188099568026344,0.00029230381803763735
6,kubios_hf,0.6789503744738294,0.10307286205049448,-0.34539070692425833,0.015302223693930049,0.3078535555202099,0.8061057762460464,0.4183173287381392,0.0011231502548461406
7,kubios_lf/hf,0.1683685192101924,0.6916109198406482,0.5374163797609722,-2.673444529777345,0.5135792230375893,0.839229456159978,0.517688368479934,-1.8424782074377133
8,sdsd,0.30782472810982053,0.47910660701624386,0.21865991052436584,0.28701330628386085,0.521320500424439,0.7221215395123419,0.16636461853702578,-0.057731932477832516
9,rmssd,0.32756948199565583,0.4521628015435908,0.17824420231538618,0.1596309778123887,0.4516672454490826,0.7675140604369524,0.3025421813108571,-0.02161344338637434
10,pnn20,0.46621463173653843,0.28492681937215947,-0.0726097709417608,7.0261397874654055,0.35227697309215034,0.802498676118368,0.407496028355104,-96.2897152579277
11,pnn50,0.5482304101144813,0.20409576234532978,-0.19385635648200528,90.35761906370968,0.748870160165495,0.32165381920112124,-1.0350385423966362,9839.17281209779
12,concentration_FC3,0.3323070826196741,0.4458138319198507,0.1687207478797761,-19.178013668417464,0.7044291856964127,0.556932255898038,-0.3292032323058862,133.36324541716084
13,concentration_FC4,0.024566509181249304,0.9514704950108538,0.9272057425162807,-17.310584147821203,0.7996862208285282,0.956118719365217,0.8683561580956509,12.388062977592092
14,concentration_FCz,0.0413691464643565,0.9189731133504764,0.8784596700257146,-24.407649422211797,0.17521413432025873,0.9940156974931913,0.9820470924795739,-146.15542581371395
15,concentration_mean,0.041282360659185974,0.9191395119832232,0.8787092679748347,-23.799206203648534,0.06547763968776936,0.9991476259830346,0.9974428779491039,-125.90541756987923
16,FC3,0.03820509382994027,0.925049441534674,0.887574162302011,8.87131435638636,0.44635883254658426,0.9688101576045038,0.9064304728135115,12.479274380934864
17,FC4,0.07002655726580306,0.8648506041908947,0.7972759062863419,8.477287522237118,0.40213807804824736,0.9528748823917959,0.8586246471753876,22.67189701966576
18,FCz,0.05768710265659536,0.8879535964997218,0.8319303947495827,7.872018967649998,0.2967188308892038,0.977371853583445,0.9321155607503351,18.126649861661313
19,mean_3ch,0.054468586885138,0.8940296531869878,0.8410444797804817,8.405360603914897,0.37295443331486994,0.9676055352950228,0.9028166058850684,17.438176928291192
20,lf_diff,0.14508667544870277,0.7308767924953514,0.5963151887430271,0.00502744566792087,0.9319136424155212,0.7339433747447779,0.20183012423433366,-1.2394787045536474e-06
21,hf_diff,0.7269217553690586,0.07457172769071618,-0.3881424084639258,0.016778070900425622,0.4702574524774432,0.58045850927568,-0.25862447217296003,0.001582464308343762
22,lfhf_diff,0.0750849878293526,0.8554677797386288,0.7832016696079431,0.8808583714854279,0.14411371562514,0.9927191196940593,0.978157359082178,0.3736680561924087
23,hr_mad,0.14415947006189306,0.7324630126847398,0.5986945190271097,0.2141853932584269,0.8801069414630134,0.7418401692504977,0.22552050775149302,-0.0030656070204925882
24,sd1,0.3277247399959051,0.45195402521357364,0.17793103782036046,0.22569551183515718,0.45156193918167425,0.7675150714532097,0.3025452143596292,-0.04323300585362535
25,sd2,0.10560726556063132,0.7999383634179312,0.6999075451268968,0.10804535539559444,0.9196068409095675,0.8031118157072233,0.40933544712167,-0.0004049217861774
26,s,0.2726550824629061,0.5290306290670418,0.29354594360056274,0.0016125219694040874,0.7745760917051581,0.58565518447475,-0.24303444657575013,-5.66097283197178e-07
27,sd1/sd2,0.48117226716882944,0.2691822163547324,-0.09622667546790131,6.901307701004038,0.0361180641193748,0.9976501952524317,0.9929505857572951,-70.47357970451523
28,breathingrate,0.15362165913824596,0.7163562958798955,0.5745344438198432,31.611292305604977,0.9316508769021196,0.719613233881506,0.158839701644518,-58.581156703672605
29,lf_nu,0.19961016096729636,0.6406238944267971,0.46093584164019563,0.05715028859257602,0.09227338179531518,0.9925028116792002,0.9775084350376005,-0.007644134165869568
30,hf_nu,0.06158956063700915,0.8806141527054415,0.8209212290581622,0.209296377715472,0.18652003628355626,0.990041792108935,0.9701253763268048,0.015666937926505156
