,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.008829696036470833,0.9824185714591548,0.9736278571887322,0.07363346734252316,0.7017057651411542,0.9860041968473143,0.958012590541943,-0.0005740567154957632
1,ibi,0.015088380490392315,0.9700508982450382,0.9550763473675573,0.007329339516005005,0.49180627623458684,0.9854108715958972,0.9562326147876917,-1.285845977851671e-05
2,lf,0.10879019168225931,0.7942549224417442,0.6913823836626163,0.006458192708446499,0.00036533674960467706,0.9999999322427329,0.9999997967281986,-1.0168153692363694e-05
3,hf,0.023663047585888514,0.953233844649275,0.9298507669739124,0.034376876264025504,0.18281239454026646,0.9962484374527116,0.9887453123581349,-0.00016015464125650203
4,lf/hf,0.024338461891907807,0.9519154369434483,0.9278731554151725,1.2789335127802657,0.17634392875571828,0.9964039128219689,0.9892117384659068,-0.2236370522575193
5,kubios_lf,0.0617371085050015,0.8803372535565553,0.8205058803348331,0.007934560341723237,0.003096226168573218,0.9999971695163545,0.9999915085490636,-1.2253637879114735e-05
6,kubios_hf,0.002705694478039346,0.9945959318265298,0.9918938977397947,0.04110976103685704,0.9267966867900983,0.9946670707200538,0.9840012121601613,2.8165026109301162e-05
7,kubios_lf/hf,0.06397493614278542,0.8761429201689027,0.8142143802533541,1.1125505995164264,0.061235671027017546,0.9988575696420755,0.9965727089262265,-0.23185447802361298
8,sdsd,0.01964975833519109,0.9610865963322492,0.9416298944983739,0.45653189897002244,0.4601332419161141,0.9829737891128844,0.9489213673386531,-0.03396229984808766
9,rmssd,0.009789991240015285,0.980515861448449,0.9707737921726736,0.28548339133003137,0.6292147577280902,0.9864109564442876,0.9592328693328627,-0.008934145532722579
10,pnn20,0.005802999358434365,0.9884276760846853,0.9826415141270279,20.396326026940358,0.4418778585787196,0.9952645073631108,0.9857935220893324,-34.70308547927189
11,pnn50,0.3471771284536984,0.42617770161395907,0.13926655242093866,169.93195521232337,0.43856890905751444,0.7681171685851412,0.3043515057554237,-20989.14293340804
12,concentration_FC3,0.034671505854712244,0.9318591016088089,0.8977886524132134,31.32806043189875,0.004634629647872157,0.9999963886464499,0.9999891659393497,-167.80896220380362
13,concentration_FC4,0.07864990076933742,0.8488860053523518,0.7733290080285278,36.02119842082065,0.0031972353305113237,0.999996188552029,0.999988565656087,-377.8300161963631
14,concentration_FCz,0.04955631798254804,0.9033431926868913,0.855014789030337,25.94984943573268,0.01726706924736381,0.9999289109090127,0.9997867327270381,-203.842163168303
15,concentration_mean,0.013073250161122332,0.9740244095475307,0.9610366143212961,33.159182843834635,0.36577083904222063,0.9923281878474592,0.9769845635423777,-521.8854622236425
16,FC3,0.045529580031387254,0.9110137825950599,0.8665206738925899,15.386483846341587,0.047601124414580406,0.9995034220617101,0.9985102661851302,-73.08494367557468
17,FC4,0.0004257375998558412,0.9991487060527923,0.9987230590791885,14.16091267975856,0.4983252602950349,0.999576592493749,0.9987297774812469,7.5274260981942405
18,FCz,0.0008451157357107832,0.9983104827491852,0.9974657241237779,11.800984417696432,0.27756521755710584,0.9996986737651075,0.9990960212953224,11.126167036276996
19,mean_3ch,0.00592753299939559,0.9881800696486678,0.9822701044730017,13.829660061692804,0.6152146744940177,0.9919972827919122,0.9759918483757367,96.4693800652164
20,lf_diff,0.03237914155787897,0.9362901256922672,0.9044351885384008,0.002021584695173358,0.187320508878481,0.9946414503749179,0.9839243511247537,-1.2807559308728188e-06
21,hf_diff,0.07356043827500004,0.85829026152921,0.7874353922938149,-0.05076612280844322,0.032338896038122775,0.999634643999038,0.998903931997114,-0.0005170037333803829
22,lfhf_diff,0.01023480124296799,0.979635148670547,0.9694527230058205,0.11478486215125602,0.3708030289707559,0.9938379149741795,0.9815137449225385,-0.010656550961348446
23,hr_mad,0.051437949393155206,0.8997699638514624,0.8496549457771936,0.1360294117647059,0.12854730101335174,0.9959686257054634,0.9879058771163902,-0.003128197253167291
24,sd1,0.00985392250771056,0.9803892547733668,0.9705838821600502,0.403766911012968,0.6274535688628698,0.9863725582299747,0.9591176746899241,-0.017968506017193603
25,sd2,0.019819313504618744,0.9607541781785569,0.9411312672678354,0.07804894810574181,0.012239007521457049,0.9999854965247073,0.9999564895741218,-0.0008865630017313325
26,s,0.03715355236178184,0.927073281729536,0.8906099225943039,0.0016854753529102094,0.017058804606476727,0.9999476496406023,0.999842948921807,-4.809948941186501e-07
27,sd1/sd2,0.09802579337847024,0.8135574694105381,0.7203362041158071,23.58790238162984,0.006877679889623692,0.9999782403571047,0.9999347210713141,-165.8362156016383
28,breathingrate,0.08505943165494392,0.8371162436035743,0.7556743654053615,36.60067313524213,0.005568558720323002,0.999987537876191,0.999962613628573,-401.21012546103606
29,lf_nu,0.003428344082382911,0.9931550653783814,0.9897325980675721,0.07154458298943472,0.6832333525242595,0.9947144250529847,0.9841432751589541,0.0006043454255798535
30,hf_nu,0.05812580992761134,0.8871269899245181,0.8306904848867771,0.27291251381908976,0.08229801563330785,0.9981241937232085,0.9943725811696255,-0.022678053767991396
