,target,mean,SD,R,p
0,bpm,79.3161139837252,22.919308692947393,-0.07207261684511773,0.5714251731336927
1,ibi,793.1419419452552,133.18252099253922,0.015467857387929955,0.9034445473905518
2,lf,438.957336043241,376.6355392297065,-0.08840802151099082,0.48725170442228705
3,hf,376.6619543623255,520.3014615655516,-0.03127960443370521,0.8061739187408459
4,min_lf,315.15296296563895,349.6830073795709,-0.08530503619495186,0.5027218974321322
5,min_hf,320.37697572321605,497.3899511118814,-0.03748923357368646,0.768676750544861
6,lf/hf,2.175098107156122,1.8576427800025674,-0.12785794880680956,0.31400992673334027
7,kubios_lf,441.34375,405.1440029001262,-0.12306617083924977,0.3326378774104324
8,kubios_hf,380.34375,514.6337052564062,-0.05764561985819586,0.6509431556044084
9,kubios_lf/hf,1.975140625,1.545762816006909,-0.10916850705958973,0.3905029609606951
10,sdsd,20.29383950188515,8.88373203080575,0.10120461491369533,0.42619147905662674
11,rmssd,48.382621639391964,54.72985479655626,-0.06542032977575288,0.6075328503074813
12,pnn20,0.5532786617936208,0.2061847272711361,0.06378747899506905,0.6165451850624527
13,pnn50,0.19723068890632175,0.2620409751995314,-0.005322697615330667,0.9667038850978942
14,concentration_FC3,0.061714318234817704,0.18299720637304395,0.07881852745182508,0.5358604244170553
15,concentration_FC4,0.02940216135792784,0.17266865389855468,0.07444712019212973,0.5587824924607532
16,concentration_FCz,0.05697637573085663,0.1738325243632285,0.14707883061072502,0.2461463975860835
17,concentration_mean,0.049364285107867396,0.1633576506796753,0.10783157599272247,0.3963671023521454
18,FC3,0.42419324208128883,0.16419596059965114,-0.10440066262708875,0.41165138184134437
19,FC4,0.46503550043949843,0.18578958292134293,-0.1930675516275519,0.12638359135029556
20,FCz,0.5742302825763062,0.14999505420931275,-0.29523364366498944,0.01786642762478057
21,mean_3ch,0.48781967503236445,0.15875088059016565,-0.2042942859152723,0.10538899497051864
22,max_concentration_FC3,0.30619604283829016,0.18883467425472142,0.11348072434679884,0.3719419166469274
23,max_concentration_FC4,0.2785680821475403,0.16983285370853912,0.12441800212756327,0.3273135460404569
24,max_concentration_FCz,0.2837516228664373,0.20107858849405924,0.21373252588635114,0.08992043974375095
25,max_concentration_mean,0.28950524928408927,0.170209668933555,0.16751182062037698,0.18581778661753134
26,lf_diff,410.4788608809102,901.9331141900813,0.07963022513453122,0.5316556235721931
27,hf_diff,378.9829074040411,805.0056634659117,0.15762336718390516,0.21352641619309046
28,lfhf_diff,1.1648203927719796,6.611211669146546,-0.0069791547661661665,0.9563508166036497
29,hr_mad,36.625,25.07519940100178,-0.017122678065587548,0.8931721284075809
30,sd1,34.21086418139648,38.69989472293654,-0.06542298702321091,0.6075182307645584
31,sd2,60.46192778988412,27.8979739095508,0.12712798731209596,0.31680355139175476
32,s,5794.0539602808685,4858.872498225225,0.038547895849971155,0.762333739477284
33,sd1/sd2,0.9622635176428479,2.1722261889210257,-0.07853071352991388,0.5373552874210995
34,breathingrate,0.2047861010113639,0.09939136198548974,-0.00352944495267786,0.9779180658732438
35,lf_nu,58.04222728980511,20.117783876747,0.004275327503122636,0.973253016702196
36,hf_nu,41.95777271019489,20.117783876747,-0.004275327503122585,0.9732530167021992
