,target,mean,SD,R,p
0,bpm,79.3161139837252,22.919308692947393,-0.06341672228138956,0.6185994772718845
1,ibi,793.1419419452552,133.18252099253922,-0.007013854225446854,0.9561340113960596
2,lf,438.957336043241,376.6355392297065,-0.14771638165775047,0.24408237472872304
3,hf,376.6619543623255,520.3014615655516,-0.19678589310740055,0.11910487562476427
4,min_lf,315.15296296563895,349.6830073795709,-0.16298454706543258,0.19816332754424537
5,min_hf,320.37697572321605,497.3899511118814,-0.202971039585578,0.1077130724469213
6,lf/hf,2.175098107156122,1.8576427800025674,0.007182639771127428,0.9550794702245164
7,kubios_lf,441.34375,405.1440029001262,-0.21170224593652126,0.09308750386890313
8,kubios_hf,380.34375,514.6337052564062,-0.22002752185569507,0.08063620186071557
9,kubios_lf/hf,1.975140625,1.545762816006909,-0.002068174392432373,0.9870594309269397
10,sdsd,20.29383950188515,8.88373203080575,-0.14102630465261254,0.2663357768076933
11,rmssd,48.382621639391964,54.72985479655626,-0.12747753898487685,0.3154638088572263
12,pnn20,0.5532786617936208,0.2061847272711361,-0.08023244161050834,0.5285465666949467
13,pnn50,0.19723068890632175,0.2620409751995314,-0.10305826338629381,0.41772319557575344
14,concentration_FC3,0.061714318234817704,0.18299720637304395,0.1895040500709733,0.13367161835339814
15,concentration_FC4,0.02940216135792784,0.17266865389855468,0.2167614421388192,0.08535358280296852
16,concentration_FCz,0.05697637573085663,0.1738325243632285,0.24867923160053446,0.047538489294334275
17,concentration_mean,0.049364285107867396,0.1633576506796753,0.23534283272835946,0.06120343930274648
18,FC3,0.42419324208128883,0.16419596059965114,-0.14933033100358176,0.23891044379189394
19,FC4,0.46503550043949843,0.18578958292134293,-0.210156056282726,0.09555748811353251
20,FCz,0.5742302825763062,0.14999505420931275,-0.2501054741954807,0.04623850009546872
21,mean_3ch,0.48781967503236445,0.15875088059016565,-0.21223783027258283,0.09224368032849037
22,max_concentration_FC3,0.30619604283829016,0.18883467425472142,0.18208522964224313,0.1498557459321999
23,max_concentration_FC4,0.2785680821475403,0.16983285370853912,0.2473620325884247,0.04876556827665001
24,max_concentration_FCz,0.2837516228664373,0.20107858849405924,0.29068616187093116,0.01979456488474265
25,max_concentration_mean,0.28950524928408927,0.170209668933555,0.26407620062235926,0.03498263644609358
26,lf_diff,410.4788608809102,901.9331141900813,0.09030646102470026,0.4779120598204638
27,hf_diff,378.9829074040411,805.0056634659117,0.16210310815457085,0.2006334596792066
28,lfhf_diff,1.1648203927719796,6.611211669146546,0.05622182531209539,0.6590253526327199
29,hr_mad,36.625,25.07519940100178,-0.08381828728143968,0.5102229354792841
30,sd1,34.21086418139648,38.69989472293654,-0.12748018006764877,0.3154537000996158
31,sd2,60.46192778988412,27.8979739095508,0.03630429683612595,0.7757942818818149
32,s,5794.0539602808685,4858.872498225225,-0.1361595849764345,0.2833546998222068
33,sd1/sd2,0.9622635176428479,2.1722261889210257,-0.08499326671288451,0.5042901291966071
34,breathingrate,0.2047861010113639,0.09939136198548974,-0.017916079129136342,0.8882531222586122
35,lf_nu,58.04222728980511,20.117783876747,0.14159560898912288,0.264390745523958
36,hf_nu,41.95777271019489,20.117783876747,-0.14159560898912274,0.26439074552395936
