,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.28881775873237153,0.0798920305872669,0.014170032772071739,-0.015799778666570896,0.4321199346082064,0.12417271335442703,-0.010569946129507235,-0.00041137965663938557
1,ibi,0.5282018162918645,0.02901819423360119,-0.04033764903542725,0.0015236642996981845,0.14783399233281846,0.17862698642956087,0.05226190741872416,-1.1804814931702123e-05
2,lf,0.4079387726234984,0.049420381896956855,-0.018478162253260377,0.000757690529396226,0.334471413224694,0.11761448647841322,-0.018137130986446204,-2.403596532587192e-06
3,hf,0.6674306555422955,0.013572851725201729,-0.05688623029442663,-0.00025877998533097317,0.18439295027182243,0.14310201007784173,0.011271550089817506,-1.320408261029879e-06
4,min_lf,0.5685284528802008,0.0237797120829083,-0.04595030848259829,0.0005950464912753089,0.8453483290582742,0.02674420335060934,-0.12298745767237373,5.175921769534966e-07
5,min_hf,0.4396048724813443,0.04324621756821123,-0.02509333831977356,-0.0005094965767724112,0.7512217499900973,0.050901946881368065,-0.09511313821380596,-4.677108314862745e-07
6,lf/hf,0.5716566568162535,0.023401579793539407,-0.046355450221207795,0.0924263766014069,0.3364113621186524,0.09292260930766805,-0.04662775849115208,-0.11187333702422725
7,kubios_lf,0.8821077095952006,0.00162661012244536,-0.06968577486880845,0.00011652800351109356,0.7913570750185567,0.007196238035409919,-0.14554280226683458,3.751511497490113e-07
8,kubios_hf,0.6478024704657757,0.015327935966684691,-0.05500578289283786,-0.00024821917220716253,0.12161781938006028,0.18688381337474336,0.06178901543239623,-1.495733048481975e-06
9,kubios_lf/hf,0.8240850105463244,0.003651118987261115,-0.06751665822793451,-0.05587770109086243,0.17999041362461898,0.13695723677375127,0.004181427046636155,-0.3368916181659888
10,sdsd,0.4442757005115082,0.042389171143093596,-0.026011602346685425,-0.02768136298353338,0.8619066696747492,0.044702519819678876,-0.10226632328498586,-0.0006067717056328068
11,rmssd,0.1967236341160049,0.11601548346227664,0.052873732281010666,-0.008582107088443806,0.8887802742150329,0.11739636984672353,-0.01838880402301113,-1.6240768641662248e-05
12,pnn20,0.32818237659071847,0.06831008520695903,0.0017608055788846944,-1.7772245831318552,0.5632383841693019,0.09286301956847665,-0.04669651588252677,4.3201216061445376
13,pnn50,0.42106238551682085,0.04678222542507382,-0.021304758473135177,-1.0487800194049213,0.290436503843901,0.12822327622285834,-0.005896219742855591,-5.005984218361486
14,concentration_FC3,0.6052455102131219,0.019580421505707823,-0.05044954838674154,1.2869109378147334,0.6251280650765287,0.03811106303691969,-0.10987185034201574,7.8716172361080865
15,concentration_FC4,0.024581004258010474,0.3117646077871363,0.2626049369147889,4.910409937593652,0.7611627595669114,0.31682849496978993,0.21172518650360383,-2.882855867803692
