,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,,,,0.0,,,,0.0
1,ibi,,,,0.0,,,,0.0
2,lf,,,,0.0,,,,0.0
3,hf,,,,0.0,,,,0.0
4,min_lf,,,,0.0,,,,0.0
5,min_hf,,,,0.0,,,,0.0
6,lf/hf,,,,0.0,,,,0.0
7,kubios_lf,,,,0.0,,,,0.0
8,kubios_hf,,,,0.0,,,,0.0
9,kubios_lf/hf,,,,0.0,,,,0.0
10,sdsd,,,,0.0,,,,0.0
11,rmssd,,,,0.0,,,,0.0
12,pnn20,,,,0.0,,,,0.0
13,pnn50,,,,0.0,,,,0.0
14,concentration_FC3,,,,0.0,,,,0.0
15,concentration_FC4,,,,0.0,,,,0.0
16,concentration_FCz,,,,0.0,,,,0.0
17,concentration_mean,,,,0.0,,,,0.0
18,FC3,,,,0.0,,,,0.0
19,FC4,,,,0.0,,,,0.0
20,FCz,,,,0.0,,,,0.0
21,mean_3ch,,,,0.0,,,,0.0
22,max_concentration_FC3,,,,0.0,,,,0.0
23,max_concentration_FC4,,,,0.0,,,,0.0
24,max_concentration_FCz,,,,0.0,,,,0.0
25,max_concentration_mean,,,,0.0,,,,0.0
26,lf_diff,,,,0.0,,,,0.0
27,hf_diff,,,,0.0,,,,0.0
28,lfhf_diff,,,,0.0,,,,0.0
29,hr_mad,,,,0.0,,,,0.0
30,sd1,,,,0.0,,,,0.0
31,sd2,,,,0.0,,,,0.0
32,s,,,,0.0,,,,0.0
33,sd1/sd2,,,,0.0,,,,0.0
34,breathingrate,,,,0.0,,,,0.0
35,lf_nu,,,,0.0,,,,0.0
36,hf_nu,,,,0.0,,,,0.0
