,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.7423302710058985,0.0011936226257761584,-0.009782271631083361,-0.003120325264505011,0.02223937709508256,0.05785267226831525,0.03691606498538902,-0.0006119939357318038
1,ibi,0.594221445774357,0.003130945249404493,-0.007823659747854705,-0.0007575571586032565,0.005252549644914597,0.08622799875797837,0.0659219542859335,-1.8176226244062876e-05
2,lf,0.01535137999368971,0.06285924485848104,0.05256099480198084,-0.0012192291873128532,0.3861693464973087,0.07068948534899866,0.05003814057897649,-7.576624363439899e-07
3,hf,0.0035705920766570705,0.08954352383581898,0.07953850761423464,-0.0011813311247454966,0.6265841212609229,0.09194839781020592,0.07176947331709949,2.5380600811224197e-07
4,min_lf,0.006339107995676336,0.07903228227158843,0.06891175790094661,-0.0015161891657042618,0.633603090871766,0.08136726320665677,0.06095320238902702,4.47262238970719e-07
5,min_hf,0.0031075824634198596,0.09208471569390697,0.08210762465757626,-0.0012668765261211684,0.2511423053382254,0.10534603414848465,0.08546483490733991,6.83043903670904e-07
6,lf/hf,0.30776860001780687,0.011428185203059216,0.000564758666829146,0.0776448626498422,0.8934173434124975,0.011626439835184965,-0.01033741705736646,0.0014170266561779228
7,kubios_lf,0.007644788166966279,0.07560250757800546,0.06544429337556601,-0.0013108130956953124,0.6288630273473436,0.07801210929244085,0.057523489498939595,3.176772922086447e-07
8,kubios_hf,0.004608048153293567,0.08487367884950192,0.07481734565004594,-0.001132494225694014,0.8130987976905035,0.08544505447195672,0.06512161123800031,-1.1811249811781897e-07
9,kubios_lf/hf,0.387350357745445,0.008222684230352995,-0.002675967591291517,0.08154300756013995,0.6022363170056061,0.011228154813591518,-0.010744552857217426,0.008556615950037205
10,sdsd,0.041028045647804996,0.04508153917117719,0.034587929711519805,-0.04461383191378284,0.4448032023721322,0.05129063362537489,0.030208203261494426,-0.001217647588130679
11,rmssd,0.07777022365607168,0.03378940348793702,0.023171704625167155,-0.007791231664802625,0.30172581905888984,0.04523493826376135,0.02401793689184506,6.876479565320847e-05
12,pnn20,0.17103655931043849,0.020491966332009004,0.009728141786206956,-1.1571890102131992,0.20512644676976077,0.037905773075339044,0.016525901365902262,-3.5978229040302416
13,pnn50,0.0691911365989542,0.03582858653169496,0.025233296273801553,-1.5524584008378772,0.8401607893784159,0.036266698360308935,0.01485040276831584,-0.5048516873562725
14,concentration_FC3,0.048993500419148336,0.04191860842842898,0.031390241488082116,2.0168328829725937,0.3111982545551857,0.052834404251523526,0.03178627990155747,4.334279854323147
15,concentration_FC4,0.06516594551800722,0.03687912777788904,0.02629538192929448,1.7006500309453296,0.21731652159735004,0.05311874747536971,0.03207694186371135,3.9525549645718856
16,concentration_FCz,0.0036302765533138878,0.08924012500241851,0.0792317747277198,2.939776757776582,0.20539082239651005,0.1054130038310006,0.08553329280502286,4.760618892703512
17,concentration_mean,0.01892295631917381,0.05905078562016908,0.04871068436324788,2.4325502281658524,0.1579410790084203,0.07978041051912133,0.0593310863084352,5.651326650454864
18,FC3,0.009053574718205502,0.0725064861832081,0.062314249767638996,-2.5744104427495627,0.2574756598339327,0.08569978815182866,0.0653820056663138,-5.449349300578628
19,FC4,0.008706660037041774,0.0732215258430492,0.0630371470061597,-2.3460137491970134,0.18061370008280211,0.0915985714061599,0.07141187299296348,-5.53794314860232
20,FCz,0.002386043354595463,0.09691467843973167,0.08699066391709143,-2.903368866696172,0.396166573716639,0.10414974704171276,0.0842419636426398,-3.6080342659026927
21,mean_3ch,0.003977435851683064,0.08756836096195542,0.07754163965384508,-2.832234203964764,0.34825192812458716,0.0964937637631369,0.07641584740231777,-4.325782762354119
22,max_concentration_FC3,0.07848502096958154,0.033630352479037895,0.023010905802983372,1.705680806720512,0.354104396620776,0.04285751838740337,0.021587685462679085,3.275898051176123
23,max_concentration_FC4,0.01710100136008935,0.060892868340889694,0.05057300975122914,2.1570145715870757,0.20078406745367888,0.07790958901369538,0.05741869099177754,3.98060805993704
24,max_concentration_FCz,0.002700896380191784,0.09464959000292805,0.08470068439856471,2.516134190123185,0.5842124447987906,0.09767384755311737,0.07762215527652006,1.356330495376249
25,max_concentration_mean,0.010097842742258403,0.0705093822562124,0.06029519964364338,2.4721657206297962,0.2608470491736506,0.08354656117762027,0.0631809292037897,3.6493721601356843
26,lf_diff,0.3036826173846842,0.011621781773662132,0.000760482672273799,0.00025100470023036516,0.2742448041552405,0.024734830166673216,0.003062270837043801,-1.817313608556166e-07
27,hf_diff,0.15078456516817063,0.022551145234263714,0.011809949028046884,0.0004461394027106994,0.16760173167997677,0.04312782948311078,0.021864003471624427,-3.050274672291315e-07
28,lfhf_diff,0.8148364207646068,0.0006058356528620967,-0.010376517801502061,-0.008061640894313764,0.3055889289328468,0.012257898331412886,-0.009691926150111163,0.002483488536705822
29,hr_mad,0.07374889967644949,0.034714025332791,0.024106487149634925,-0.016046843469019797,0.882222312542886,0.03495072172129576,0.013505182203991328,3.411227236740846e-05
30,sd1,0.07775632717135751,0.03379251093458835,0.023174846219583878,-0.011018967200613398,0.3015865453945661,0.04524456637475105,0.024027778960856727,0.00013757077848841463
31,sd2,0.26625015013611125,0.013563944912106773,0.002723988262789301,-0.008875245569005425,0.7728174817811171,0.01448207598884299,-0.007418322322515936,-4.7860846042724125e-05
32,s,0.015270883309330616,0.06295508852690879,0.05265789169753421,-0.00010902486168119338,0.5468775627088817,0.06674723573900132,0.046008285422090345,-3.767585400098838e-09
33,sd1/sd2,0.30783387439417287,0.01142511922796785,0.0005616589997038401,-0.11655255535228853,0.13787645708492965,0.035444585652328886,0.014010020889047348,0.1199276227206195
34,breathingrate,0.848197163558414,0.0004047882340346698,-0.010579774532624153,-0.3389889136215196,0.024435345408284233,0.05538469447481442,0.03439324324092152,60.71349944933915
35,lf_nu,0.11219442509928047,0.027493055365867214,0.01680616586439332,0.013854396075188135,0.06453475013330379,0.06391938675855546,0.04311759535319015,-0.0008908796294097977
36,hf_nu,0.11219442509928083,0.027493055365866992,0.016806165864392986,-0.013854396075188123,0.06453475013329762,0.06391938675855546,0.04311759535319015,-0.0008908796294098111
37,lf_standardized,0.0026874766600805673,0.0947406437318512,0.08479273871791548,-0.5581026918818395,0.052971659996611464,0.13183527856673039,0.11254272920154673,0.39220027396664836
38,hf_standardized,8.329047313390662e-13,0.4319942447512506,0.4257524232650006,-1.219770749147277,0.5263682782742591,0.4345359398926909,0.42197007189030633,0.09936996622230299
39,min_lf_standardized,9.475080379619967e-05,0.15495538219908567,0.1456691776078669,-0.6807800452383795,0.9451269173061049,0.1550001084490028,0.1362223330812029,0.012090992095450434
40,min_hf_standardized,5.97168491488164e-13,0.4360770704505267,0.4298801151807523,-1.2430165527697015,0.6130990469035519,0.4376857788621046,0.4251899072812625,0.07579560589059456
41,lf_diff_standardized,0.002687476660080582,0.09474064373185132,0.0847927387179157,0.5581026918818389,0.05297165999661187,0.13183527856673016,0.11254272920154651,0.3922002739666479
42,hf_diff_standardized,8.329047313390302e-13,0.4319942447512505,0.4257524232650005,1.2197707491472776,0.5263682782742594,0.4345359398926909,0.42197007189030633,0.09936996622230293
43,lfhf_diff_standardized,0.053942983273950425,0.040211551565125236,0.02966442575814865,-0.363781500028423,0.590988444399571,0.04330360265754163,0.02204368271659818,-0.11003194632569857
44,lf_normalized,0.0037840903719578113,0.08848058502703005,0.07846388815919525,-1.4297275675142884,0.052038602958310975,0.1261219014783328,0.10670238817785138,3.500812052896973
45,hf_normalized,1.0534134923586435e-10,0.36927587132870754,0.36234483694770436,-2.968754761177971,0.490315621206199,0.37262020572120647,0.3586784325150111,1.0457520431184077
46,min_lf_normalized,3.884841441077125e-05,0.1705711455368878,0.16145654274058985,-1.8330047671480272,0.8523868022708064,0.17089194690457454,0.15246732350245407,0.3179786914791103
47,min_hf_normalized,2.1038387738059203e-11,0.39085485595550296,0.38416095327369537,-3.023214909215116,0.6381481408194045,0.3923582910846418,0.3788551419976339,0.6999619202727208
48,lf_diff_normalized,0.00378409037195784,0.08848058502703005,0.07846388815919525,1.4297275675142878,0.05203860295831064,0.1261219014783327,0.10670238817785127,3.500812052896979
49,hf_diff_normalized,1.0534134923586283e-10,0.36927587132870754,0.36234483694770436,2.968754761177972,0.4903156212061981,0.37262020572120635,0.35867843251501097,1.04575204311841
50,lfhf_diff_normalized,0.08873947423557896,0.03150418099206831,0.020861369794178963,-0.847272811702844,0.25983661650085327,0.045145759202097735,0.02392677607325555,-2.0424580565828707
51,kubios_lf_standardized,0.0016166638175841618,0.10401756308571075,0.09417160224049881,-0.5785164815811958,0.1921786977612317,0.1208834147524338,0.10134749063582127,0.24799166451431515
52,kubios_hf_standardized,1.431899737754998e-10,0.365081707289298,0.3581045831935761,-1.100101512375221,0.24296931437736127,0.37467941711621544,0.3607834041632425,0.1923034061846342
53,kubios_lf_normalized,0.0005916421551881212,0.12225576769732549,0.11261022668301046,-1.6429182289730124,0.562012512460862,0.12554701472965046,0.10611472616808726,1.0986053529646824
54,kubios_hf_normalized,4.46996886797342e-09,0.3162214512096334,0.30870740122292606,-2.7449938015519195,0.3769657622775192,0.32215897462344356,0.3070958407261868,1.3550733338196492
55,concentration_FC3_standardized,4.475822645290633e-05,0.1681051768972135,0.15896347554443568,0.7937815549168823,0.002032367776158373,0.25204453222444323,0.23542329960720865,-0.6496779573738336
56,concentration_FC4_standardized,0.001820846424540595,0.10184931040057077,0.09197952260277487,0.5924105817138631,0.005061574102748668,0.17733285048196712,0.15905135827045536,-0.5515631823497947
57,concentration_FCz_standardized,1.801070869115851e-07,0.25984832829618765,0.25171479344229963,0.9883462657331541,4.9015886686548985e-06,0.4138124428479638,0.40078605268902967,-0.8214723139240077
