,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.7002372283095433,0.005186547980523981,-0.02911736415807864,0.004230556395175944,0.7343446978282429,0.009343031130235269,-0.061418180931890776,0.00012998732828165623
1,ibi,0.7935056278311285,0.0024009061691390166,-0.03199906258364926,-0.0004589865441150141,0.580766954937934,0.013401936642880807,-0.05706935359691334,6.098716504388017e-06
2,lf,0.11507571477839379,0.08341604352339227,0.051809700196612685,0.001205805241522714,0.7631412643977344,0.08643749256462219,0.021183027747809557,5.327158699470104e-07
3,hf,0.8128452429900476,0.001964563826277854,-0.03245045121419543,0.00014695828744224208,0.4902251930470357,0.019088892067104846,-0.05097618707095908,7.329856132369431e-07
4,min_lf,0.3390653956289774,0.03155385585364967,-0.0018408387720865171,0.000922367596831522,0.6954356500942349,0.036935284467130125,-0.03185505235664632,-8.366590098030455e-07
5,min_hf,0.9592886838695776,9.141043190030729e-05,-0.034388196104930824,3.210466059163459e-05,0.2837796571273094,0.04099600197632769,-0.0275042835967918,1.2227593971601076e-06
6,lf/hf,0.5684572402592148,0.011346202147155426,-0.0227453081236324,0.0637666831730257,0.11198956956363529,0.09808473522772154,0.033662216315415994,-0.080118140246906
7,kubios_lf,0.09225415319335817,0.09464639004596276,0.0634273000475476,0.0014795054976016212,0.47436183028701995,0.1113367374902301,0.04786079016810374,1.8597617603878925e-06
8,kubios_hf,0.7046383974241477,0.005028310087010213,-0.029281058530679083,0.0002594124288488827,0.4656340515784817,0.024099105645567165,-0.045608101094035236,1.0424139230835208e-06
9,kubios_lf/hf,0.5398303293290792,0.013099039912226051,-0.020932027677007525,0.0807590145660037,0.13577516999616485,0.08978882454181458,0.024773740580515624,-0.10626638739912314
10,sdsd,0.2436766145420748,0.046561623989564094,0.013684438609893879,0.03495855270746351,0.8655908485729737,0.0475542335170408,-0.020477606946027738,-0.00042657898607798266
11,rmssd,0.45155810687517905,0.0196855635491634,-0.014118382535348362,0.003974305846808647,0.3229249732550825,0.05389686391531556,-0.013681931519304635,-8.911031890761559e-05
12,pnn20,0.25658751013056963,0.04414651753472809,0.011186052622132459,1.2163568221088967,0.3894253783899221,0.06954440744701129,0.003083293693226463,2.796176040131214
13,pnn50,0.29064504553326465,0.03841447560556743,0.0052563540747249116,1.1658084410528375,0.4620501429149749,0.05714039628078604,-0.010206718270586279,-2.2576127215456374
14,concentration_FC3,0.09747560929163011,0.09184065405386033,0.060524814538476135,1.6926823496612897,0.03838985533860355,0.22290137812605137,0.1673943337064836,9.84609686908313
15,concentration_FC4,0.15610580327431062,0.06813056043043897,0.035997131479764355,1.583059364481638,0.68675382122222,0.07362398300925488,0.007454267509915957,2.3099945876114827
16,concentration_FCz,0.2539154826082887,0.044634416274121125,0.01169077545598729,1.3701325790304197,0.016548239651376747,0.2246349124547935,0.1692516919158502,13.696769795137785
17,concentration_mean,0.13600511563132045,0.07500282096832689,0.04310636651895883,1.7325475093454177,0.04209218450399742,0.20398860919266448,0.14713065270642622,12.934686437032045
18,FC3,0.9893540579976536,6.245983578345715e-06,-0.034476297258367206,-0.019127160735573634,0.7148349188240608,0.004848002408890828,-0.06623428313333113,2.9648615307982578
19,FC4,0.7439667243560812,0.0037352446727654254,-0.03061871240748415,-0.42692248696006674,0.792606906588203,0.0062361263113061005,-0.06474700752360052,1.8794600187959212
20,FCz,0.5094324019464613,0.015152662800777095,-0.018807590206092684,-0.8556006269173893,0.7857404446718264,0.0177952253254704,-0.052362258579853105,1.7955106840247854
21,mean_3ch,0.7225535842171418,0.004412654098145508,-0.029917944036401245,-0.4942164906922837,0.6455268610111485,0.012042015486178226,-0.058526411979094695,3.3983130997759954
22,max_concentration_FC3,0.45244441349332976,0.01960931880076,-0.014197256413007064,0.73847822598496,0.14331849432970417,0.09305332076951245,0.028271415110191933,6.556327568896085
23,max_concentration_FC4,0.8454288941945539,0.001332486061067284,-0.03310432476441316,0.22766722115406557,0.7755522162223555,0.004279812534650818,-0.06684305799858836,1.350864066955102
24,max_concentration_FCz,0.49153958293126765,0.0164619486006794,-0.01745315661998692,0.7488887995146717,0.11222117928380514,0.10264537190976653,0.038548612760464174,8.272120213070787
25,max_concentration_mean,0.5442416460343473,0.012817886947976032,-0.021222875571059285,0.7070208465467278,0.14773858266985837,0.08522524937955445,0.0198841957638084,8.271953565773055
26,lf_diff,0.6791495832780994,0.005984020697577863,-0.028292392381816134,0.00011941515392415434,0.05455679042065071,0.13093490160768917,0.0688588231510956,4.019471754270408e-07
27,hf_diff,0.08477739915616758,0.09896249381066902,0.06789223497655406,0.0005264577485014276,0.7874327576361309,0.10134125116707104,0.03715134053614755,6.271783022777509e-08
28,lfhf_diff,0.6131577287314923,0.008926918162482034,-0.02524801569398427,0.01983729214350269,0.061091331806560414,0.1275649181485884,0.06524812658777335,0.006653145057419634
29,hr_mad,0.10828340310239469,0.086497138155616,0.054997039471326836,0.01919621135943428,0.23852110905298582,0.13149075398913812,0.0694543792740766,-0.0004518181221310788
30,sd1,0.4515687689810759,0.019684644983218536,-0.014119332775980986,0.005620381900416745,0.32294988089118515,0.053892517878592616,-0.01368658798722211,-0.0001782142445500483
31,sd2,0.051772920317501026,0.12426691236020426,0.09406921968296988,0.018702887017847458,0.6297077287310385,0.13163697296805354,0.06961104246577166,0.00011859960770213741
32,s,0.07509974245290452,0.10516743506070503,0.07431113971797065,0.00010704734780148894,0.7400021699680251,0.10874304779829291,0.04508183692674239,-4.243421118491954e-09
33,sd1/sd2,0.7078161470165811,0.004915788050273706,-0.02939746063764792,0.052437600333629125,0.49991013789162286,0.021245899553160474,-0.0486651076216138,0.12432484604679328
34,breathingrate,0.620228726935209,0.00857722763705604,-0.025609764513390365,1.1350781556642433,0.2946051429130764,0.04738941284407716,-0.02065420052420297,-30.892025824189382
35,lf_nu,0.208778510159422,0.053913471276377356,0.02128979787211449,0.01449019138485167,0.31702513117514314,0.08773045302095794,0.022568342522454987,-0.0006126181765528683
36,hf_nu,0.20877851015942245,0.053913471276377356,0.02128979787211449,-0.014490191384851662,0.3170251311751513,0.08773045302095817,0.02256834252245521,-0.0006126181765528702
37,lf_standardized,0.4389700853954266,0.020793495934541606,-0.01297224558495702,0.22826308152629526,0.4810508350562459,0.03830994841653279,-0.03038219812514331,0.2831335346416132
38,hf_standardized,0.07684296725856064,0.10399162943244267,0.07309478906804412,-0.4982317620217162,0.45776394878618654,0.12177366403902035,0.05904321147037894,0.21482463508516728
39,min_lf_standardized,0.5949394265890264,0.00986848121661299,-0.02427398494833155,-0.16206635447798007,0.11363982938270457,0.09597927440507448,0.03140636543400843,0.6262237024490294
40,min_hf_standardized,0.14688487671584102,0.07115743410450792,0.03912838010811159,-0.38867709651975557,0.5844488455110417,0.08120322064349406,0.01557487926088652,0.15022233644464583
41,lf_diff_standardized,0.4389700853954266,0.020793495934541606,-0.01297224558495702,-0.22826308152629526,0.4810508350562457,0.03830994841653268,-0.030382198125143534,0.2831335346416132
42,hf_diff_standardized,0.07684296725856041,0.10399162943244278,0.07309478906804423,0.4982317620217163,0.45776394878618565,0.12177366403902001,0.05904321147037861,0.2148246350851677
43,lfhf_diff_standardized,0.1971282803094303,0.056685262899792144,0.024157168517026317,-0.2928270783698402,0.7404268079463687,0.06044186591613676,-0.006669429375567804,-0.08528697790051748
44,lf_normalized,0.3368638219082888,0.031838111477443753,-0.001546781230230776,0.6364492545506724,0.47181112721217133,0.049891325240594586,-0.017973580099363007,1.749580634910369
45,hf_normalized,0.04580769408671167,0.13055708878968386,0.10057629874794871,-1.3162768529021767,0.6212324113123096,0.1382402923327386,0.07668602749936282,-1.054433766943609
46,min_lf_normalized,0.6953110590176943,0.005366986559752096,-0.02893070355887728,-0.2538195521984926,0.19487861530296383,0.06430822395813152,-0.0025269029020018596,3.6288179214294045
47,min_hf_normalized,0.12283301245946045,0.08012227992530063,0.04840235854341435,-0.9983506427120589,0.5608502065394732,0.0913649031644348,0.02646239624760871,-1.2950788507558935
48,lf_diff_normalized,0.3368638219082888,0.031838111477443864,-0.001546781230230554,-0.6364492545506724,0.4718111272121699,0.049891325240594586,-0.017973580099363007,1.749580634910374
49,hf_diff_normalized,0.045807694086711516,0.13055708878968386,0.10057629874794871,1.3162768529021782,0.6212324113123089,0.1382402923327387,0.07668602749936293,-1.0544337669436106
50,lfhf_diff_normalized,0.21935487598887587,0.051544716449843264,0.018839361844665392,-0.7300360778212239,0.8483917167771895,0.05280412474613183,-0.01485272348628719,-0.43098681419782725
51,kubios_lf_standardized,0.8497909726806874,0.0012574946261018072,-0.033181902110929196,-0.05975782575156097,0.5196329269848048,0.016199955119790554,-0.054071476657367334,0.2622419049751646
52,kubios_hf_standardized,0.05075823587068061,0.1252841203838535,0.09512150384536566,-0.6596162252781035,0.5501232831935714,0.136567087443613,0.0748933079752997,0.2846781401895375
53,kubios_lf_normalized,0.8219893746509287,0.0017742572263459433,-0.032647320110676725,-0.16904487719073402,0.9282738445388647,0.002068298005479141,-0.06921253785127224,0.21616535050974806
54,kubios_hf_normalized,0.08536182894511374,0.09861130234874327,0.06752893346421707,-1.4121379930193994,0.4264759355769173,0.11909942457304235,0.05617795489968824,2.7798085472575593
55,concentration_FC3_standardized,0.8950225533286174,0.0006106394157724404,-0.033851062673338816,0.025289927385429123,0.9267324582783745,0.0009178455659877294,-0.07044516546501312,-0.019158578441584306
56,concentration_FC4_standardized,0.30868598733787667,0.03570066270853656,0.002448961422623963,0.21891705456203578,0.3882536134473762,0.061448163314193005,-0.0055912535919360185,-0.19138341160995348
57,concentration_FCz_standardized,0.610479592815456,0.009061633806702996,-0.025108654682721054,0.11974947339851394,0.7381955307447479,0.013078476113909776,-0.05741591844938232,-0.08998850272919637
58,concentration_mean_standardized,0.56449147957756,0.011579113016871756,-0.02250436584461557,0.11424095084216457,0.850850151797101,0.012848895718306275,-0.05766189744467187,-0.04288756960524831
59,max_concentration_FC3_standardized,0.7107695763267949,0.00481250116386045,-0.029504309140834017,-0.07349352973125589,0.23300047155456363,0.05496848581215519,-0.012533765201262259,-0.23593108599107004
60,max_concentration_FC4_standardized,0.6813735322172738,0.005896804665974864,-0.028382615862784677,-0.07758349624201678,0.7282168686590332,0.010251692287558067,-0.06044461540618773,-0.07648338335590106
61,max_concentration_FCz_standardized,0.13342679783749117,0.07596229045085112,0.04409892115605285,0.27026812898575975,0.37962876967192194,0.10153344352110671,0.037357260915471535,-0.1702827497855665
62,max_concentration_mean_standardized,0.7396019045491424,0.0038682615158806,-0.030481108776675203,0.06176939875455964,0.7239819097100743,0.008374603843248951,-0.06245578159651899,-0.07822571946536458
63,concentration_FC3_normalized,0.8286470687112493,0.0016420781122682415,-0.032784057125239796,0.11959258906198422,0.2338950760518598,0.05177055791760399,-0.015960116516852807,-2.9865396893066327
64,concentration_FC4_normalized,0.1412261654801264,0.07311793624747032,0.041156485773245044,0.8310644842180865,0.6702622121630284,0.07920730640626106,0.013436399720993975,1.0959181601394503
65,concentration_FCz_normalized,0.7066409076975786,0.004957234158275092,-0.029354585353508655,0.2354455883227251,0.22599790523022453,0.05659626414497532,-0.010789716987526399,-3.476581624052259
66,concentration_mean_normalized,0.40083528856198014,0.024456841168583265,-0.00918257810146561,0.4734690609780694,0.7877069347993001,0.027025501558729625,-0.04247267690136103,-0.9275137926048398
67,max_concentration_FC3_normalized,0.8340098757396867,0.0015394874691878613,-0.0328901853767023,0.11858088435111935,0.26947920841229883,0.04483583316969453,-0.023390178746755863,-2.9801640644456846
68,max_concentration_FC4_normalized,0.7868191493055947,0.0025626097161363104,-0.031831783052272744,-0.14578752712367893,0.8699197045908424,0.003534656303710526,-0.0676414396745959,-0.47356024557137566
69,max_concentration_FCz_normalized,0.09772786639449323,0.09170906289354952,0.06038868575194767,0.8488488747214664,0.79643477685438,0.0939039467093421,0.02918280004572371,-0.7806031544083232
70,max_concentration_mean_normalized,0.5450133638613983,0.012769125214441845,-0.02127331874368088,0.306806678356749,0.28433697467807095,0.05306365711297645,-0.014574653093239576,-3.325265783543289
