,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.6952980823457722,0.007107923660181981,-0.03802353435526418,0.0198152370489827,0.643851900534204,0.017403102666554204,-0.07617755422234551,0.002938809595280147
1,ibi,0.7261143470016447,0.0056895607847965435,-0.03950636827043996,-0.0017939967509793498,0.759525408259845,0.010222516732266484,-0.08404200548370833,1.927990299754363e-05
2,lf,0.09557508897436488,0.12114573583295396,0.08119781473445187,-0.002118925095163131,0.9219471956982963,0.12155709174712681,0.03789586238971021,3.407214116737044e-07
3,hf,0.44369585771135367,0.026911092373321677,-0.01732022160970903,-0.0013996060471264914,0.4595076108727354,0.05252806086656825,-0.03770736190804436,4.29678792275582e-06
4,lf/hf,0.8451120353770188,0.0017730607215797889,-0.04360089106380283,0.054333465115061264,0.7696167366231179,0.00593986488033893,-0.08873252894058137,-0.0593985678537815
5,kubios_lf,0.03310496031798301,0.1902547540571281,0.15344815196881578,-0.002792847315177759,0.6572279480162689,0.19799291795433605,0.12161129109284419,1.6274885126762617e-06
6,kubios_hf,0.33463922057798967,0.04235732174378126,-0.0011718909042286452,-0.0017265462101515587,0.38760046127741965,0.07658780837307588,-0.011356209877107393,4.395464229497248e-06
7,kubios_lf/hf,0.6647035317563363,0.008697137101895458,-0.03636208393892737,-0.13881305345973904,0.016074606265912877,0.2526021238141203,0.18142137370117928,-0.6564728595103689
8,sdsd,0.7810021982694778,0.0035875007414307714,-0.04170397649759505,0.03177809930755676,0.6137723883564377,0.01588765622147592,-0.07783732890028827,0.011451253697584651
9,rmssd,0.7019890326893389,0.006784762952749213,-0.03836138418576218,0.022918805608403398,0.9204857871536815,0.00726727207254918,-0.08727870201577947,-0.0005536123692808812
10,pnn20,0.5396485988204627,0.017339862929318883,-0.027326506937530137,2.0243413483718182,0.806861889244192,0.020199816579540508,-0.0731144866033604,4.05183532379877
11,pnn50,0.6840318081209176,0.007671603870674781,-0.03743423231702181,2.1337349667679213,0.31099213387227287,0.05611631037953979,-0.033777374346218414,-43.638338266474506
12,concentration_FC3,0.06697095556506312,0.1444338661654977,0.1055444964457476,5.535451021142567,0.0836288416406187,0.2605893412058591,0.1901692784635599,-35.45807151187643
13,concentration_FC4,0.7955555230540308,0.0031168069497616857,-0.0421960654616127,0.6668997108586403,0.5702407769766975,0.018661154267205826,-0.07479968818353666,-11.006733052354072
14,concentration_FCz,0.2402720098557865,0.06210205608078523,0.019470331357184567,3.4291496411867106,0.47130788592667905,0.08553666503119373,-0.001555081156311644,14.953415230637454
15,concentration_mean,0.244983688626338,0.06091048077613159,0.01822459353868311,3.7386633690512294,0.3403753439855203,0.10162671509257415,0.016067354625200148,-29.558189225371585
16,FC3,0.5507480315853093,0.016415918460360168,-0.028292448882350607,-1.9368454857657147,0.07203384918366515,0.15996454736653565,0.07996117092525323,38.08616772934871
17,FC4,0.9669921802765602,7.962112690473866e-05,-0.04537130518550869,-0.13929698119043543,0.5260674116574584,0.019489478041593733,-0.07389247643063546,14.512870416687818
18,FCz,0.8864029301609447,0.0009485100109127842,-0.0444629213522274,-0.5516468733389059,0.6534297114183056,0.010722259164514414,-0.08349466853410337,14.503061716868977
19,mean_3ch,0.773855257394912,0.003831660040498841,-0.04144871904856928,-1.0676515298770815,0.31728729072352,0.051245184536129695,-0.03911241693661993,29.670709638452564
20,lf_diff,0.5631669726418458,0.015421711786180348,-0.02933184676899314,0.0005638298632461852,0.7322127336855765,0.02102756119157989,-0.07220790917112696,-5.365126445809917e-07
21,hf_diff,0.3775089613734791,0.035563080453354656,-0.008274961344220122,0.0012324824424477722,0.12107249946126883,0.14220213618965039,0.06050710154104555,-9.138144098603297e-06
22,lfhf_diff,0.2428450559511794,0.061448033544506786,0.018786580523802554,-0.16668469427463686,0.34060122435551154,0.10210374702481728,0.016589818170037907,0.04185549512524733
23,hr_mad,0.07136583791564229,0.14027206755949817,0.10119352517583902,0.08051971986730552,0.5537538904930643,0.15484714227514706,0.07435639392039906,-0.001743438128125027
24,sd1,0.7025908334129376,0.006756116122869971,-0.03839133314427223,0.032343553645579115,0.9206111375545272,0.007237114336730022,-0.08731173191691477,-0.001105073699803276
25,sd2,0.20973695457989922,0.07053292262436817,0.028284419107294068,0.036380028967397435,0.7446135469638429,0.07533017037365586,-0.012733622924091303,0.0004957763492790996
26,s,0.36262023886616956,0.037802430817140076,-0.005933822327535365,0.0002330115478817856,0.7724863918345156,0.04171679826219954,-0.049548268569971965,-3.853385459199309e-08
27,sd1/sd2,0.34079940843184087,0.04131317869888296,-0.0022634949966222617,-5.125251832335878,0.23365196010953973,0.10537911783173459,0.02017712905380442,69.14733270788659
28,breathingrate,0.17115130150774235,0.08338723805973436,0.04172302160790409,-6.053800840252163,0.9462444740988616,0.08359041701332193,-0.003686686128266503,-5.259044177679456
29,lf_nu,0.832718317060964,0.0020722775364678814,-0.04328807348460173,0.005829397788127792,0.5447288842876472,0.019765409056131,-0.07359026627185661,0.0012971231640845832
30,hf_nu,0.8327183170609616,0.0020722775364678814,-0.04328807348460173,-0.0058293977881278755,0.5447288842876294,0.019765409056130667,-0.07359026627185705,0.0012971231640846379
